,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MNST,MNST_6m,MNST_12m,MNST_6m_ret,MNST_12m_ret
0,0,0,0,2019-02-05,28.80500030517578,,,,
1,1,1,1,2019-02-06,28.68000030517578,,,,
2,2,2,2,2019-02-07,28.71500015258789,,,,
3,3,3,3,2019-02-08,28.94499969482422,,,,
4,4,4,4,2019-02-11,29.0,,,,
5,5,5,5,2019-02-12,29.44499969482422,,,,
6,6,6,6,2019-02-13,29.655000686645508,28.80500030517578,,0.029508778769809396,
7,7,7,7,2019-02-14,29.315000534057617,28.68000030517578,,0.02214087245902996,
8,8,8,8,2019-02-15,29.36000061035156,28.71500015258789,,0.022462143630026743,
9,9,9,9,2019-02-19,29.114999771118164,28.94499969482422,,0.005873210505659143,
10,10,10,10,2019-02-20,29.350000381469727,29.0,,0.012068978671369912,
11,11,11,11,2019-02-21,29.440000534057617,29.44499969482422,,-0.00016977961685904486,
12,12,12,12,2019-02-22,29.21999931335449,29.655000686645508,28.80500030517578,-0.014668735903517027,0.014407186383682768
13,13,13,13,2019-02-25,29.270000457763672,29.315000534057617,28.68000030517578,-0.0015350528901292293,0.020571832158642556
14,14,14,14,2019-02-26,29.3700008392334,29.36000061035156,28.71500015258789,0.000340607243663138,0.022810401642518352
15,15,15,15,2019-02-27,29.3700008392334,29.114999771118164,28.94499969482422,0.008758408728142708,0.014683059211956895
16,16,16,16,2019-02-28,31.915000915527344,29.350000381469727,29.0,0.08739354346574535,0.10051727294921875
17,17,17,17,2019-03-01,32.369998931884766,29.440000534057617,29.44499969482422,0.09952440029468024,0.09933772346327108
18,18,18,18,2019-03-04,32.5099983215332,29.21999931335449,29.655000686645508,0.11259408232344059,0.09627373356202229
19,19,19,19,2019-03-05,31.309999465942383,29.270000457763672,29.315000534057617,0.06969589942857746,0.06805385964660005
20,20,20,20,2019-03-06,30.8700008392334,29.3700008392334,29.36000061035156,0.051072521523263026,0.051430524437709124
