,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NWSA,NWSA_6m,NWSA_12m,NWSA_6m_ret,NWSA_12m_ret
0,0,0,0,2019-02-05,12.20941925048828,,,,
1,1,1,1,2019-02-06,12.15298080444336,,,,
2,2,2,2,2019-02-07,11.955449104309082,,,,
3,3,3,3,2019-02-08,11.720290184020996,,,,
4,4,4,4,2019-02-11,11.494539260864258,,,,
5,5,5,5,2019-02-12,11.66385269165039,,,,
6,6,6,6,2019-02-13,11.701478004455566,12.20941925048828,,-0.04160240840385587,
7,7,7,7,2019-02-14,11.757916450500488,12.15298080444336,,-0.03250760947457665,
8,8,8,8,2019-02-15,11.99307346343994,11.955449104309082,,0.0031470469074470486,
9,9,9,9,2019-02-19,12.002480506896973,11.720290184020996,,0.024077076458457025,
10,10,10,10,2019-02-20,12.115357398986816,11.494539260864258,,0.05400983232414314,
11,11,11,11,2019-02-21,12.040106773376465,11.66385269165039,,0.03225813045422088,
12,12,12,12,2019-02-22,12.20941925048828,11.701478004455566,12.20941925048828,0.04340829815167835,0.0
13,13,13,13,2019-02-25,12.24704647064209,11.757916450500488,12.15298080444336,0.04160005917721765,0.007740131224788671
14,14,14,14,2019-02-26,12.24704647064209,11.99307346343994,11.955449104309082,0.02117664066482794,0.024390331453789438
15,15,15,15,2019-02-27,12.265857696533203,12.002480506896973,11.720290184020996,0.021943563206362704,0.04654897651391021
16,16,16,16,2019-02-28,12.24704647064209,12.115357398986816,11.494539260864258,0.01086959858619485,0.06546649610740918
17,17,17,17,2019-03-01,12.46339225769043,12.040106773376465,11.66385269165039,0.03515628991347075,0.06854849655400663
18,18,18,18,2019-03-04,12.453985214233398,12.20941925048828,11.701478004455566,0.020030925200257954,0.06430873172528284
19,19,19,19,2019-03-05,12.397546768188477,12.24704647064209,11.757916450500488,0.012288701435660965,0.054399971319813334
20,20,20,20,2019-03-06,12.341109275817873,12.24704647064209,11.99307346343994,0.007680448131005768,0.02901973488604881
21,21,21,21,2019-03-07,12.134170532226562,12.265857696533203,12.002480506896973,-0.01073607468508786,0.010971900787834388
22,22,22,22,2019-03-08,12.040106773376465,12.24704647064209,12.115357398986816,-0.01689711047979514,-0.006211176701782173
23,23,23,23,2019-03-11,12.265857696533203,12.46339225769043,12.040106773376465,-0.015849181111614263,0.018749910395805314
