,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NFLX,NFLX_6m,NFLX_12m,NFLX_6m_ret,NFLX_12m_ret
0,0,0,0,2019-02-05,355.8099975585937,,,,
1,1,1,1,2019-02-06,352.19000244140625,,,,
2,2,2,2,2019-02-07,344.7099914550781,,,,
3,3,3,3,2019-02-08,347.57000732421875,,,,
4,4,4,4,2019-02-11,345.7300109863281,,,,
5,5,5,5,2019-02-12,359.9700012207031,,,,
6,6,6,6,2019-02-13,351.7699890136719,355.8099975585937,,-0.011354398619045303,
7,7,7,7,2019-02-14,359.07000732421875,352.19000244140625,,0.01953492386246003,
8,8,8,8,2019-02-15,356.8699951171875,344.7099914550781,,0.03527604062411993,
9,9,9,9,2019-02-19,361.9200134277344,347.57000732421875,,0.04128666398458747,
10,10,10,10,2019-02-20,359.9100036621094,345.7300109863281,,0.04101464213455852,
11,11,11,11,2019-02-21,356.9700012207031,359.9700012207031,,-0.008334027807391231,
12,12,12,12,2019-02-22,363.0199890136719,351.7699890136719,355.8099975585937,0.03198112502872652,0.020263599967819568
13,13,13,13,2019-02-25,363.9100036621094,359.07000732421875,352.19000244140625,0.013479255407484958,0.03327749549805281
14,14,14,14,2019-02-26,364.9700012207031,356.8699951171875,344.7099914550781,0.02269735818181018,0.058774071735211875
15,15,15,15,2019-02-27,362.8699951171875,361.9200134277344,347.57000732421875,0.002624838788150674,0.04401987360979831
16,16,16,16,2019-02-28,358.1000061035156,359.9100036621094,345.7300109863281,-0.005029028201986363,0.0357793501405832
17,17,17,17,2019-03-01,357.32000732421875,356.9700012207031,359.9700012207031,0.0009804916444484668,-0.0073617076075725985
18,18,18,18,2019-03-04,351.0400085449219,363.0199890136719,351.7699890136719,-0.03300088378411259,-0.002075164145744157
19,19,19,19,2019-03-05,354.29998779296875,363.9100036621094,359.07000732421875,-0.0264076716013103,-0.013284371944056517
20,20,20,20,2019-03-06,359.6099853515625,364.9700012207031,356.8699951171875,-0.014686182018284089,0.007677838629933653
21,21,21,21,2019-03-07,352.6000061035156,362.8699951171875,361.9200134277344,-0.028302116878953343,-0.02575156658497335
22,22,22,22,2019-03-08,349.6000061035156,358.1000061035156,359.9100036621094,-0.023736386079655447,-0.028646043326633897
23,23,23,23,2019-03-11,358.8599853515625,357.32000732421875,356.9700012207031,0.0043098007270172545,0.005294518095067868
24,24,24,24,2019-03-12,356.2699890136719,351.0400085449219,363.0199890136719,0.014898531054703845,-0.01859401742129907
25,25,25,25,2019-03-13,361.2099914550781,354.29998779296875,363.9100036621094,0.019503256845007755,-0.007419450358221558
26,26,26,26,2019-03-14,358.82000732421875,359.6099853515625,364.9700012207031,-0.0021967633256108066,-0.016850683277843892
27,27,27,27,2019-03-15,361.4599914550781,352.6000061035156,362.8699951171875,0.0251275813902323,-0.0038856992341128604
28,28,28,28,2019-03-18,363.4400024414063,349.6000061035156,358.1000061035156,0.039588089520206315,0.014912025263543516
29,29,29,29,2019-03-19,358.7799987792969,358.8599853515625,357.32000732421875,-0.00022289075274650738,0.004085949359542429
30,30,30,30,2019-03-20,375.2200012207031,356.2699890136719,351.0400085449219,0.053190032254734954,0.06888101665678659
