,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ELV,ELV_6m,ELV_12m,ELV_6m_ret,ELV_12m_ret
0,0,0,0,2019-02-05,285.8061828613281,,,,
1,1,1,1,2019-02-06,293.15966796875,,,,
2,2,2,2,2019-02-07,290.04315185546875,,,,
3,3,3,3,2019-02-08,286.4653625488281,,,,
4,4,4,4,2019-02-11,284.50689697265625,,,,
5,5,5,5,2019-02-12,288.5273132324219,,,,
6,6,6,6,2019-02-13,287.83062744140625,285.8061828613281,,0.007083277764709406,
7,7,7,7,2019-02-14,290.15625,293.15966796875,,-0.010244990347956562,
8,8,8,8,2019-02-15,293.3667907714844,290.04315185546875,,0.011459118737172647,
9,9,9,9,2019-02-19,293.3856506347656,286.4653625488281,,0.02415750380557058,
10,10,10,10,2019-02-20,294.6567687988281,284.50689697265625,,0.03567531027955151,
11,11,11,11,2019-02-21,293.10321044921875,288.5273132324219,,0.01585949408231868,
12,12,12,12,2019-02-22,298.2723083496094,287.83062744140625,285.8061828613281,0.036277171060709046,0.04361741010455944
13,13,13,13,2019-02-25,296.02203369140625,290.15625,293.15966796875,0.02021594810177696,0.009763845560643025
14,14,14,14,2019-02-26,298.865478515625,293.3667907714844,290.04315185546875,0.01874338853992441,0.030417289991913066
15,15,15,15,2019-02-27,288.1789245605469,293.3856506347656,286.4653625488281,-0.017747037262911602,0.0059817424224426485
16,16,16,16,2019-02-28,283.1510925292969,294.6567687988281,284.50689697265625,-0.039047724294385855,-0.004765453694747124
17,17,17,17,2019-03-01,289.69482421875,293.10321044921875,288.5273132324219,-0.01162862128069142,0.0040464487512406055
18,18,18,18,2019-03-04,275.4868469238281,298.2723083496094,287.83062744140625,-0.07639147446122985,-0.042885569987130556
19,19,19,19,2019-03-05,281.2303466796875,296.02203369140625,290.15625,-0.04996819604022662,-0.030762402396338207
20,20,20,20,2019-03-06,277.2475280761719,298.865478515625,293.3667907714844,-0.07233338071303175,-0.054945764832218025
21,21,21,21,2019-03-07,274.3852844238281,288.1789245605469,293.3856506347656,-0.04786484701389282,-0.06476242505326535
22,22,22,22,2019-03-08,277.7937316894531,283.1510925292969,294.6567687988281,-0.01892050209655982,-0.05722942384156782
23,23,23,23,2019-03-11,278.66925048828125,289.69482421875,293.10321044921875,-0.03805927068321835,-0.04924531511891517
24,24,24,24,2019-03-12,279.62030029296875,275.4868469238281,298.2723083496094,0.015004176842909445,-0.0625334888104273
25,25,25,25,2019-03-13,285.8627319335937,281.2303466796875,296.02203369140625,0.016471854153002674,-0.03431941072468714
26,26,26,26,2019-03-14,287.59521484375,277.2475280761719,298.865478515625,0.037322918041437614,-0.037710155511606835
27,27,27,27,2019-03-15,286.0375671386719,274.3852844238281,288.1789245605469,0.04246686457443216,-0.0074306524154756914
28,28,28,28,2019-03-18,290.9747314453125,277.7937316894531,283.1510925292969,0.047448873938575664,0.027630615323181784
29,29,29,29,2019-03-19,290.7481384277344,278.66925048828125,289.69482421875,0.043344889751160576,0.0036359441761686373
30,30,30,30,2019-03-20,286.0469970703125,279.62030029296875,275.4868469238281,0.022983655945617132,0.03833268362683118
31,31,31,31,2019-03-21,287.7933959960937,285.8627319335937,281.2303466796875,0.0067538151945896185,0.023336917206453922
32,32,32,32,2019-03-22,284.6308898925781,287.59521484375,277.2475280761719,-0.010307281895432063,0.02663093830859231
33,33,33,33,2019-03-25,281.0815124511719,286.0375671386719,274.3852844238281,-0.01732658663362663,0.02440447213269814
34,34,34,34,2019-03-26,272.16046142578125,290.9747314453125,277.7937316894531,-0.0646594634732649,-0.020278608265968168
35,35,35,35,2019-03-27,267.1571655273437,290.7481384277344,278.66925048828125,-0.08113886138003334,-0.04131092662992497
36,36,36,36,2019-03-28,266.54364013671875,286.0469970703125,279.62030029296875,-0.06818235161825414,-0.046765775383794006
37,37,37,37,2019-03-29,270.91436767578125,287.7933959960937,285.8627319335937,-0.05864981113236367,-0.052292105923359644
38,38,38,38,2019-04-01,272.188720703125,284.6308898925781,287.59521484375,-0.04371334816874195,-0.05357006426200561
39,39,39,39,2019-04-02,272.06610107421875,281.0815124511719,286.0375671386719,-0.03207401048305958,-0.048844863995363696
40,40,40,40,2019-04-03,271.5562438964844,272.16046142578125,290.9747314453125,-0.002220078280774196,-0.0667359926835357
41,41,41,41,2019-04-04,274.8981628417969,267.1571655273437,290.7481384277344,0.028975443346889618,-0.05451445251429188
42,42,42,42,2019-04-05,276.8900146484375,266.54364013671875,286.0469970703125,0.038816812535507283,-0.03201216064374257
43,43,43,43,2019-04-08,273.2933044433594,270.91436767578125,287.7933959960937,0.008781139176882391,-0.050383684109732374
44,44,44,44,2019-04-09,273.85968017578125,272.188720703125,284.6308898925781,0.0061389739748942684,-0.037842729300611055
45,45,45,45,2019-04-10,271.9149780273437,272.06610107421875,281.0815124511719,-0.0005554644488172666,-0.0326116589593225
46,46,46,46,2019-04-11,260.8227844238281,271.5562438964844,272.16046142578125,-0.03952573256517633,-0.041658060625551
47,47,47,47,2019-04-12,238.695053100586,274.8981628417969,267.1571655273437,-0.13169644120919666,-0.106536960633551
48,48,48,48,2019-04-15,248.1635284423828,276.8900146484375,266.54364013671875,-0.10374692002717478,-0.0689572322374985
