,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NVR,NVR_6m,NVR_12m,NVR_6m_ret,NVR_12m_ret
0,0,0,0,2019-02-05,2612.3701171875,,,,
1,1,1,1,2019-02-06,2535.2099609375,,,,
2,2,2,2,2019-02-07,2616.610107421875,,,,
3,3,3,3,2019-02-08,2579.080078125,,,,
4,4,4,4,2019-02-11,2602.0,,,,
5,5,5,5,2019-02-12,2691.4599609375,,,,
6,6,6,6,2019-02-13,2600.800048828125,2612.3701171875,,-0.004428954489738013,
7,7,7,7,2019-02-14,2656.580078125,2535.2099609375,,0.047873793120715824,
8,8,8,8,2019-02-15,2662.85009765625,2616.610107421875,,0.017671715821634182,
9,9,9,9,2019-02-19,2622.699951171875,2579.080078125,,0.016912958002679224,
10,10,10,10,2019-02-20,2590.300048828125,2602.0,,-0.004496522356600696,
11,11,11,11,2019-02-21,2643.85009765625,2691.4599609375,,-0.017689233342585653,
12,12,12,12,2019-02-22,2680.0,2600.800048828125,2612.3701171875,0.0304521492175307,0.025888323544793534
13,13,13,13,2019-02-25,2647.739990234375,2656.580078125,2535.2099609375,-0.0033276195825665544,0.044386867766669
14,14,14,14,2019-02-26,2632.969970703125,2662.85009765625,2616.610107421875,-0.0112211074064682,0.006252312193874898
15,15,15,15,2019-02-27,2643.10009765625,2622.699951171875,2579.080078125,0.007778299791884269,0.024822811852275972
16,16,16,16,2019-02-28,2620.0,2590.300048828125,2602.0,0.011465834309547063,0.006917755572636519
17,17,17,17,2019-03-01,2601.0,2643.85009765625,2691.4599609375,-0.016207461116738875,-0.03360999689773969
18,18,18,18,2019-03-04,2660.659912109375,2680.0,2600.800048828125,-0.007216450705457067,0.02301594207836999
19,19,19,19,2019-03-05,2639.25,2647.739990234375,2656.580078125,-0.003206504515431474,-0.006523454070780921
20,20,20,20,2019-03-06,2692.35009765625,2632.969970703125,2662.85009765625,0.022552527227368113,0.011078355490594438
21,21,21,21,2019-03-07,2751.719970703125,2643.10009765625,2622.699951171875,0.041095633549101285,0.04919358749886782
22,22,22,22,2019-03-08,2710.0,2620.0,2590.300048828125,0.03435114503816794,0.04621084388506591
23,23,23,23,2019-03-11,2738.929931640625,2601.0,2643.85009765625,0.053029577716503296,0.03596264178088715
