,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,APA,APA_6m,APA_12m,APA_6m_ret,APA_12m_ret
0,0,0,0,2019-02-05,29.7287654876709,,,,
1,1,1,1,2019-02-06,28.84134292602539,,,,
2,2,2,2,2019-02-07,27.64602851867676,,,,
3,3,3,3,2019-02-08,27.04838180541992,,,,
4,4,4,4,2019-02-11,27.48303604125977,,,,
5,5,5,5,2019-02-12,28.144081115722656,,,,
6,6,6,6,2019-02-13,29.2307243347168,29.7287654876709,,-0.016752836681383387,
7,7,7,7,2019-02-14,29.58388328552246,28.84134292602539,,0.025745692958944355,
8,8,8,8,2019-02-15,30.15436744689941,27.64602851867676,,0.09073053391839259,
9,9,9,9,2019-02-19,30.163434982299805,27.04838180541992,,0.11516597182370791,
10,10,10,10,2019-02-20,30.60713768005371,27.48303604125977,,0.11367381806376065,
11,11,11,11,2019-02-21,30.217761993408203,28.144081115722656,,0.07368088761395342,
12,12,12,12,2019-02-22,30.30830955505371,29.2307243347168,29.7287654876709,0.03686481415915788,0.01949438726687669
13,13,13,13,2019-02-25,30.299257278442383,29.58388328552246,28.84134292602539,0.024181206571687763,0.05054946145040362
14,14,14,14,2019-02-26,29.964204788208008,30.15436744689941,27.64602851867676,-0.006306305679476543,0.08385205375756466
15,15,15,15,2019-02-27,30.38981437683105,30.163434982299805,27.04838180541992,0.007505093324553069,0.12353539651461065
16,16,16,16,2019-02-28,30.045703887939453,30.60713768005371,27.48303604125977,-0.018343230849715675,0.09324544212773289
17,17,17,17,2019-03-01,30.77919006347656,30.217761993408203,28.144081115722656,0.018579406052335212,0.09362924079556478
18,18,18,18,2019-03-04,30.489421844482425,30.30830955505371,29.2307243347168,0.005975664498863997,0.04306077041925005
19,19,19,19,2019-03-05,30.54375267028809,30.299257278442383,29.58388328552246,0.008069352644484162,0.032445685899368026
20,20,20,20,2019-03-06,29.63821601867676,29.964204788208008,30.15436744689941,-0.010879273180629645,-0.01711697083785857
21,21,21,21,2019-03-07,30.127201080322266,30.38981437683105,30.163434982299805,-0.008641490640660221,-0.0012012525098286098
22,22,22,22,2019-03-08,28.931894302368164,30.045703887939453,30.60713768005371,-0.03707051063690936,-0.0547337485522954
23,23,23,23,2019-03-11,29.65632438659668,30.77919006347656,30.217761993408203,-0.036481326330035646,-0.018579721652913883
24,24,24,24,2019-03-12,30.498476028442383,30.489421844482425,30.30830955505371,0.0002969614840890866,0.006274400525151158
25,25,25,25,2019-03-13,31.07800674438477,30.54375267028809,30.299257278442383,0.017491435314573645,0.02570193251886943
26,26,26,26,2019-03-14,31.03274345397949,29.63821601867676,29.964204788208008,0.04705166580957343,0.035660504702997864
27,27,27,27,2019-03-15,31.19573402404785,30.127201080322266,30.38981437683105,0.03546738181475151,0.026519400126090442
28,28,28,28,2019-03-18,31.70283508300781,28.931894302368164,30.045703887939453,0.09577460610357735,0.055153681912359476
29,29,29,29,2019-03-19,31.231958389282227,29.65632438659668,30.77919006347656,0.05312978041869765,0.014710209231364235
30,30,30,30,2019-03-20,31.956388473510746,30.498476028442383,30.489421844482425,0.047802796562973704,0.04811395363647386
31,31,31,31,2019-03-21,32.6717643737793,31.07800674438477,30.54375267028809,0.0512824919082846,0.0696709316128421
32,32,32,32,2019-03-22,31.53079605102539,31.03274345397949,29.63821601867676,0.01604926092933079,0.06385607120064196
33,33,33,33,2019-03-25,31.621335983276367,31.19573402404785,30.127201080322266,0.013642953837868621,0.04959421550546894
34,34,34,34,2019-03-26,32.29143524169922,31.70283508300781,28.931894302368164,0.018566167888464102,0.11611894140841184
35,35,35,35,2019-03-27,31.711902618408203,31.231958389282227,29.65632438659668,0.01536708723621616,0.06931331762544901
36,36,36,36,2019-03-28,31.775279998779297,31.956388473510746,30.498476028442383,-0.005667363659744407,0.04186451707115424
37,37,37,37,2019-03-29,31.38590240478516,32.6717643737793,31.07800674438477,-0.03935697975424013,0.00990718815826308
38,38,38,38,2019-04-01,31.666616439819336,31.53079605102539,31.03274345397949,0.004307547090601549,0.020425940967155
39,39,39,39,2019-04-02,31.041793823242188,31.621335983276367,31.19573402404785,-0.01832756719515849,-0.004934655510493768
40,40,40,40,2019-04-03,29.937042236328125,32.29143524169922,31.70283508300781,-0.07291075753519849,-0.055698263012007976
41,41,41,41,2019-04-04,30.217761993408203,31.711902618408203,31.231958389282227,-0.047116082657641556,-0.032473032373854016
42,42,42,42,2019-04-05,32.20993423461914,31.775279998779297,31.956388473510746,0.013679005687960544,0.007934118128478884
43,43,43,43,2019-04-08,32.20088577270508,31.38590240478516,32.6717643737793,0.02596654247531416,-0.0144124019654146
44,44,44,44,2019-04-09,31.58511543273925,31.666616439819336,31.53079605102539,-0.002573720095261023,0.0017227405748321267
45,45,45,45,2019-04-10,32.34577178955078,31.041793823242188,31.621335983276367,0.042007171806297317,0.022909715347180448
46,46,46,46,2019-04-11,32.27332305908203,29.937042236328125,32.29143524169922,0.0780398011370298,-0.0005608974169658554
47,47,47,47,2019-04-12,33.05208969116211,30.217761993408203,31.711902618408203,0.09379674439067309,0.04226132657130299
