,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CVX,CVX_6m,CVX_12m,CVX_6m_ret,CVX_12m_ret
0,0,0,0,2019-02-05,95.8893585205078,,,,
1,1,1,1,2019-02-06,95.40782928466795,,,,
2,2,2,2,2019-02-07,94.8861846923828,,,,
3,3,3,3,2019-02-08,94.36450958251952,,,,
4,4,4,4,2019-02-11,93.85889434814452,,,,
5,5,5,5,2019-02-12,95.27943420410156,,,,
6,6,6,6,2019-02-13,95.96160125732422,95.8893585205078,,0.000753396809938689,
7,7,7,7,2019-02-14,95.78326416015624,95.40782928466795,,0.003935053111501885,
8,8,8,8,2019-02-15,96.74788665771484,94.8861846923828,,0.019620369091323475,
9,9,9,9,2019-02-19,96.71546173095705,94.36450958251952,,0.024913520547485968,
10,10,10,10,2019-02-20,97.50178527832033,93.85889434814452,,0.03881242108673777,
11,11,11,11,2019-02-21,96.57766723632812,95.27943420410156,,0.01362553255139587,
12,12,12,12,2019-02-22,96.7803192138672,95.96160125732422,95.8893585205078,0.008531724625431725,0.009291549209486716
13,13,13,13,2019-02-25,96.96676635742188,95.78326416015624,95.40782928466795,0.012356043695553653,0.016339718495245625
14,14,14,14,2019-02-26,97.22615051269533,96.74788665771484,94.8861846923828,0.004943403639115607,0.024660764134405877
15,15,15,15,2019-02-27,97.3396453857422,96.71546173095705,94.36450958251952,0.006453814556782067,0.03152812234583813
16,16,16,16,2019-02-28,96.93434143066406,97.50178527832033,93.85889434814452,-0.00581983033476241,0.032766709046369025
17,17,17,17,2019-03-01,98.92035675048828,96.57766723632812,95.27943420410156,0.02425705218606633,0.038213099991624366
18,18,18,18,2019-03-04,98.99331665039062,96.7803192138672,95.96160125732422,0.022866192780715,0.03159300546618393
19,19,19,19,2019-03-05,99.94175720214844,96.96676635742188,95.78326416015624,0.030680520311058723,0.04341565385617807
20,20,20,20,2019-03-06,100.13629913330078,97.22615051269533,96.74788665771484,0.029931747840057366,0.03502311619037046
21,21,21,21,2019-03-07,98.84741973876952,97.3396453857422,96.71546173095705,0.015489827881047136,0.02204361091449014
