,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BRO,BRO_6m,BRO_12m,BRO_6m_ret,BRO_12m_ret
0,0,0,0,2019-02-05,27.0015869140625,,,,
1,1,1,1,2019-02-06,26.89569664001465,,,,
2,2,2,2,2019-02-07,26.770557403564453,,,,
3,3,3,3,2019-02-08,26.789813995361328,,,,
4,4,4,4,2019-02-11,27.07859992980957,,,,
5,5,5,5,2019-02-12,27.4058895111084,,,,
6,6,6,6,2019-02-13,27.386638641357425,27.0015869140625,,0.014260336939470486,
7,7,7,7,2019-02-14,27.415508270263672,26.89569664001465,,0.019326944276864877,
8,8,8,8,2019-02-15,27.97383499145508,26.770557403564453,,0.044947797304004444,
9,9,9,9,2019-02-19,28.031599044799805,26.789813995361328,,0.04635288060057041,
10,10,10,10,2019-02-20,28.339635848999023,27.07859992980957,,0.04656946527731054,
11,11,11,11,2019-02-21,28.339635848999023,27.4058895111084,,0.03407101008387814,
12,12,12,12,2019-02-22,28.407020568847656,27.386638641357425,27.0015869140625,0.0372583850414312,0.05205003910541284
13,13,13,13,2019-02-25,28.407020568847656,27.415508270263672,26.89569664001465,0.03616611039305195,0.056192035070194324
14,14,14,14,2019-02-26,28.10860252380371,27.97383499145508,26.770557403564453,0.004817628058140677,0.04998196713158842
15,15,15,15,2019-02-27,28.243370056152344,28.031599044799805,26.789813995361328,0.007554724616818609,0.05425778846552265
16,16,16,16,2019-02-28,28.51290702819824,28.339635848999023,27.07859992980957,0.006114093354002481,0.05296828868946446
17,17,17,17,2019-03-01,28.753562927246094,28.339635848999023,27.4058895111084,0.01460594202595189,0.04917459130788093
18,18,18,18,2019-03-04,28.753562927246094,28.407020568847656,27.386638641357425,0.012199180042783864,0.049912086831438884
19,19,19,19,2019-03-05,28.339635848999023,28.407020568847656,27.415508270263672,-0.0023721150088696907,0.03370820521090656
20,20,20,20,2019-03-06,28.19524002075196,28.10860252380371,27.97383499145508,0.003082241348529635,0.00791471849907266
21,21,21,21,2019-03-07,27.98345947265625,28.243370056152344,28.031599044799805,-0.009202534363971115,-0.0017173323600490065
22,22,22,22,2019-03-08,27.79094123840332,28.51290702819824,28.339635848999023,-0.025320665798156616,-0.019361385358629524
23,23,23,23,2019-03-11,28.079721450805664,28.753562927246094,28.339635848999023,-0.02343506014003971,-0.009171409243867834
24,24,24,24,2019-03-12,28.04121971130371,28.753562927246094,28.407020568847656,-0.02477408513667656,-0.012877128618870248
25,25,25,25,2019-03-13,28.079721450805664,28.339635848999023,28.407020568847656,-0.009171409243867834,-0.011521768615217698
26,26,26,26,2019-03-14,28.07010269165039,28.19524002075196,28.10860252380371,-0.004438243086757443,-0.0013696814745847163
27,27,27,27,2019-03-15,28.35888671875,27.98345947265625,28.243370056152344,0.01341604123180673,0.004090045287371558
28,28,28,28,2019-03-18,28.36850929260254,27.79094123840332,28.51290702819824,0.02078260139678534,-0.005064293705755674
29,29,29,29,2019-03-19,27.99309158325196,28.079721450805664,28.753562927246094,-0.003085139847468721,-0.02644789954964266
30,30,30,30,2019-03-20,27.63692092895508,28.04121971130371,28.753562927246094,-0.014418016994662053,-0.038834908950810876
31,31,31,31,2019-03-21,28.02196884155273,28.079721450805664,28.339635848999023,-0.002056737256247776,-0.011209283321031549
32,32,32,32,2019-03-22,27.80056381225586,28.07010269165039,28.19524002075196,-0.009602347463969485,-0.01399797299847827
33,33,33,33,2019-03-25,27.92571258544922,28.35888671875,27.98345947265625,-0.015274722791370321,-0.002063607870337103
34,34,34,34,2019-03-26,28.11823272705078,28.36850929260254,27.79094123840332,-0.008822337577569561,0.011776912693953312
35,35,35,35,2019-03-27,28.19524002075196,27.99309158325196,28.079721450805664,0.007221368775892634,0.004113949995860233
36,36,36,36,2019-03-28,28.310754776000977,27.63692092895508,28.04121971130371,0.02438165412051818,0.009612102022388713
37,37,37,37,2019-03-29,28.407020568847656,28.02196884155273,28.079721450805664,0.01374106614250259,0.011656067123579028
38,38,38,38,2019-04-01,28.68617820739746,27.80056381225586,28.07010269165039,0.031855986846970996,0.021947747128489237
39,39,39,39,2019-04-02,28.55140686035156,27.92571258544922,28.35888671875,0.022405669076045687,0.006788705900583558
40,40,40,40,2019-04-03,28.63804817199707,28.11823272705078,28.36850929260254,0.018486775111090425,0.009501340962770222
41,41,41,41,2019-04-04,28.820953369140625,28.19524002075196,27.99309158325196,0.022192162504313995,0.029573789069584855
42,42,42,42,2019-04-05,28.81132125854492,28.310754776000977,27.63692092895508,0.01768114225510775,0.04249389187054553
43,43,43,43,2019-04-08,28.78244400024414,28.407020568847656,28.02196884155273,0.013215867904435852,0.027138534161944117
44,44,44,44,2019-04-09,28.589916229248047,28.68617820739746,27.80056381225586,-0.003355691980069686,0.028393395987321712
45,45,45,45,2019-04-10,28.84982109069824,28.55140686035156,27.92571258544922,0.010451822279940792,0.03309167142723268
46,46,46,46,2019-04-11,29.13861083984375,28.63804817199707,28.11823272705078,0.017478937979304776,0.03628884228599927
