,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ZBRA,ZBRA_6m,ZBRA_12m,ZBRA_6m_ret,ZBRA_12m_ret
0,0,0,0,2019-02-05,178.8699951171875,,,,
1,1,1,1,2019-02-06,180.759994506836,,,,
2,2,2,2,2019-02-07,176.7899932861328,,,,
3,3,3,3,2019-02-08,176.39999389648438,,,,
4,4,4,4,2019-02-11,178.3800048828125,,,,
5,5,5,5,2019-02-12,182.9600067138672,,,,
6,6,6,6,2019-02-13,183.97000122070312,178.8699951171875,,0.02851236228957421,
7,7,7,7,2019-02-14,196.47000122070312,180.759994506836,,0.08691086076168819,
8,8,8,8,2019-02-15,199.75,176.7899932861328,,0.12987164198092738,
9,9,9,9,2019-02-19,199.32000732421875,176.39999389648438,,0.12993205340576353,
10,10,10,10,2019-02-20,199.8500061035156,178.3800048828125,,0.12036103056958591,
11,11,11,11,2019-02-21,199.82000732421875,182.9600067138672,,0.09215128985384813,
12,12,12,12,2019-02-22,206.3500061035156,183.97000122070312,178.8699951171875,0.1216502947997693,0.1536311943673081
13,13,13,13,2019-02-25,204.63999938964844,196.47000122070312,180.759994506836,0.04158394726005832,0.13210890467198677
14,14,14,14,2019-02-26,202.97999572753903,199.75,176.7899932861328,0.016170191376916332,0.14814188266310957
15,15,15,15,2019-02-27,202.47999572753903,199.32000732421875,176.39999389648438,0.015853844507341286,0.14784582048431938
16,16,16,16,2019-02-28,200.509994506836,199.8500061035156,178.3800048828125,0.0033024187298675844,0.12406093182115274
17,17,17,17,2019-03-01,202.2100067138672,199.82000732421875,182.9600067138672,0.011960761195301872,0.10521425062093082
18,18,18,18,2019-03-04,201.72999572753903,206.3500061035156,183.97000122070312,-0.022389194278283342,0.09653744843720369
19,19,19,19,2019-03-05,201.63999938964844,204.63999938964844,196.47000122070312,-0.014659890583208046,0.026314440559999985
20,20,20,20,2019-03-06,201.2400054931641,202.97999572753903,199.75,-0.008572225199524275,0.007459351655389801
21,21,21,21,2019-03-07,201.9900054931641,202.47999572753903,199.32000732421875,-0.0024199439189750427,0.013395535173758244
22,22,22,22,2019-03-08,201.8999938964844,200.509994506836,199.8500061035156,0.0069323197233492895,0.010257631875712825
23,23,23,23,2019-03-11,209.4499969482422,202.2100067138672,199.82000732421875,0.03580431231882497,0.048193320343534296
24,24,24,24,2019-03-12,210.72000122070312,201.72999572753903,206.3500061035156,0.044564545102683706,0.021177586566172968
25,25,25,25,2019-03-13,211.52999877929688,201.63999938964844,204.63999938964844,0.04904780509613582,0.03366887905687199
26,26,26,26,2019-03-14,212.6699981689453,201.2400054931641,202.97999572753903,0.056797815363652804,0.04773870649999035
27,27,27,27,2019-03-15,211.3999938964844,201.9900054931641,202.47999572753903,0.04658640599739372,0.04405372558851828
28,28,28,28,2019-03-18,213.2100067138672,201.8999938964844,200.509994506836,0.05601789578647298,0.06333854947364337
29,29,29,29,2019-03-19,213.67999267578125,209.4499969482422,202.2100067138672,0.02019573067162339,0.05672313723892208
30,30,30,30,2019-03-20,214.58999633789065,210.72000122070312,201.72999572753903,0.01836558036621394,0.06374857920346466
31,31,31,31,2019-03-21,218.3000030517578,211.52999877929688,201.63999938964844,0.03200493694288964,0.08262251394831455
32,32,32,32,2019-03-22,207.2400054931641,212.6699981689453,201.2400054931641,-0.02553248094480931,0.02981514528036433
33,33,33,33,2019-03-25,204.97000122070312,211.3999938964844,201.9900054931641,-0.030416238701169607,0.014753184051177648
34,34,34,34,2019-03-26,208.9499969482422,213.2100067138672,201.8999938964844,-0.0199803462852568,0.03491829254523093
35,35,35,35,2019-03-27,206.759994506836,213.67999267578125,209.4499969482422,-0.03238486711970756,-0.012843172502269962
36,36,36,36,2019-03-28,208.4600067138672,214.58999633789065,210.72000122070312,-0.028566054935623697,-0.010725106747075608
37,37,37,37,2019-03-29,209.52999877929688,218.3000030517578,211.52999877929688,-0.04017409138735384,-0.009454923706054275
38,38,38,38,2019-04-01,211.9100036621093,207.2400054931641,212.6699981689453,0.022534250362675534,-0.003573585900124354
39,39,39,39,2019-04-02,213.6199951171875,204.97000122070312,211.3999938964844,0.042201267721955205,0.01050142518826247
40,40,40,40,2019-04-03,215.0399932861328,208.9499969482422,213.2100067138672,0.02914571154264789,0.008583023848038662
