,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FCX,FCX_6m,FCX_12m,FCX_6m_ret,FCX_12m_ret
0,0,0,0,2019-02-05,11.182342529296877,,,,
1,1,1,1,2019-02-06,11.220023155212402,,,,
2,2,2,2,2019-02-07,11.172921180725098,,,,
3,3,3,3,2019-02-08,10.93740463256836,,,,
4,4,4,4,2019-02-11,10.862038612365724,,,,
5,5,5,5,2019-02-12,10.82435417175293,,,,
6,6,6,6,2019-02-13,11.578008651733398,11.182342529296877,,0.03538311596160715,
7,7,7,7,2019-02-14,11.455541610717772,11.220023155212402,,0.020990906368669737,
8,8,8,8,2019-02-15,11.568588256835938,11.172921180725098,,0.03541303744211688,
9,9,9,9,2019-02-19,12.331664085388184,10.93740463256836,,0.12747626147688917,
10,10,10,10,2019-02-20,12.576601028442385,10.862038612365724,,0.1578490444809082,
11,11,11,11,2019-02-21,12.265719413757324,10.82435417175293,,0.13315946791225275,
12,12,12,12,2019-02-22,12.45413303375244,11.578008651733398,11.182342529296877,0.07567142229487556,0.11373202896652201
13,13,13,13,2019-02-25,12.491816520690918,11.455541610717772,11.220023155212402,0.09046057752551917,0.11335033340708289
14,14,14,14,2019-02-26,12.416451454162598,11.568588256835938,11.172921180725098,0.07329011790402795,0.11129858103561752
15,15,15,15,2019-02-27,12.397608757019045,12.331664085388184,10.93740463256836,0.005347589033745992,0.13350554116857194
16,16,16,16,2019-02-28,12.152669906616213,12.576601028442385,10.862038612365724,-0.03370792480952822,0.11882035594876172
17,17,17,17,2019-03-01,12.12441062927246,12.265719413757324,10.82435417175293,-0.011520627508107895,0.12010475977515012
18,18,18,18,2019-03-04,12.039623260498049,12.45413303375244,11.578008651733398,-0.033282908744511674,0.03986994850755621
19,19,19,19,2019-03-05,12.096145629882812,12.491816520690918,11.455541610717772,-0.03167440781352604,0.05592088448840293
20,20,20,20,2019-03-06,11.813526153564451,12.416451454162598,11.568588256835938,-0.0485585839741689,0.021172669585139747
21,21,21,21,2019-03-07,11.596850395202637,12.397608757019045,12.331664085388184,-0.06458974286981345,-0.059587553236730595
22,22,22,22,2019-03-08,11.389595985412598,12.152669906616213,12.576601028442385,-0.06279064000480905,-0.0943820226423131
23,23,23,23,2019-03-11,11.64395523071289,12.12441062927246,12.265719413757324,-0.03962711370065164,-0.050691211992592744
24,24,24,24,2019-03-12,11.917153358459473,12.039623260498049,12.45413303375244,-0.010172237069942192,-0.043116584176327466
25,25,25,25,2019-03-13,11.92657470703125,12.096145629882812,12.491816520690918,-0.014018591379443057,-0.04524896861264538
26,26,26,26,2019-03-14,11.60627269744873,11.813526153564451,12.416451454162598,-0.017543742098813375,-0.0652504267990559
27,27,27,27,2019-03-15,11.63453483581543,11.596850395202637,12.397608757019045,0.003249540981263621,-0.06155008890497471
28,28,28,28,2019-03-18,11.888893127441406,11.389595985412598,12.152669906616213,0.04383800291672246,-0.02170525334776019
29,29,29,29,2019-03-19,11.945416450500488,11.64395523071289,12.12441062927246,0.02588993291492936,-0.014763124101044411
30,30,30,30,2019-03-20,12.077302932739258,11.917153358459473,12.039623260498049,0.013438576265874858,0.003129638812273905
31,31,31,31,2019-03-21,12.171514511108398,11.92657470703125,12.096145629882812,0.020537313528312895,0.006230817942485034
32,32,32,32,2019-03-22,11.474382400512695,11.60627269744873,11.813526153564451,-0.011363708261397876,-0.02870808839318706
33,33,33,33,2019-03-25,11.662796974182127,11.63453483581543,11.596850395202637,0.0024291592887493163,0.005686593922671568
34,34,34,34,2019-03-26,11.96425724029541,11.888893127441406,11.389595985412598,0.006339035269822713,0.050454928833193025
35,35,35,35,2019-03-27,11.97368049621582,11.945416450500488,11.64395523071289,0.0023660996527372635,0.028317290728946176
36,36,36,36,2019-03-28,11.992518424987791,12.077302932739258,11.917153358459473,-0.007020152448245054,0.006324082963556021
37,37,37,37,2019-03-29,12.1432523727417,12.171514511108398,11.92657470703125,-0.002321990278276842,0.018167635807681437
38,38,38,38,2019-04-01,12.34108543395996,11.474382400512695,11.60627269744873,0.07553374144202629,0.06331168977898938
39,39,39,39,2019-04-02,12.359925270080566,11.662796974182127,11.63453483581543,0.059773680142222174,0.0623480392213116
40,40,40,40,2019-04-03,12.397608757019045,11.96425724029541,11.888893127441406,0.03622051148015393,0.04278914984974036
41,41,41,41,2019-04-04,12.774434089660645,11.97368049621582,11.945416450500488,0.06687614503309125,0.06940048030936774
42,42,42,42,2019-04-05,12.55776023864746,11.992518424987791,12.077302932739258,0.04713287014693446,0.0397818377649346
43,43,43,43,2019-04-08,12.94400691986084,12.1432523727417,12.171514511108398,0.06594234580157599,0.06346723803742105
44,44,44,44,2019-04-09,12.604865074157717,12.34108543395996,11.474382400512695,0.02137410372931159,0.09852231119598298
45,45,45,45,2019-04-10,12.708491325378418,12.359925270080566,11.662796974182127,0.02820130766822837,0.08966068375460345
46,46,46,46,2019-04-11,12.633127212524414,12.397608757019045,11.96425724029541,0.0189970872707228,0.05590568296845544
47,47,47,47,2019-04-12,12.95462703704834,12.774434089660645,11.97368049621582,0.0141057479433504,0.08192523102170135
48,48,48,48,2019-04-15,12.945171356201172,12.55776023864746,11.992518424987791,0.030850335584639232,0.0794372705926738
49,49,49,49,2019-04-16,13.38960075378418,12.94400691986084,12.1432523727417,0.034424721547362314,0.10263711424133737
50,50,50,50,2019-04-17,13.4274263381958,12.604865074157717,12.34108543395996,0.0652574429951247,0.08802636608012371
51,51,51,51,2019-04-18,13.23830509185791,12.708491325378418,12.359925270080566,0.04168974529820635,0.0710667583001996
52,52,52,52,2019-04-22,12.9073486328125,12.633127212524414,12.397608757019045,0.021706535181267306,0.04111598339517375
53,53,53,53,2019-04-23,12.72768497467041,12.95462703704834,12.774434089660645,-0.017518224316987907,-0.003659584030268115
54,54,54,54,2019-04-24,12.841156959533691,12.945171356201172,12.55776023864746,-0.008034995737437933,0.022567457532280066
55,55,55,55,2019-04-25,11.545696258544922,13.38960075378418,12.94400691986084,-0.1377116860424783,-0.10802765094094613
56,56,56,56,2019-04-26,11.819916725158691,13.4274263381958,12.604865074157717,-0.11971837138025254,-0.062273443180943966
57,57,57,57,2019-04-29,11.753724098205566,13.23830509185791,12.708491325378418,-0.11214282971657907,-0.075128290426277
58,58,58,58,2019-04-30,11.640253067016602,12.9073486328125,12.633127212524414,-0.09816853963134953,-0.0785929033092837
59,59,59,59,2019-05-01,11.07289695739746,12.72768497467041,12.95462703704834,-0.13001484720639878,-0.14525544226548615
60,60,60,60,2019-05-02,10.883777618408203,12.841156959533691,12.945171356201172,-0.15243013906720193,-0.15924035928697788
61,61,61,61,2019-05-03,11.299840927124023,11.545696258544922,13.38960075378418,-0.02129411045600149,-0.15607334864480904
