,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FMC,FMC_6m,FMC_12m,FMC_6m_ret,FMC_12m_ret
0,0,0,0,2019-02-05,66.4721908569336,,,,
1,1,1,1,2019-02-06,66.8006820678711,,,,
2,2,2,2,2019-02-07,65.87776184082031,,,,
3,3,3,3,2019-02-08,66.1280517578125,,,,
4,4,4,4,2019-02-11,66.29228973388672,,,,
5,5,5,5,2019-02-12,64.33699798583984,,,,
6,6,6,6,2019-02-13,65.92469024658203,66.4721908569336,,-0.00823653626115517,
7,7,7,7,2019-02-14,65.67442321777344,66.8006820678711,,-0.016859990276047676,
8,8,8,8,2019-02-15,66.75375366210938,65.87776184082031,,0.013297231065707793,
9,9,9,9,2019-02-19,67.64534759521484,66.1280517578125,,0.022944813843288392,
10,10,10,10,2019-02-20,68.39619445800781,66.29228973388672,,0.03173679371412086,
11,11,11,11,2019-02-21,68.98279571533203,64.33699798583984,,0.07221035912360563,
12,12,12,12,2019-02-22,69.22525024414062,65.92469024658203,66.4721908569336,0.05006561252261199,0.04141670902847738
13,13,13,13,2019-02-25,69.89004516601562,65.67442321777344,66.8006820678711,0.06418970645944433,0.04624747835666798
14,14,14,14,2019-02-26,69.27998352050781,66.75375366210938,65.87776184082031,0.037844012056394316,0.051644463694869414
15,15,15,15,2019-02-27,70.0933837890625,67.64534759521484,66.1280517578125,0.036189276585531616,0.05996444664319833
16,16,16,16,2019-02-28,69.99951934814453,68.39619445800781,66.29228973388672,0.023441726587889233,0.055922485543032696
17,17,17,17,2019-03-01,70.7347183227539,68.98279571533203,64.33699798583984,0.025396515018780264,0.09944076561237991
18,18,18,18,2019-03-04,71.20467376708984,69.22525024414062,65.92469024658203,0.028593952581872584,0.08009113885493857
19,19,19,19,2019-03-05,71.3218994140625,69.89004516601562,65.67442321777344,0.020487241704389758,0.08599201819500246
20,20,20,20,2019-03-06,70.75379943847656,69.27998352050781,66.75375366210938,0.02127332951129346,0.05992240970619278
21,21,21,21,2019-03-07,70.1766586303711,70.0933837890625,67.64534759521484,0.0011880556595640357,0.037420327119958685
22,22,22,22,2019-03-08,69.9151382446289,69.99951934814453,68.39619445800781,-0.0012054526131237697,0.022208016084193982
23,23,23,23,2019-03-11,70.73577117919922,70.7347183227539,68.98279571533203,1.4884578185547781e-05,0.025411777613379316
24,24,24,24,2019-03-12,70.7628173828125,71.20467376708984,69.22525024414062,-0.006205440751300362,0.022211073751979837
25,25,25,25,2019-03-13,70.77182006835938,71.3218994140625,69.89004516601562,-0.007712628943175148,0.012616602267879529
26,26,26,26,2019-03-14,69.58149719238281,70.75379943847656,69.27998352050781,-0.016568753273993653,0.004352103689310827
27,27,27,27,2019-03-15,69.65361785888672,70.1766586303711,70.0933837890625,-0.007453201416147359,-0.006274000574707617
28,28,28,28,2019-03-18,69.36504364013672,69.9151382446289,69.99951934814453,-0.007868032851017781,-0.00906400092338111
29,29,29,29,2019-03-19,68.77889251708984,70.73577117919922,70.7347183227539,-0.02766462610765774,-0.02765015330576237
30,30,30,30,2019-03-20,68.24684143066406,70.7628173828125,71.20467376708984,-0.035555056245676564,-0.041539862202035205
31,31,31,31,2019-03-21,69.98727416992188,70.77182006835938,71.3218994140625,-0.01108556905389313,-0.018712699116331666
32,32,32,32,2019-03-22,67.61560821533203,69.58149719238281,70.75379943847656,-0.02825304220769187,-0.04435367779610655
33,33,33,33,2019-03-25,67.15568542480469,69.65361785888672,70.1766586303711,-0.03586220659984474,-0.04304811976697598
34,34,34,34,2019-03-26,67.70578002929688,69.36504364013672,69.9151382446289,-0.023920746297631412,-0.03160056993095861
35,35,35,35,2019-03-27,67.92218780517578,68.77889251708984,70.73577117919922,-0.012455924783918104,-0.03977596238960368
36,36,36,36,2019-03-28,68.9829330444336,68.24684143066406,70.7628173828125,0.01078572426706903,-0.025152819011573402
37,37,37,37,2019-03-29,69.64472961425781,69.98727416992188,70.77182006835938,-0.004894383439372096,-0.015925695467671863
38,38,38,38,2019-04-01,71.56672668457031,67.61560821533203,69.58149719238281,0.05843500596275564,0.028530997065191466
39,39,39,39,2019-04-02,71.5848388671875,67.15568542480469,69.65361785888672,0.06595351405268901,0.027726068905900902
40,40,40,40,2019-04-03,71.75709533691406,67.70578002929688,69.36504364013672,0.059837067173055924,0.03448497357238356
41,41,41,41,2019-04-04,72.8268814086914,67.92218780517578,68.77889251708984,0.07221047734186614,0.058855104283566995
42,42,42,42,2019-04-05,72.90848541259766,68.9829330444336,68.24684143066406,0.056906138879822876,0.0683056370699533
43,43,43,43,2019-04-08,73.1804428100586,69.64472961425781,69.98727416992188,0.050767850135740034,0.04562498937141113
44,44,44,44,2019-04-09,72.56395721435547,71.56672668457031,67.61560821533203,0.013934276108231725,0.07318353157845858
