,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MLM,MLM_6m,MLM_12m,MLM_6m_ret,MLM_12m_ret
0,0,0,0,2019-02-05,180.6920928955078,,,,
1,1,1,1,2019-02-06,175.1053009033203,,,,
2,2,2,2,2019-02-07,175.25918579101562,,,,
3,3,3,3,2019-02-08,177.25926208496094,,,,
4,4,4,4,2019-02-11,178.8459014892578,,,,
5,5,5,5,2019-02-12,177.47079467773438,,,,
6,6,6,6,2019-02-13,173.48980712890625,180.6920928955078,,-0.039859440726975004,
7,7,7,7,2019-02-14,180.28826904296875,175.1053009033203,,0.02959915041355643,
8,8,8,8,2019-02-15,182.759521484375,175.25918579101562,,0.04279567806678619,
9,9,9,9,2019-02-19,181.74986267089844,177.25926208496094,,0.025333517318746113,
10,10,10,10,2019-02-20,184.88465881347656,178.8459014892578,,0.033765142359616584,
11,11,11,11,2019-02-21,183.06727600097656,177.47079467773438,,0.031534660862958974,
12,12,12,12,2019-02-22,182.70187377929688,173.48980712890625,180.6920928955078,0.05309860448196746,0.011122683076958406
13,13,13,13,2019-02-25,181.36524963378903,180.28826904296875,175.1053009033203,0.0059736587218750525,0.03574962435845941
14,14,14,14,2019-02-26,183.7595977783203,182.759521484375,175.25918579101562,0.005472088599393743,0.04850194840823252
15,15,15,15,2019-02-27,182.5768585205078,181.74986267089844,177.25926208496094,0.004550186929752176,0.02999897648788652
16,16,16,16,2019-02-28,180.5863647460937,184.88465881347656,178.8459014892578,-0.023248516642580208,0.009731636242949815
17,17,17,17,2019-03-01,185.54161071777344,183.06727600097656,177.47079467773438,0.01351598587605407,0.045476868769842804
18,18,18,18,2019-03-04,188.0673828125,182.70187377929688,173.48980712890625,0.0293675643397322,0.08402554550517394
19,19,19,19,2019-03-05,187.03585815429688,181.36524963378903,180.28826904296875,0.03126623502549619,0.037426667564931515
20,20,20,20,2019-03-06,188.58795166015625,183.7595977783203,182.759521484375,0.026275383382481365,0.03189125320772712
