,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,VLTO,VLTO_6m,VLTO_12m,VLTO_6m_ret,VLTO_12m_ret
0,0,0,0,2023-10-04,77.71586608886719,,,,
1,1,1,1,2023-10-05,74.3694839477539,,,,
2,2,2,2,2023-10-06,77.89566802978516,,,,
3,3,3,3,2023-10-09,74.52931213378906,,,,
4,4,4,4,2023-10-10,74.91889190673828,,,,
5,5,5,5,2023-10-11,74.38946533203125,,,,
6,6,6,6,2023-10-12,74.14972686767578,77.71586608886719,,-0.045886887718829095,
7,7,7,7,2023-10-13,71.77229309082031,74.3694839477539,,-0.03492280326643349,
8,8,8,8,2023-10-16,74.12974548339844,77.89566802978516,,-0.04834572501447365,
9,9,9,9,2023-10-17,74.39945220947266,74.52931213378906,,-0.0017424006823422156,
10,10,10,10,2023-10-18,72.37164306640625,74.91889190673828,,-0.034000086967422516,
11,11,11,11,2023-10-19,70.21398162841797,74.38946533203125,,-0.056130040523565405,
12,12,12,12,2023-10-20,69.8543701171875,74.14972686767578,77.71586608886719,-0.05792815337207624,-0.10115689842136166
13,13,13,13,2023-10-23,71.8222427368164,71.77229309082031,74.3694839477539,0.0006959460795392669,-0.034251161574914146
14,14,14,14,2023-10-24,71.93212890625,74.12974548339844,77.89566802978516,-0.029645543267656338,-0.07655803299940711
15,15,15,15,2023-10-25,70.71344757080078,74.39945220947266,74.52931213378906,-0.049543437877659136,-0.05119951404003764
16,16,16,16,2023-10-26,69.92430114746094,72.37164306640625,74.91889190673828,-0.03381631002490437,-0.06666663951056284
17,17,17,17,2023-10-27,67.91646575927734,70.21398162841797,74.38946533203125,-0.03272162916638732,-0.08701500331884637
18,18,18,18,2023-10-30,68.28607177734375,69.8543701171875,74.14972686767578,-0.022450969598792114,-0.07907857976059762
19,19,19,19,2023-10-31,68.92537689208984,71.8222427368164,71.77229309082031,-0.040333826045251264,-0.039665950133821015
20,20,20,20,2023-11-01,67.4369888305664,71.93212890625,74.12974548339844,-0.06249140883265336,-0.09028436033590448
21,21,21,21,2023-11-02,70.20399475097656,70.71344757080078,74.39945220947266,-0.007204468701856648,-0.0563909724319438
