,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,VTR,VTR_6m,VTR_12m,VTR_6m_ret,VTR_12m_ret
0,0,0,0,2019-02-05,51.71913528442383,,,,
1,1,1,1,2019-02-06,51.36529541015625,,,,
2,2,2,2,2019-02-07,51.831729888916016,,,,
3,3,3,3,2019-02-08,51.68696975708008,,,,
4,4,4,4,2019-02-11,51.268775939941406,,,,
5,5,5,5,2019-02-12,51.019474029541016,,,,
6,6,6,6,2019-02-13,51.646766662597656,51.71913528442383,,-0.0013992620222319507,
7,7,7,7,2019-02-14,52.06495666503906,51.36529541015625,,0.01362128357864889,
8,8,8,8,2019-02-15,52.44293594360352,51.831729888916016,,0.011792121466858596,
9,9,9,9,2019-02-19,52.056915283203125,51.68696975708008,,0.00715742338662384,
10,10,10,10,2019-02-20,50.93101501464844,51.268775939941406,,-0.006588043484569206,
11,11,11,11,2019-02-21,51.4537467956543,51.019474029541016,,0.008511902060413856,
12,12,12,12,2019-02-22,51.670894622802734,51.646766662597656,51.71913528442383,0.00046717271504537194,-0.0009327430042246343
13,13,13,13,2019-02-25,51.043601989746094,52.06495666503906,51.36529541015625,-0.019616931247323888,-0.006262855452137561
14,14,14,14,2019-02-26,50.76211929321289,52.44293594360352,51.831729888916016,-0.03205039191928849,-0.020636212567002432
15,15,15,15,2019-02-27,50.77017211914063,52.056915283203125,51.68696975708008,-0.024718006379407576,-0.01773750022971432
16,16,16,16,2019-02-28,50.46456146240234,50.93101501464844,51.268775939941406,-0.009158536347880442,-0.01568624299673471
17,17,17,17,2019-03-01,50.09462738037109,51.4537467956543,51.019474029541016,-0.026414391563764572,-0.018127326217326933
18,18,18,18,2019-03-04,50.38415145874024,51.670894622802734,51.646766662597656,-0.024902668580749632,-0.024447129712997007
19,19,19,19,2019-03-05,50.23133850097656,51.043601989746094,52.06495666503906,-0.015913130286783095,-0.035217894751341516
20,20,20,20,2019-03-06,49.77293014526367,50.76211929321289,52.44293594360352,-0.019486758270186644,-0.05091259194967923
21,21,21,21,2019-03-07,49.73272705078125,50.77017211914063,52.056915283203125,-0.020434145189124897,-0.04464706023738996
22,22,22,22,2019-03-08,49.85335922241211,50.46456146240234,50.93101501464844,-0.012111513947180352,-0.021159126554347707
23,23,23,23,2019-03-11,50.81037139892578,50.09462738037109,51.4537467956543,0.01428783995377425,-0.012503956209129807
24,24,24,24,2019-03-12,51.02751159667969,50.38415145874024,51.670894622802734,0.01276909741084542,-0.012451555770801703
25,25,25,25,2019-03-13,51.09185409545898,50.23133850097656,51.043601989746094,0.017131050458981667,0.0009453115342952234
26,26,26,26,2019-03-14,51.14010238647461,49.77293014526367,50.76211929321289,0.027468188776927693,0.007446164551925261
27,27,27,27,2019-03-15,50.33589172363281,49.73272705078125,50.77017211914063,0.012128123845605243,-0.008553849187052376
28,28,28,28,2019-03-18,49.46733856201172,49.85335922241211,50.46456146240234,-0.007743122357677601,-0.019760855370428265
29,29,29,29,2019-03-19,49.12152862548828,50.81037139892578,50.09462738037109,-0.03323815053777002,-0.019425211959238964
30,30,30,30,2019-03-20,49.60405731201172,51.02751159667969,50.38415145874024,-0.027895820119917314,-0.015482927153538495
31,31,31,31,2019-03-21,51.23661422729492,51.09185409545898,50.23133850097656,0.0028333309565449216,0.02001291935111027
32,32,32,32,2019-03-22,51.65480422973633,51.14010238647461,49.77293014526367,0.010064544638022532,0.037809188227021284
33,33,33,33,2019-03-25,52.03278732299805,50.33589172363281,49.73272705078125,0.03371144408610016,0.04624842450059585
34,34,34,34,2019-03-26,52.44293594360352,49.46733856201172,49.85335922241211,0.06015276883880927,0.05194387623185959
35,35,35,35,2019-03-27,51.69501876831055,49.12152862548828,50.81037139892578,0.05239026990473028,0.01741076368915251
36,36,36,36,2019-03-28,52.4751091003418,49.60405731201172,51.02751159667969,0.05787937406553323,0.028368961338030463
37,37,37,37,2019-03-29,51.94837951660156,51.23661422729492,51.09185409545898,0.013891731529119378,0.016764422358645836
38,38,38,38,2019-04-01,51.50061798095703,51.65480422973633,51.14010238647461,-0.0029849353042468163,0.007049567319164618
39,39,39,39,2019-04-02,51.78556442260742,52.03278732299805,50.33589172363281,-0.004751290736280667,0.028799980477826503
40,40,40,40,2019-04-03,51.13426971435547,52.44293594360352,49.46733856201172,-0.02495409926430081,0.033697611409882144
41,41,41,41,2019-04-04,50.80049133300781,51.69501876831055,49.12152862548828,-0.017303938689177678,0.03417977319721177
42,42,42,42,2019-04-05,51.43548202514648,52.4751091003418,49.60405731201172,-0.019811813505854148,0.036920865194857155
43,43,43,43,2019-04-08,50.64579772949219,51.94837951660156,51.23661422729492,-0.02507454128945641,-0.011531138556145959
44,44,44,44,2019-04-09,50.56438446044922,51.50061798095703,51.65480422973633,-0.018179073518185707,-0.021109745464089502
45,45,45,45,2019-04-10,50.96330642700195,51.78556442260742,52.03278732299805,-0.01587813138223715,-0.020553980499972035
46,46,46,46,2019-04-11,50.38528060913086,51.13426971435547,52.44293594360352,-0.01464749784065733,-0.03923608198986872
47,47,47,47,2019-04-12,50.49926376342773,50.80049133300781,51.69501876831055,-0.005929619215796045,-0.023130952137613403
48,48,48,48,2019-04-15,50.556243896484375,51.43548202514648,52.4751091003418,-0.01709399997908545,-0.03656715034528479
49,49,49,49,2019-04-16,48.6430892944336,50.64579772949219,51.94837951660156,-0.03954342758614238,-0.0636264355678634
50,50,50,50,2019-04-17,47.454498291015625,50.56438446044922,51.50061798095703,-0.06150349109591369,-0.07856448812784167
51,51,51,51,2019-04-18,48.05693054199219,50.96330642700195,51.78556442260742,-0.0570287936316054,-0.0720014143359895
52,52,52,52,2019-04-22,47.03114700317383,50.38528060913086,51.13426971435547,-0.06656971173738369,-0.0802421298691145
53,53,53,53,2019-04-23,47.53590393066406,50.49926376342773,50.80049133300781,-0.0586812482385094,-0.06426290999714346
54,54,54,54,2019-04-24,48.45584487915039,50.556243896484375,51.43548202514648,-0.04154578852089219,-0.05792960479187037
55,55,55,55,2019-04-25,48.42327499389648,48.6430892944336,50.64579772949219,-0.0045189214691238044,-0.04388365541138439
56,56,56,56,2019-04-26,49.302520751953125,47.454498291015625,50.56438446044922,0.03894304075462918,-0.02495558330158465
57,57,57,57,2019-04-29,48.76521301269531,48.05693054199219,50.96330642700195,0.01473840427832207,-0.04313090276933096
58,58,58,58,2019-04-30,49.750282287597656,47.03114700317383,50.38528060913086,0.05781562767840498,-0.012602853727446073
59,59,59,59,2019-05-01,49.7584228515625,47.53590393066406,50.49926376342773,0.04675453156713316,-0.014670330944542509
60,60,60,60,2019-05-02,50.09220504760742,48.45584487915039,50.556243896484375,0.03377012974468063,-0.009178665444907086
61,61,61,61,2019-05-03,50.8656120300293,48.42327499389648,48.6430892944336,0.05043725432533552,0.045690410864797304
62,62,62,62,2019-05-06,50.50740814208984,49.302520751953125,47.454498291015625,0.02443865692382441,0.06433341329102626
63,63,63,63,2019-05-07,49.63631057739258,48.76521301269531,48.05693054199219,0.017863093604666203,0.03286477137819532
64,64,64,64,2019-05-08,49.71772384643555,49.750282287597656,47.03114700317383,-0.0006544373150265681,0.05712335365923393
65,65,65,65,2019-05-09,50.222469329833984,49.7584228515625,47.53590393066406,0.009325988479494507,0.05651655226938668
66,66,66,66,2019-05-10,50.9225959777832,50.09220504760742,48.45584487915039,0.01657724848380271,0.05090719406059119
67,67,67,67,2019-05-13,51.63087463378906,50.8656120300293,48.42327499389648,0.015044792999010514,0.0662408653751092
68,68,68,68,2019-05-14,51.68786239624024,50.50740814208984,49.302520751953125,0.023371903203377453,0.048381738051245904
69,69,69,69,2019-05-15,52.25774383544922,49.63631057739258,48.76521301269531,0.05281281440064567,0.07161930825247653
70,70,70,70,2019-05-16,52.64850997924805,49.71772384643555,49.750282287597656,0.05894851787392552,0.05825550244913669
71,71,71,71,2019-05-17,52.89274597167969,50.222469329833984,49.7584228515625,0.05316896356307721,0.06299080518422762
72,72,72,72,2019-05-20,52.19261169433594,50.9225959777832,50.09220504760742,0.024940121220583977,0.041930808291076316
73,73,73,73,2019-05-21,52.51825714111328,51.63087463378906,50.8656120300293,0.01718705161627243,0.03249042024911297
74,74,74,74,2019-05-22,52.86018371582031,51.68786239624024,50.50740814208984,0.022680785492598554,0.046582781819085595
75,75,75,75,2019-05-23,53.39749526977539,52.25774383544922,49.63631057739258,0.02181019214903457,0.0757748641796896
76,76,76,76,2019-05-24,53.68243789672852,52.64850997924805,49.71772384643555,0.019638312990966078,0.0797444803092533
77,77,77,77,2019-05-28,52.67293930053711,52.89274597167969,50.222469329833984,-0.004155705420555544,0.048792303592437136
78,78,78,78,2019-05-29,52.29844284057617,52.19261169433594,50.9225959777832,0.0020277035926086207,0.027018395986591726
79,79,79,79,2019-05-30,52.23331832885742,52.51825714111328,51.63087463378906,-0.005425519195929263,0.011668283741877561
80,80,80,80,2019-05-31,52.347293853759766,52.86018371582031,51.68786239624024,-0.00970276351701449,0.01275795567756921
81,81,81,81,2019-06-03,52.22517776489258,53.39749526977539,52.25774383544922,-0.021954541106469883,-0.0006231817175113008
