,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CCI,CCI_6m,CCI_12m,CCI_6m_ret,CCI_12m_ret
0,0,0,0,2019-02-05,98.84977722167967,,,,
1,1,1,1,2019-02-06,97.30758666992188,,,,
2,2,2,2,2019-02-07,98.07039642333984,,,,
3,3,3,3,2019-02-08,98.14498901367188,,,,
4,4,4,4,2019-02-11,98.20303344726562,,,,
5,5,5,5,2019-02-12,97.32416534423828,,,,
6,6,6,6,2019-02-13,98.20303344726562,98.84977722167967,,-0.0065426932927088455,
7,7,7,7,2019-02-14,98.4600830078125,97.30758666992188,,0.011843848741208918,
8,8,8,8,2019-02-15,99.60428619384766,98.07039642333984,,0.015640701235533738,
9,9,9,9,2019-02-19,99.62085723876952,98.14498901367188,,0.01503763197621888,
10,10,10,10,2019-02-20,99.14825439453124,98.20303344726562,,0.009625170568414054,
11,11,11,11,2019-02-21,98.96585845947266,97.32416534423828,,0.016868298941251192,
12,12,12,12,2019-02-22,99.38870239257812,98.20303344726562,98.84977722167967,0.012073648885288168,0.005451961410999129
13,13,13,13,2019-02-25,97.97915649414062,98.4600830078125,97.30758666992188,-0.004884482106659593,0.006901515567298899
14,14,14,14,2019-02-26,97.97915649414062,99.60428619384766,98.07039642333984,-0.016315861112083496,-0.0009303513856042667
15,15,15,15,2019-02-27,98.1035385131836,99.62085723876952,98.14498901367188,-0.015230934240499816,-0.000422339448043596
16,16,16,16,2019-02-28,98.4600830078125,99.14825439453124,98.20303344726562,-0.00694083209957852,0.002617531775990445
17,17,17,17,2019-03-01,98.85807037353516,98.96585845947266,97.32416534423828,-0.001089144151481647,0.01576078278063231
18,18,18,18,2019-03-04,99.0902099609375,99.38870239257812,98.20303344726562,-0.0030032833154577387,0.00903410498157653
19,19,19,19,2019-03-05,99.14825439453124,97.97915649414062,98.4600830078125,0.011932108238353,0.0069893439625083875
20,20,20,20,2019-03-06,100.06029510498048,97.97915649414062,99.60428619384766,0.021240625917863687,0.00457820570337053
21,21,21,21,2019-03-07,100.1100616455078,98.1035385131836,99.62085723876952,0.020453116806327554,0.004910662488737394
22,22,22,22,2019-03-08,100.29246520996094,98.4600830078125,99.14825439453124,0.01861040683870896,0.01154040302995818
23,23,23,23,2019-03-11,102.431640625,98.85807037353516,98.96585845947266,0.03614849286418509,0.0350199777931155
24,24,24,24,2019-03-12,102.68869018554688,99.0902099609375,99.38870239257812,0.03631519426619367,0.03320284613369884
25,25,25,25,2019-03-13,103.65046691894533,99.14825439453124,97.97915649414062,0.04540889349901067,0.0578828255695778
26,26,26,26,2019-03-14,103.75506591796876,100.06029510498048,97.97915649414062,0.036925443894721965,0.0589503893532044
27,27,27,27,2019-03-15,104.60845184326172,100.1100616455078,98.1035385131836,0.0449344463864465,0.06630661267334381
28,28,28,28,2019-03-18,104.29889678955078,100.29246520996094,98.4600830078125,0.03994748330497644,0.05930132906017338
29,29,29,29,2019-03-19,104.22360229492188,102.431640625,98.85807037353516,0.017494220135379823,0.05427510269129332
30,30,30,30,2019-03-20,105.21922302246094,102.68869018554688,99.0902099609375,0.024642760876019354,0.06185286179068106
31,31,31,31,2019-03-21,105.75469207763672,103.65046691894533,99.14825439453124,0.02030116429998241,0.06663191120659695
32,32,32,32,2019-03-22,105.0016860961914,103.75506591796876,100.06029510498048,0.012015029504277353,0.049384133696853016
33,33,33,33,2019-03-25,104.81761169433594,104.60845184326172,100.1100616455078,0.001999454608004436,0.04702374538033638
34,34,34,34,2019-03-26,105.03517150878906,104.29889678955078,100.29246520996094,0.007059276194683939,0.04728875981759284
35,35,35,35,2019-03-27,105.73795318603516,104.22360229492188,102.431640625,0.014529826812434754,0.0322782349366002
36,36,36,36,2019-03-28,106.44912719726562,105.21922302246094,102.68869018554688,0.01168896841732181,0.03661977774693659
37,37,37,37,2019-03-29,107.09335327148438,105.75469207763672,103.65046691894533,0.012658173056425026,0.033216313007363274
38,38,38,38,2019-04-01,105.9805908203125,105.0016860961914,103.75506591796876,0.00932275242917835,0.021449795078953393
39,39,39,39,2019-04-02,107.40292358398438,104.81761169433594,104.60845184326172,0.02466486163782866,0.02671363251709047
40,40,40,40,2019-04-03,107.4112777709961,105.03517150878906,104.29889678955078,0.022622005829811,0.02984097701172539
41,41,41,41,2019-04-04,107.2690658569336,105.73795318603516,104.22360229492188,0.014480256376862233,0.02922047880665235
42,42,42,42,2019-04-05,108.0136947631836,106.44912719726562,105.21922302246094,0.014697796093889881,0.02655856658555744
43,43,43,43,2019-04-08,107.52005767822266,107.09335327148438,105.75469207763672,0.003984415406776742,0.016693023882949243
44,44,44,44,2019-04-09,108.62445831298828,105.9805908203125,105.0016860961914,0.02494671403708626,0.034502038505153765
45,45,45,45,2019-04-10,108.9758758544922,107.40292358398438,104.81761169433594,0.01464533941925561,0.03967142632749909
46,46,46,46,2019-04-11,107.70413970947266,107.4112777709961,105.03517150878906,0.0027265473845394794,0.025410233185178877
47,47,47,47,2019-04-12,107.82125854492188,107.2690658569336,105.73795318603516,0.005147734657489744,0.01970253155195234
48,48,48,48,2019-04-15,106.59136962890624,108.0136947631836,106.44912719726562,-0.013168007421612171,0.0013362479842320418
49,49,49,49,2019-04-16,104.2570571899414,107.52005767822266,107.09335327148438,-0.030347830523366093,-0.02648433348008894
50,50,50,50,2019-04-17,103.88892364501952,108.62445831298828,105.9805908203125,-0.043595473261867856,-0.019736323029556968
51,51,51,51,2019-04-18,102.59210205078124,108.9758758544922,107.40292358398438,-0.05857969714540101,-0.04479227727391688
52,52,52,52,2019-04-22,102.55862426757812,107.70413970947266,107.4112777709961,-0.04777453731838299,-0.04517824947361637
53,53,53,53,2019-04-23,103.26978302001952,107.82125854492188,107.2690658569336,-0.04221315523789837,-0.03728272270262878
54,54,54,54,2019-04-24,103.01042938232422,106.59136962890624,108.0136947631836,-0.03359502987013796,-0.04632065768909088
55,55,55,55,2019-04-25,102.62557220458984,104.2570571899414,107.52005767822266,-0.015648676735419698,-0.04552160386930437
56,56,56,56,2019-04-26,103.75506591796876,103.88892364501952,108.62445831298828,-0.0012884696688949537,-0.04482777148576378
57,57,57,57,2019-04-29,103.41201782226562,102.59210205078124,108.9758758544922,0.00799199699679165,-0.05105586891226832
58,58,58,58,2019-04-30,105.23595428466795,102.55862426757812,107.70413970947266,0.02610536204253866,-0.022916346868955384
59,59,59,59,2019-05-01,104.1231918334961,103.26978302001952,107.82125854492188,0.00826387727871114,-0.03429812229362028
60,60,60,60,2019-05-02,103.77178955078124,103.01042938232422,106.59136962890624,0.007391097901662258,-0.0264522361232552
61,61,61,61,2019-05-03,104.4076690673828,102.62557220458984,104.2570571899414,0.017365037042037068,0.0014446204554479092
62,62,62,62,2019-05-06,104.39093780517578,103.75506591796876,103.88892364501952,0.006128586412443182,0.004832220245842622
63,63,63,63,2019-05-07,103.10245513916016,103.41201782226562,102.59210205078124,-0.002993488470919403,0.004974584575002661
64,64,64,64,2019-05-08,103.50405883789062,105.23595428466795,102.55862426757812,-0.01645725986474622,0.009218479450795236
65,65,65,65,2019-05-09,103.77178955078124,104.1231918334961,103.26978302001952,-0.0033748704445862865,0.004861117318939234
66,66,66,66,2019-05-10,105.15229034423828,103.77178955078124,103.01042938232422,0.013303237801266743,0.020792661235927046
67,67,67,67,2019-05-13,105.67101287841795,104.4076690673828,102.62557220458984,0.012100105502976133,0.029675261325285085
68,68,68,68,2019-05-14,106.16466522216795,104.39093780517578,103.75506591796876,0.01699120109738339,0.02322391955400316
69,69,69,69,2019-05-15,106.45748138427734,103.10245513916016,103.41201782226562,0.03254070177658552,0.029449803090062066
70,70,70,70,2019-05-16,106.70013427734376,103.50405883789062,105.23595428466795,0.03087874500128418,0.013913305605754545
