,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MOS,MOS_6m,MOS_12m,MOS_6m_ret,MOS_12m_ret
0,0,0,0,2019-02-05,30.18673324584961,,,,
1,1,1,1,2019-02-06,30.430463790893555,,,,
2,2,2,2,2019-02-07,29.436744689941406,,,,
3,3,3,3,2019-02-08,29.239877700805664,,,,
4,4,4,4,2019-02-11,28.986757278442383,,,,
5,5,5,5,2019-02-12,29.896114349365234,,,,
6,6,6,6,2019-02-13,30.055479049682617,30.18673324584961,,-0.004348075530333784,
7,7,7,7,2019-02-14,29.942989349365234,30.430463790893555,,-0.01601929056612672,
8,8,8,8,2019-02-15,30.102352142333984,29.436744689941406,,0.022611449037706288,
9,9,9,9,2019-02-19,30.26172637939453,29.239877700805664,,0.034947091401846375,
10,10,10,10,2019-02-20,31.38669776916504,28.986757278442383,,0.08279437633086006,
11,11,11,11,2019-02-21,31.0960693359375,29.896114349365234,,0.04013748986070964,
12,12,12,12,2019-02-22,30.28047561645508,30.055479049682617,30.18673324584961,0.007486041609935379,0.0031054162052583933
13,13,13,13,2019-02-25,30.72109031677246,29.942989349365234,30.430463790893555,0.02598608169440242,0.009550512534937994
14,14,14,14,2019-02-26,29.4742431640625,30.102352142333984,29.436744689941406,-0.02086577737518902,0.0012738662007660828
15,15,15,15,2019-02-27,30.15860366821289,30.26172637939453,29.239877700805664,-0.0034076942567248247,0.03142030814246222
16,16,16,16,2019-02-28,29.31487464904785,31.38669776916504,28.986757278442383,-0.06600959219585667,0.011319561117293153
17,17,17,17,2019-03-01,29.061752319335938,31.0960693359375,29.896114349365234,-0.0654203910669352,-0.02790871148935825
18,18,18,18,2019-03-04,28.893007278442383,30.28047561645508,30.055479049682617,-0.04582055961032261,-0.038677532616220645
19,19,19,19,2019-03-05,28.021160125732425,30.72109031677246,29.942989349365234,-0.08788523334297105,-0.06418294450195072
20,20,20,20,2019-03-06,27.42536163330078,29.4742431640625,30.102352142333984,-0.06951430506144052,-0.08892961242282649
21,21,21,21,2019-03-07,26.196239471435547,30.15860366821289,30.26172637939453,-0.1313842059920588,-0.13434418304460016
22,22,22,22,2019-03-08,26.29006576538086,29.31487464904785,31.38669776916504,-0.10318341524156027,-0.16238191227594578
23,23,23,23,2019-03-11,26.937469482421875,29.061752319335938,31.0960693359375,-0.07309548349225636,-0.13373393944390144
24,24,24,24,2019-03-12,26.89993667602539,28.893007278442383,30.28047561645508,-0.06898107155166433,-0.11164087986096993
25,25,25,25,2019-03-13,26.974994659423828,28.021160125732425,30.72109031677246,-0.03733483773028656,-0.12193889014750947
26,26,26,26,2019-03-14,26.62784194946289,27.42536163330078,29.4742431640625,-0.02907964148299569,-0.09657249547530988
27,27,27,27,2019-03-15,26.937469482421875,26.196239471435547,30.15860366821289,0.028295283061317456,-0.10680647622907302
28,28,28,28,2019-03-18,26.871788024902344,26.29006576538086,29.31487464904785,0.02212707509798273,-0.08333948732149399
29,29,29,29,2019-03-19,26.78734397888184,26.937469482421875,29.061752319335938,-0.005573110853564045,-0.07826122511342315
30,30,30,30,2019-03-20,26.440189361572266,26.89993667602539,28.893007278442383,-0.017091018465589025,-0.0848931332495877
31,31,31,31,2019-03-21,26.552780151367188,26.974994659423828,28.021160125732425,-0.015652070125957818,-0.05240254035794878
32,32,32,32,2019-03-22,25.19230842590332,26.62784194946289,27.42536163330078,-0.05391099760484064,-0.08142292660549688
33,33,33,33,2019-03-25,25.26736068725586,26.937469482421875,26.196239471435547,-0.061999468667829016,-0.035458478122119
34,34,34,34,2019-03-26,24.788848876953125,26.871788024902344,26.29006576538086,-0.07751397659206527,-0.05710205907527843
35,35,35,35,2019-03-27,24.95773696899414,26.78734397888184,26.937469482421875,-0.0683011727975007,-0.07349363364363581
36,36,36,36,2019-03-28,25.492544174194336,26.440189361572266,26.89993667602539,-0.03584108927582874,-0.052319547022777746
37,37,37,37,2019-03-29,25.623903274536133,26.552780151367188,26.974994659423828,-0.03498228326886621,-0.050086808243933634
38,38,38,38,2019-04-01,26.121177673339844,25.19230842590332,26.62784194946289,0.03687114462608898,-0.019027613168376423
39,39,39,39,2019-04-02,25.81155014038086,25.26736068725586,26.937469482421875,0.021537249571122574,-0.04179751712668256
40,40,40,40,2019-04-03,25.67081451416016,24.788848876953125,26.871788024902344,0.035579128405071714,-0.044692727913350216
41,41,41,41,2019-04-04,26.00859260559082,24.95773696899414,26.78734397888184,0.042105405546271735,-0.029071615831153585
42,42,42,42,2019-04-05,26.196239471435547,25.492544174194336,26.440189361572266,0.027603965003757835,-0.009226480446137497
43,43,43,43,2019-04-08,26.130565643310547,25.623903274536133,26.552780151367188,0.01977303626797222,-0.015900952956705794
44,44,44,44,2019-04-09,25.745874404907227,26.121177673339844,25.19230842590332,-0.014367777484078137,0.02197361074044002
45,45,45,45,2019-04-10,25.67081451416016,25.81155014038086,25.26736068725586,-0.005452428291027989,0.01596739097122213
46,46,46,46,2019-04-11,25.333038330078125,25.67081451416016,24.788848876953125,-0.013157984679282975,0.0219529940993326
47,47,47,47,2019-04-12,25.14538955688477,26.00859260559082,24.95773696899414,-0.03318914874772949,0.007518814230783599
48,48,48,48,2019-04-15,24.98588752746582,26.196239471435547,25.492544174194336,-0.0462032707133212,-0.01987469917739304
49,49,49,49,2019-04-16,25.182918548583984,26.130565643310547,25.623903274536133,-0.03626584696489954,-0.017209896604253094
50,50,50,50,2019-04-17,25.23921585083008,25.745874404907227,26.121177673339844,-0.019679213302639886,-0.03376424422892399
