,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CDNS,CDNS_6m,CDNS_12m,CDNS_6m_ret,CDNS_12m_ret
0,0,0,0,2019-02-05,50.08000183105469,,,,
1,1,1,1,2019-02-06,50.47999954223633,,,,
2,2,2,2,2019-02-07,50.58000183105469,,,,
3,3,3,3,2019-02-08,50.90999984741211,,,,
4,4,4,4,2019-02-11,50.84000015258789,,,,
5,5,5,5,2019-02-12,52.130001068115234,,,,
6,6,6,6,2019-02-13,51.36000061035156,50.08000183105469,,0.02555908012174135,
7,7,7,7,2019-02-14,51.65999984741211,50.47999954223633,,0.023375600552224318,
8,8,8,8,2019-02-15,52.58000183105469,50.58000183105469,,0.039541319248669105,
9,9,9,9,2019-02-19,52.63999938964844,50.90999984741211,,0.0339815271542232,
10,10,10,10,2019-02-20,55.06999969482422,50.84000015258789,,0.08320219373604809,
11,11,11,11,2019-02-21,55.400001525878906,52.130001068115234,,0.0627278033908143,
12,12,12,12,2019-02-22,56.56999969482422,51.36000061035156,50.08000183105469,0.10144079093765801,0.12959260436258768
13,13,13,13,2019-02-25,57.27000045776367,51.65999984741211,50.47999954223633,0.1085946695106812,0.13450873567948807
14,14,14,14,2019-02-26,57.36000061035156,52.58000183105469,50.58000183105469,0.09090906452714731,0.13404504811888218
15,15,15,15,2019-02-27,57.45000076293945,52.63999938964844,50.90999984741211,0.09137540708704672,0.1284620101184264
16,16,16,16,2019-02-28,57.25,55.06999969482422,50.84000015258789,0.03958598723908602,0.12608182195463313
17,17,17,17,2019-03-01,58.13999938964844,55.400001525878906,52.130001068115234,0.0494584438321648,0.11528866676369875
18,18,18,18,2019-03-04,58.540000915527344,56.56999969482422,51.36000061035156,0.03482413348648761,0.13979751206873336
19,19,19,19,2019-03-05,58.869998931884766,57.27000045776367,51.65999984741211,0.02793781144285279,0.1395663783540224
20,20,20,20,2019-03-06,58.5099983215332,57.36000061035156,52.58000183105469,0.020048774388857105,0.11278045424061123
21,21,21,21,2019-03-07,58.77000045776367,57.45000076293945,52.63999938964844,0.022976495688329823,0.11645138942233135
22,22,22,22,2019-03-08,59.15999984741211,57.25,55.06999969482422,0.033362442749556465,0.07426911522159108
23,23,23,23,2019-03-11,59.959999084472656,58.13999938964844,55.400001525878906,0.03130374464964758,0.08231042297830338
24,24,24,24,2019-03-12,60.619998931884766,58.540000915527344,56.56999969482422,0.03553122623552474,0.07159270388737671
25,25,25,25,2019-03-13,60.65999984741211,58.869998931884766,57.27000045776367,0.03040599537972577,0.05919328378822941
26,26,26,26,2019-03-14,61.15999984741211,58.5099983215332,57.36000061035156,0.0452914305571539,0.06624824261899986
27,27,27,27,2019-03-15,60.9900016784668,58.77000045776367,57.45000076293945,0.03777439515758685,0.06161881407338421
28,28,28,28,2019-03-18,61.060001373291016,59.15999984741211,57.25,0.032116320669024034,0.06655024232822737
29,29,29,29,2019-03-19,61.2400016784668,59.959999084472656,58.13999938964844,0.021347608631395287,0.05331961337052071
30,30,30,30,2019-03-20,61.45000076293945,60.619998931884766,58.540000915527344,0.013691881321002963,0.04970959688933396
