,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CF,CF_6m,CF_12m,CF_6m_ret,CF_12m_ret
0,0,0,0,2019-02-05,37.9020881652832,,,,
1,1,1,1,2019-02-06,37.43437957763672,,,,
2,2,2,2,2019-02-07,36.454837799072266,,,,
3,3,3,3,2019-02-08,36.9401969909668,,,,
4,4,4,4,2019-02-11,37.0284423828125,,,,
5,5,5,5,2019-02-12,37.86679458618164,,,,
6,6,6,6,2019-02-13,37.62852478027344,37.9020881652832,,-0.007217633598888051,
7,7,7,7,2019-02-14,37.806270599365234,37.43437957763672,,0.009934478036619732,
8,8,8,8,2019-02-15,37.121952056884766,36.454837799072266,,0.01829974560549208,
9,9,9,9,2019-02-19,37.335243225097656,36.9401969909668,,0.01069421027255113,
10,10,10,10,2019-02-20,39.61924743652344,37.0284423828125,,0.06996797291461321,
11,11,11,11,2019-02-21,39.094913482666016,37.86679458618164,,0.03243260777432,
12,12,12,12,2019-02-22,39.16600799560547,37.62852478027344,37.9020881652832,0.04085951347574612,0.03334697087956129
13,13,13,13,2019-02-25,38.43726348876953,37.806270599365234,37.43437957763672,0.016690164869499036,0.02679045098244215
14,14,14,14,2019-02-26,38.383934020996094,37.121952056884766,36.454837799072266,0.03399557119672747,0.052917427106833115
15,15,15,15,2019-02-27,38.52613067626953,37.335243225097656,36.9401969909668,0.03189713922558113,0.042932464212103394
16,16,16,16,2019-02-28,37.504093170166016,39.61924743652344,37.0284423828125,-0.053387037947811744,0.012845552141677485
17,17,17,17,2019-03-01,37.57518768310547,39.094913482666016,37.86679458618164,-0.03887272445901091,-0.007700860510189145
18,18,18,18,2019-03-04,37.39745330810547,39.16600799560547,37.62852478027344,-0.04515534714945768,-0.006140859189066816
19,19,19,19,2019-03-05,36.68647384643555,38.43726348876953,37.806270599365234,-0.04554927909593576,-0.029619339204234763
20,20,20,20,2019-03-06,36.659812927246094,38.383934020996094,37.121952056884766,-0.04491777973583688,-0.012449214118118057
21,21,21,21,2019-03-07,35.788856506347656,38.52613067626953,37.335243225097656,-0.07104980754290802,-0.04141895392047379
22,22,22,22,2019-03-08,35.806636810302734,37.504093170166016,39.61924743652344,-0.04526056268475742,-0.09623127325497871
23,23,23,23,2019-03-11,36.82866287231445,37.57518768310547,39.094913482666016,-0.019867493865550756,-0.05796791470983498
24,24,24,24,2019-03-12,37.10418319702149,37.39745330810547,39.16600799560547,-0.00784198080729781,-0.05264322059106252
25,25,25,25,2019-03-13,38.21508026123047,36.68647384643555,38.43726348876953,0.04166675765006622,-0.005780412219095088
26,26,26,26,2019-03-14,37.95735168457031,36.659812927246094,38.383934020996094,0.035394036513477944,-0.011113564758433614
27,27,27,27,2019-03-15,38.25950622558594,35.788856506347656,38.52613067626953,0.06903405027204701,-0.00692061325659743
28,28,28,28,2019-03-18,37.74405670166016,35.806636810302734,37.504093170166016,0.05410784323647988,0.006398329121180657
29,29,29,29,2019-03-19,37.406341552734375,36.82866287231445,37.57518768310547,0.015685573012051535,-0.004493553879093781
30,30,30,30,2019-03-20,36.96198272705078,37.10418319702149,37.39745330810547,-0.0038324646365514026,-0.011644391329724724
31,31,31,31,2019-03-21,36.5353889465332,38.21508026123047,36.68647384643555,-0.04395362519757229,-0.004118272596455141
32,32,32,32,2019-03-22,34.66907501220703,37.95735168457031,36.659812927246094,-0.08663082450243675,-0.05430300255459075
33,33,33,33,2019-03-25,35.18452453613281,38.25950622558594,35.788856506347656,-0.08037170347474953,-0.016886037420828393
34,34,34,34,2019-03-26,35.30895233154297,37.74405670166016,35.806636810302734,-0.06451623335999512,-0.01389922436436608
35,35,35,35,2019-03-27,35.726661682128906,37.406341552734375,36.82866287231445,-0.044903612619734634,-0.0299223785019348
36,36,36,36,2019-03-28,35.86885070800781,36.96198272705078,37.10418319702149,-0.02957449623618147,-0.033293617661763975
37,37,37,37,2019-03-29,36.33098602294922,36.5353889465332,38.21508026123047,-0.005594655742767962,-0.049302375538713195
38,38,38,38,2019-04-01,37.1663818359375,34.66907501220703,37.95735168457031,0.07203269261874357,-0.020838383436385555
39,39,39,39,2019-04-02,37.041969299316406,35.18452453613281,38.25950622558594,0.052791526606422945,-0.031823121790717335
40,40,40,40,2019-04-03,38.152862548828125,35.30895233154297,37.74405670166016,0.0805436023867685,0.010830999179533896
41,41,41,41,2019-04-04,38.37505340576172,35.726661682128906,37.406341552734375,0.07412928045716582,0.025896995344002915
42,42,42,42,2019-04-05,38.64167022705078,35.86885070800781,36.96198272705078,0.07730438707432374,0.04544365253357241
43,43,43,43,2019-04-08,38.7127685546875,36.33098602294922,36.5353889465332,0.06555788302122534,0.05959645349172904
44,44,44,44,2019-04-09,37.992897033691406,37.1663818359375,34.66907501220703,0.02223824749480241,0.09587282095971839
45,45,45,45,2019-04-10,37.81515502929688,37.041969299316406,35.18452453613281,0.020873234998192824,0.07476669154538484
46,46,46,46,2019-04-11,37.54853439331055,38.152862548828125,35.30895233154297,-0.015839654357367228,0.06342816520689754
47,47,47,47,2019-04-12,37.84181213378906,38.37505340576172,35.726661682128906,-0.01389551869373018,0.05920369696109029
48,48,48,48,2019-04-15,38.09954071044922,38.64167022705078,35.86885070800781,-0.014029660555977985,0.06219017220820522
49,49,49,49,2019-04-16,38.97937774658203,38.7127685546875,36.33098602294922,0.006886854178819846,0.07289622478068458
50,50,50,50,2019-04-17,39.65481185913086,37.992897033691406,37.1663818359375,0.04374277707661234,0.06695378727415457
51,51,51,51,2019-04-18,40.11693954467773,37.81515502929688,37.041969299316406,0.06086936609403204,0.08301314167489648
52,52,52,52,2019-04-22,39.94808197021485,37.54853439331055,38.152862548828125,0.06390522601414217,0.04705333496508168
53,53,53,53,2019-04-23,39.61037063598633,37.84181213378906,38.37505340576172,0.0467355658324331,0.03219063221001628
54,54,54,54,2019-04-24,39.59259796142578,38.09954071044922,38.64167022705078,0.039188326765500214,0.02460886728724554
55,55,55,55,2019-04-25,39.16600799560547,38.97937774658203,38.7127685546875,0.0047879227379354905,0.011707750642470982
56,56,56,56,2019-04-26,40.13472366333008,39.65481185913086,37.992897033691406,0.01210223379457842,0.056374396186195996
