,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PNR,PNR_6m,PNR_12m,PNR_6m_ret,PNR_12m_ret
0,0,0,0,2019-02-05,38.285247802734375,,,,
1,1,1,1,2019-02-06,38.31293869018555,,,,
2,2,2,2,2019-02-07,37.79594421386719,,,,
3,3,3,3,2019-02-08,37.85133361816406,,,,
4,4,4,4,2019-02-11,37.93442153930664,,,,
5,5,5,5,2019-02-12,38.58989334106445,,,,
6,6,6,6,2019-02-13,38.98687744140625,38.285247802734375,,0.018326370571950745,
7,7,7,7,2019-02-14,38.61759567260742,38.31293869018555,,0.007951804085963188,
8,8,8,8,2019-02-15,39.439247131347656,37.79594421386719,,0.04347828719880331,
9,9,9,9,2019-02-19,39.21767425537109,37.85133361816406,,0.03609755605946052,
10,10,10,10,2019-02-20,39.503868103027344,37.93442153930664,,0.041372624124358603,
11,11,11,11,2019-02-21,39.2730712890625,38.58989334106445,,0.017703545898922313,
12,12,12,12,2019-02-22,39.7439079284668,38.98687744140625,38.285247802734375,0.019417571673912448,0.0380997958599667
13,13,13,13,2019-02-25,39.94700622558594,38.61759567260742,38.31293869018555,0.034424995389381596,0.042650540294341344
14,14,14,14,2019-02-26,39.67928695678711,39.439247131347656,37.79594421386719,0.006086318652078537,0.049829228561220296
15,15,15,15,2019-02-27,39.76237106323242,39.21767425537109,37.85133361816406,0.013889064515005822,0.05048798185941039
16,16,16,16,2019-02-28,39.2730712890625,39.503868103027344,37.93442153930664,-0.005842385190303889,0.03528852412758643
17,17,17,17,2019-03-01,39.40230941772461,39.2730712890625,38.58989334106445,0.003290756857564636,0.021052560821557043
18,18,18,18,2019-03-04,39.57772064208984,39.7439079284668,38.98687744140625,-0.0041814530839814346,0.015154924924971835
19,19,19,19,2019-03-05,39.28229522705078,39.94700622558594,38.61759567260742,-0.016639820135242345,0.017212349522703452
20,20,20,20,2019-03-06,38.98687744140625,39.67928695678711,39.439247131347656,-0.01745015015352802,-0.011470038675810534
21,21,21,21,2019-03-07,38.54373550415039,39.76237106323242,39.21767425537109,-0.030647960030957044,-0.017184567010074425
22,22,22,22,2019-03-08,38.44218063354492,39.2730712890625,39.503868103027344,-0.021156752661434464,-0.02687553195331427
23,23,23,23,2019-03-11,39.42078399658203,39.40230941772461,39.2730712890625,0.0004688704578597047,0.0037611702540989445
24,24,24,24,2019-03-12,39.26383209228516,39.57772064208984,39.7439079284668,-0.007930940557270505,-0.012079230785399853
25,25,25,25,2019-03-13,39.503868103027344,39.28229522705078,39.94700622558594,0.005640527741464174,-0.011093149760864063
26,26,26,26,2019-03-14,39.291534423828125,38.98687744140625,39.67928695678711,0.007814346837079933,-0.009772164842106856
27,27,27,27,2019-03-15,39.346927642822266,38.54373550415039,39.76237106323242,0.020838461248401607,-0.010448155110003188
28,28,28,28,2019-03-18,40.24242401123047,38.44218063354492,39.2730712890625,0.04682989747243016,0.024682376253011062
29,29,29,29,2019-03-19,40.28859329223633,39.42078399658203,39.40230941772461,0.022014003976418728,0.02249319615040224
30,30,30,30,2019-03-20,39.854679107666016,39.26383209228516,39.57772064208984,0.015048124034152677,0.006997837699668885
31,31,31,31,2019-03-21,40.1685676574707,39.503868103027344,39.28229522705078,0.016826189088871013,0.022561625416674058
32,32,32,32,2019-03-22,39.01456832885742,39.291534423828125,38.98687744140625,-0.007049001751449513,0.0007102617410894574
33,33,33,33,2019-03-25,39.30999374389648,39.346927642822266,38.54373550415039,-0.0009386730079934402,0.019880227739305978
34,34,34,34,2019-03-26,39.97470474243164,40.24242401123047,38.44218063354492,-0.006652662591202674,0.03986569137416285
35,35,35,35,2019-03-27,40.09471893310547,40.28859329223633,39.42078399658203,-0.004812140193741099,0.01709592930931736
36,36,36,36,2019-03-28,40.55631637573242,39.854679107666016,39.26383209228516,0.017604890662171968,0.03291793527461673
37,37,37,37,2019-03-29,41.09177780151367,40.1685676574707,39.503868103027344,0.02298339716555131,0.040196309241034456
38,38,38,38,2019-04-01,41.99651718139648,39.01456832885742,39.291534423828125,0.0764316761729602,0.06884390740230106
39,39,39,39,2019-04-02,41.59954071044922,39.30999374389648,39.346927642822266,0.05824338160593667,0.05725003710773535
40,40,40,40,2019-04-03,41.45183181762695,39.97470474243164,40.24242401123047,0.036951544350680265,0.030053055602688783
41,41,41,41,2019-04-04,41.64569854736328,40.09471893310547,40.28859329223633,0.03868289030396954,0.03368460261898676
42,42,42,42,2019-04-05,41.73802185058594,40.55631637573242,39.854679107666016,0.02913739659947545,0.04725524794296132
43,43,43,43,2019-04-08,41.784175872802734,41.09177780151367,40.1685676574707,0.01685003931038387,0.040220707621660745
44,44,44,44,2019-04-09,36.12494659423828,41.99651718139648,39.01456832885742,-0.13981089340806507,-0.07406519816552248
45,45,45,45,2019-04-10,36.21726608276367,41.59954071044922,39.30999374389648,-0.12938303009517593,-0.07867535368440504
46,46,46,46,2019-04-11,36.9096565246582,41.45183181762695,39.97470474243164,-0.1095771910142036,-0.07667469309710762
47,47,47,47,2019-04-12,36.9835319519043,41.64569854736328,40.09471893310547,-0.1119483345958705,-0.07759592943878513
48,48,48,48,2019-04-15,36.82657623291016,41.73802185058594,40.55631637573242,-0.11767317663634858,-0.0919644700536465
49,49,49,49,2019-04-16,37.362037658691406,41.784175872802734,41.09177780151367,-0.10583284513192215,-0.09076609342234099
50,50,50,50,2019-04-17,35.563018798828125,36.12494659423828,41.99651718139648,-0.01555511767870077,-0.15319123618703911
