,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KMX,KMX_6m,KMX_12m,KMX_6m_ret,KMX_12m_ret
0,0,0,0,2019-02-05,61.93999862670898,,,,
1,1,1,1,2019-02-06,60.9900016784668,,,,
2,2,2,2,2019-02-07,60.119998931884766,,,,
3,3,3,3,2019-02-08,60.380001068115234,,,,
4,4,4,4,2019-02-11,60.68999862670898,,,,
5,5,5,5,2019-02-12,60.84999847412109,,,,
6,6,6,6,2019-02-13,61.36000061035156,61.93999862670898,,-0.009363868731300129,
7,7,7,7,2019-02-14,61.15999984741211,60.9900016784668,,0.0027873120883243896,
8,8,8,8,2019-02-15,62.060001373291016,60.119998931884766,,0.0322688369240367,
9,9,9,9,2019-02-19,61.9900016784668,60.380001068115234,,0.026664468066757818,
10,10,10,10,2019-02-20,62.400001525878906,60.68999862670898,,0.028176024680570233,
11,11,11,11,2019-02-21,61.52000045776367,60.84999847412109,,0.011010714879927663,
12,12,12,12,2019-02-22,60.540000915527344,61.36000061035156,61.93999862670898,-0.013363749782718926,-0.022602482115295808
13,13,13,13,2019-02-25,59.79999923706055,61.15999984741211,60.9900016784668,-0.02223676608477143,-0.019511434803360483
14,14,14,14,2019-02-26,60.95000076293945,62.060001373291016,60.119998931884766,-0.017885926293731536,0.013805752591497411
15,15,15,15,2019-02-27,60.29999923706055,61.9900016784668,60.380001068115234,-0.02726250033307065,-0.0013249723358639276
16,16,16,16,2019-02-28,62.09999847412109,62.400001525878906,60.68999862670898,-0.00480774109650306,0.02323282055227449
17,17,17,17,2019-03-01,61.650001525878906,61.52000045776367,60.84999847412109,0.0021131512865395496,0.013147133472781514
18,18,18,18,2019-03-04,59.83000183105469,60.540000915527344,61.36000061035156,-0.01172776798373909,-0.024934790809613583
19,19,19,19,2019-03-05,60.75,59.79999923706055,61.15999984741211,0.015886300586283264,-0.00670372544857778
20,20,20,20,2019-03-06,61.0,60.95000076293945,62.060001373291016,0.0008203320169759554,-0.017080266674747602
21,21,21,21,2019-03-07,59.720001220703125,60.29999923706055,61.9900016784668,-0.009618541023147409,-0.03661881587837079
22,22,22,22,2019-03-08,58.380001068115234,62.09999847412109,62.400001525878906,-0.05990334134317388,-0.06442308268368346
23,23,23,23,2019-03-11,59.54999923706055,61.650001525878906,61.52000045776367,-0.034063296623550565,-0.032022126236094905
24,24,24,24,2019-03-12,60.9900016784668,59.83000183105469,60.540000915527344,0.019388263612086565,0.007433114571097299
25,25,25,25,2019-03-13,60.869998931884766,60.75,59.79999923706055,0.0019752910598316298,0.017892971713636685
26,26,26,26,2019-03-14,60.61000061035156,61.0,60.95000076293945,-0.0063934326171875,-0.005578345337685864
27,27,27,27,2019-03-15,61.060001373291016,59.720001220703125,60.29999923706055,0.022438046302707626,0.01260368401071843
