,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CRM,CRM_6m,CRM_12m,CRM_6m_ret,CRM_12m_ret
0,0,0,0,2019-02-05,158.99000549316406,,,,
1,1,1,1,2019-02-06,158.1300048828125,,,,
2,2,2,2,2019-02-07,154.92999267578125,,,,
3,3,3,3,2019-02-08,156.6699981689453,,,,
4,4,4,4,2019-02-11,159.91000366210938,,,,
5,5,5,5,2019-02-12,162.7899932861328,,,,
6,6,6,6,2019-02-13,160.39999389648438,158.99000549316406,,0.008868409048397252,
7,7,7,7,2019-02-14,159.47000122070312,158.1300048828125,,0.00847401692603289,
8,8,8,8,2019-02-15,159.0500030517578,154.92999267578125,,0.02659272297648929,
9,9,9,9,2019-02-19,160.61000061035156,156.6699981689453,,0.02514841697487946,
10,10,10,10,2019-02-20,158.5399932861328,159.91000366210938,,-0.008567383807153162,
11,11,11,11,2019-02-21,159.6300048828125,162.7899932861328,,-0.01941144132714634,
12,12,12,12,2019-02-22,161.30999755859375,160.39999389648438,158.99000549316406,0.005673339755216222,0.014592062301233444
13,13,13,13,2019-02-25,161.36000061035156,159.47000122070312,158.1300048828125,0.011851755033429168,0.020426203932218723
14,14,14,14,2019-02-26,163.0,159.0500030517578,154.92999267578125,0.02483493789658575,0.0520880894966973
15,15,15,15,2019-02-27,163.1199951171875,160.61000061035156,156.6699981689453,0.01562788429921813,0.04116931782488975
16,16,16,16,2019-02-28,163.64999389648438,158.5399932861328,159.91000366210938,0.03223161868771518,0.023388094232538625
17,17,17,17,2019-03-01,164.52999877929688,159.6300048828125,162.7899932861328,0.030695945289743953,0.010688651421624451
18,18,18,18,2019-03-04,158.5,161.30999755859375,160.39999389648438,-0.01741985990405248,-0.011845348932560174
19,19,19,19,2019-03-05,156.97000122070312,161.36000061035156,159.47000122070312,-0.027206243015884146,-0.015676929710059073
20,20,20,20,2019-03-06,156.7899932861328,163.0,159.0500030517578,-0.03809820069857173,-0.014209429250306549
21,21,21,21,2019-03-07,155.60000610351562,163.1199951171875,160.61000061035156,-0.04610096394540364,-0.031193540176806644
22,22,22,22,2019-03-08,155.05999755859375,163.64999389648438,158.5399932861328,-0.052490049851906306,-0.021950270435916908
23,23,23,23,2019-03-11,157.64999389648438,164.52999877929688,159.6300048828125,-0.04181611216104997,-0.012403751962431486
24,24,24,24,2019-03-12,158.27999877929688,158.5,161.30999755859375,-0.0013880203198934904,-0.018783701104429507
25,25,25,25,2019-03-13,159.80999755859375,156.97000122070312,161.36000061035156,0.018092605694113084,-0.009605869149075685
26,26,26,26,2019-03-14,160.6699981689453,156.7899932861328,163.0,0.024746508380363963,-0.014294489761071727
27,27,27,27,2019-03-15,161.50999450683594,155.60000610351562,163.1199951171875,0.03798192912273146,-0.009870038367736034
28,28,28,28,2019-03-18,161.9499969482422,155.05999755859375,163.64999389648438,0.044434409248877094,-0.01038800495964276
29,29,29,29,2019-03-19,163.92999267578125,157.64999389648438,164.52999877929688,0.03983507150289167,-0.003646788476066809
30,30,30,30,2019-03-20,163.50999450683594,158.27999877929688,158.5,0.033042682384851974,0.03160879815038453
31,31,31,31,2019-03-21,166.9499969482422,159.80999755859375,156.97000122070312,0.04467805205384967,0.06357900012695406
32,32,32,32,2019-03-22,161.5,160.6699981689453,156.7899932861328,0.005165879383293159,0.03004022524110761
33,33,33,33,2019-03-25,160.8800048828125,161.50999450683594,155.60000610351562,-0.003900623153056726,0.03393315277754083
34,34,34,34,2019-03-26,159.39999389648438,161.9499969482422,155.05999755859375,-0.015745619634514596,0.027989142307645265
35,35,35,35,2019-03-27,155.1199951171875,163.92999267578125,157.64999389648438,-0.053742438554353233,-0.016048200934014045
36,36,36,36,2019-03-28,155.17999267578125,163.50999450683594,158.27999877929688,-0.05094490924655026,-0.019585583317057176
37,37,37,37,2019-03-29,158.3699951171875,166.9499969482422,159.80999755859375,-0.051392644431821455,-0.009010715621081689
38,38,38,38,2019-04-01,161.17999267578125,161.5,160.6699981689453,-0.0019814694998064875,0.0031741738510489004
39,39,39,39,2019-04-02,160.50999450683594,160.8800048828125,161.50999450683594,-0.002299915245813744,-0.006191567296212619
40,40,40,40,2019-04-03,162.6199951171875,159.39999389648438,161.9499969482422,0.020200761254697497,0.004137068117138876
41,41,41,41,2019-04-04,158.52000427246094,155.1199951171875,163.92999267578125,0.02191857440883016,-0.03300182178388866
42,42,42,42,2019-04-05,158.55999755859375,155.17999267578125,163.50999450683594,0.021781189859148675,-0.030273360128057702
43,43,43,43,2019-04-08,158.47000122070312,158.3699951171875,166.9499969482422,0.0006314712799075917,-0.05079362613087102
44,44,44,44,2019-04-09,156.97000122070312,161.17999267578125,161.5,-0.02611981416047493,-0.028049528045181904
45,45,45,45,2019-04-10,160.24000549316406,160.50999450683594,160.8800048828125,-0.0016820697957246056,-0.003978116423570599
46,46,46,46,2019-04-11,160.72999572753906,162.6199951171875,159.39999389648438,-0.011622183288632293,0.008343801016193364
47,47,47,47,2019-04-12,160.7100067138672,158.52000427246094,155.1199951171875,0.013815306474772138,0.03603669270655052
48,48,48,48,2019-04-15,160.08999633789062,158.55999755859375,155.17999267578125,0.009649336546763587,0.03164070043725209
49,49,49,49,2019-04-16,158.69000244140625,158.47000122070312,158.3699951171875,0.0013882830757143694,0.0020206310165127306
50,50,50,50,2019-04-17,155.33999633789062,156.97000122070312,161.17999267578125,-0.010384180863454828,-0.03623276214956761
