,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WM,WM_6m,WM_12m,WM_6m_ret,WM_12m_ret
0,0,0,0,2019-02-05,89.09803009033203,,,,
1,1,1,1,2019-02-06,88.59393310546875,,,,
2,2,2,2,2019-02-07,88.80474090576172,,,,
3,3,3,3,2019-02-08,89.29051208496094,,,,
4,4,4,4,2019-02-11,89.24468231201172,,,,
5,5,5,5,2019-02-12,90.41787719726562,,,,
6,6,6,6,2019-02-13,90.3354034423828,89.09803009033203,,0.013887774519776297,
7,7,7,7,2019-02-14,90.5920181274414,88.59393310546875,,0.02255329402289874,
8,8,8,8,2019-02-15,90.79364013671876,88.80474090576172,,0.02239631815454124,
9,9,9,9,2019-02-19,90.81197357177734,89.29051208496094,,0.017039453031344687,
10,10,10,10,2019-02-20,90.9036636352539,89.24468231201172,,0.018589133607335384,
11,11,11,11,2019-02-21,91.0319595336914,90.41787719726562,,0.00679160311501259,
12,12,12,12,2019-02-22,91.40775299072266,90.3354034423828,89.09803009033203,0.011870756176163066,0.025923389081093262
13,13,13,13,2019-02-25,91.01363372802734,90.5920181274414,88.59393310546875,0.00465400384383563,0.027312260983808123
14,14,14,14,2019-02-26,91.1327896118164,90.79364013671876,88.80474090576172,0.0037353880138184525,0.026215365106747823
15,15,15,15,2019-02-27,91.87518310546876,90.81197357177734,89.29051208496094,0.011707812217637503,0.028946759965364333
16,16,16,16,2019-02-28,92.80091857910156,90.9036636352539,89.24468231201172,0.020871050384286827,0.039848158735741324
17,17,17,17,2019-03-01,92.57176971435548,91.0319595336914,90.41787719726562,0.016915050368592643,0.02382153379237928
18,18,18,18,2019-03-04,91.87518310546876,91.40775299072266,90.3354034423828,0.005113681273770654,0.017045140713497275
19,19,19,19,2019-03-05,91.38941955566406,91.01363372802734,90.5920181274414,0.004128895993315229,0.008802115734974691
20,20,20,20,2019-03-06,91.48107147216795,91.1327896118164,90.79364013671876,0.0038216964698991607,0.007571360002903704
21,21,21,21,2019-03-07,91.85233306884766,91.87518310546876,90.81197357177734,-0.0002487073859203104,0.011456193012345572
22,22,22,22,2019-03-08,91.16138458251952,92.80091857910156,90.9036636352539,-0.01766721732592058,0.00283509967540696
23,23,23,23,2019-03-11,91.99053192138672,92.57176971435548,91.0319595336914,-0.006278780180634547,0.010530064304949294
24,24,24,24,2019-03-12,92.59860229492188,91.87518310546876,91.40775299072266,0.007873934668763072,0.013027880734800323
