,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SYK,SYK_6m,SYK_12m,SYK_6m_ret,SYK_12m_ret
0,0,0,0,2019-02-05,169.59982299804688,,,,
1,1,1,1,2019-02-06,170.87643432617188,,,,
2,2,2,2,2019-02-07,170.9237518310547,,,,
3,3,3,3,2019-02-08,172.7299041748047,,,,
4,4,4,4,2019-02-11,173.5526123046875,,,,
5,5,5,5,2019-02-12,175.56683349609375,,,,
6,6,6,6,2019-02-13,175.21688842773438,169.59982299804688,,0.03311952412681585,
7,7,7,7,2019-02-14,175.4533233642578,170.87643432617188,,0.026784787827146994,
8,8,8,8,2019-02-15,176.67318725585938,170.9237518310547,,0.03363742817023807,
9,9,9,9,2019-02-19,175.99234008789062,172.7299041748047,,0.0188874991199226,
10,10,10,10,2019-02-20,177.43917846679688,173.5526123046875,,0.022394166878261457,
11,11,11,11,2019-02-21,177.3824462890625,175.56683349609375,,0.010341433839262892,
12,12,12,12,2019-02-22,178.41317749023438,175.21688842773438,169.59982299804688,0.01824190060205444,0.05196558779597904
13,13,13,13,2019-02-25,177.28790283203125,175.4533233642578,170.87643432617188,0.01045622523755041,0.03752108083915795
14,14,14,14,2019-02-26,175.1696319580078,176.67318725585938,170.9237518310547,-0.008510376255759233,0.024840784744474043
15,15,15,15,2019-02-27,176.61648559570312,175.99234008789062,172.7299041748047,0.0035464356431695876,0.02250091806318122
16,16,16,16,2019-02-28,178.2618408203125,177.43917846679688,173.5526123046875,0.004636306145147984,0.027134299236922566
17,17,17,17,2019-03-01,181.1649932861328,177.3824462890625,175.56683349609375,0.021324246430259874,0.031886203553153525
18,18,18,18,2019-03-04,180.3044586181641,178.41317749023438,175.21688842773438,0.01060056860448677,0.02903584372534973
19,19,19,19,2019-03-05,179.60467529296875,177.28790283203125,175.4533233642578,0.013067854173516302,0.02366071983767637
20,20,20,20,2019-03-06,178.1011505126953,175.1696319580078,176.67318725585938,0.016735312633357813,0.00808251257033099
21,21,21,21,2019-03-07,176.8907012939453,176.61648559570312,175.99234008789062,0.0015526053375896076,0.005104547195667886
22,22,22,22,2019-03-08,177.0514373779297,178.2618408203125,177.43917846679688,-0.006790031095902926,-0.0021852056136505427
23,23,23,23,2019-03-11,178.9332733154297,181.1649932861328,177.3824462890625,-0.012318715278389014,0.008742843831570424
24,24,24,24,2019-03-12,180.42739868164065,180.3044586181641,178.41317749023438,0.0006818470514748931,0.011289643622408585
25,25,25,25,2019-03-13,181.4108123779297,179.60467529296875,177.28790283203125,0.010056180787135993,0.023255447664720874
26,26,26,26,2019-03-14,182.8387145996093,178.1011505126953,175.1696319580078,0.02660041259293422,0.04378089144721109
27,27,27,27,2019-03-15,183.49122619628903,176.8907012939453,176.61648559570312,0.03731414288066737,0.038924682355661044
28,28,28,28,2019-03-18,183.0562286376953,177.0514373779297,178.2618408203125,0.033915518273641254,0.026895199754026766
29,29,29,29,2019-03-19,185.45816040039065,178.9332733154297,181.1649932861328,0.03646547656599708,0.023697553464300913
30,30,30,30,2019-03-20,186.4226989746093,180.42739868164065,180.3044586181641,0.03322832528083608,0.03393282896792904
31,31,31,31,2019-03-21,187.23599243164065,181.4108123779297,179.60467529296875,0.03211043474947606,0.04248952387360627
32,32,32,32,2019-03-22,183.8694763183593,182.8387145996093,178.1011505126953,0.005637546298699503,0.03238791994919099
33,33,33,33,2019-03-25,184.559799194336,183.49122619628903,176.8907012939453,0.005823564538741888,0.04335500873868248
34,34,34,34,2019-03-26,185.42030334472656,183.0562286376953,177.0514373779297,0.012914472917008535,0.047267992232861156
35,35,35,35,2019-03-27,185.5338287353516,185.45816040039065,178.9332733154297,0.0004080075786234705,0.0368883623354177
36,36,36,36,2019-03-28,185.9510192871093,186.4226989746093,180.42739868164065,-0.002530162314430595,0.030614089910008246
37,37,37,37,2019-03-29,187.27842712402344,187.23599243164065,181.4108123779297,0.00022663747408646628,0.032344349651385995
38,38,38,38,2019-04-01,185.9320526123047,183.8694763183593,182.8387145996093,0.011217611184001886,0.016918397285111908
39,39,39,39,2019-04-02,185.0502471923828,184.559799194336,183.49122619628903,0.002657393431222843,0.008496433472116038
40,40,40,40,2019-04-03,184.73736572265625,185.42030334472656,183.0562286376953,-0.003683186844973596,0.009183719655277311
41,41,41,41,2019-04-04,183.6659698486328,185.5338287353516,185.45816040039065,-0.010067484185771414,-0.009663584216993426
42,42,42,42,2019-04-05,185.1166229248047,185.9510192871093,186.4226989746093,-0.004487183590084487,-0.007005992601697542
43,43,43,43,2019-04-08,185.59071350097656,187.27842712402344,187.23599243164065,-0.009011788751991157,-0.008787193686944472
44,44,44,44,2019-04-09,185.8087921142578,185.9320526123047,183.8694763183593,-0.000662933024807133,0.010547241634281335
45,45,45,45,2019-04-10,185.96994018554688,185.0502471923828,184.559799194336,0.004969963602415195,0.007640564182268328
46,46,46,46,2019-04-11,185.20196533203125,184.73736572265625,185.42030334472656,0.0025149195321563234,-0.0011775302313543623
47,47,47,47,2019-04-12,182.6798553466797,183.6659698486328,185.5338287353516,-0.005369064845087146,-0.015382496055438288
48,48,48,48,2019-04-15,183.3909912109375,185.1166229248047,185.9510192871093,-0.009321862545905168,-0.013767217227344641
49,49,49,49,2019-04-16,179.23812866210938,185.59071350097656,187.27842712402344,-0.034229001651172375,-0.04293232587109164
50,50,50,50,2019-04-17,170.89439392089844,185.8087921142578,185.9320526123047,-0.08026745141418379,-0.08087717249463144
51,51,51,51,2019-04-18,170.9133758544922,185.96994018554688,185.0502471923828,-0.08096235507755922,-0.0763947714330453
52,52,52,52,2019-04-22,172.71487426757812,185.20196533203125,184.73736572265625,-0.06742418225457913,-0.0650788291153146
53,53,53,53,2019-04-23,177.2659912109375,182.6798553466797,183.6659698486328,-0.029635802620207152,-0.0348457509192901
54,54,54,54,2019-04-24,175.4455108642578,183.3909912109375,185.1166229248047,-0.04332535799177151,-0.052243347505725235
55,55,55,55,2019-04-25,177.46507263183594,179.23812866210938,185.59071350097656,-0.009892181108495657,-0.04378258327617168
56,56,56,56,2019-04-26,178.51751708984375,170.89439392089844,185.8087921142578,0.0446072161528821,-0.03924074281657508
57,57,57,57,2019-04-29,177.57884216308594,170.9133758544922,185.96994018554688,0.03899909106159383,-0.04512072227419617
58,58,58,58,2019-04-30,179.11483764648438,172.71487426757812,185.20196533203125,0.037055079396295154,-0.032867511284957684
59,59,59,59,2019-05-01,177.01942443847656,177.2659912109375,182.6798553466797,-0.001390942339117629,-0.03098552326670656
60,60,60,60,2019-05-02,179.05796813964844,175.4455108642578,183.3909912109375,0.020590194970480535,-0.02362724058950738
61,61,61,61,2019-05-03,180.821533203125,177.46507263183594,179.23812866210938,0.018913358676793113,0.00883408319889667
62,62,62,62,2019-05-06,181.1154327392578,178.51751708984375,170.89439392089844,0.014552721165769889,0.05980909369730614
63,63,63,63,2019-05-07,177.8064422607422,177.57884216308594,170.9133758544922,0.0012816847710226398,0.04033076037371375
64,64,64,64,2019-05-08,178.29946899414062,179.11483764648438,172.71487426757812,-0.004552211659611505,0.032334185172208096
65,65,65,65,2019-05-09,178.26148986816406,177.01942443847656,177.2659912109375,0.007016548797553979,0.0056158468436393605
66,66,66,66,2019-05-10,177.58837890625,179.05796813964844,175.4455108642578,-0.008207337817283222,0.012213866467350787
67,67,67,67,2019-05-13,174.64906311035156,180.821533203125,177.46507263183594,-0.034135702664569445,-0.015867964775955645
68,68,68,68,2019-05-14,174.63011169433594,181.1154327392578,178.51751708984375,-0.03580766667332236,-0.02177604449624615
69,69,69,69,2019-05-15,176.04286193847656,177.8064422607422,177.57884216308594,-0.009918540069990489,-0.00864956774072645
70,70,70,70,2019-05-16,176.0049285888672,178.29946899414062,179.11483764648438,-0.012869025455980676,-0.01736265458786368
71,71,71,71,2019-05-17,174.59219360351562,178.26148986816406,177.01942443847656,-0.020583785467978122,-0.013711663805598517
72,72,72,72,2019-05-20,174.7533416748047,177.58837890625,179.05796813964844,-0.015964092070134495,-0.024040407190851987
73,73,73,73,2019-05-21,175.8342742919922,174.64906311035156,180.821533203125,0.006786244143157871,-0.0275811117336916
74,74,74,74,2019-05-22,176.30833435058594,174.63011169433594,181.1154327392578,0.009610156232319644,-0.026541627712048155
75,75,75,75,2019-05-23,174.93348693847656,176.04286193847656,177.8064422607422,-0.006301732360995738,-0.016157768446053322
76,76,76,76,2019-05-24,175.18951416015625,176.0049285888672,178.29946899414062,-0.0046329067898756016,-0.017442311250442266
77,77,77,77,2019-05-28,172.54420471191406,174.59219360351562,178.26148986816406,-0.011730128646257665,-0.03207246366266936
78,78,78,78,2019-05-29,171.9752960205078,174.7533416748047,177.58837890625,-0.015896952971958034,-0.03160726462121355
79,79,79,79,2019-05-30,174.2223663330078,175.8342742919922,174.64906311035156,-0.00916719999826443,-0.0024431667124039658
80,80,80,80,2019-05-31,173.73887634277344,176.30833435058594,174.63011169433594,-0.01457366163248519,-0.005103560565330678
81,81,81,81,2019-06-03,173.53025817871094,174.93348693847656,176.04286193847656,-0.008021498824059559,-0.014272681846332014
82,82,82,82,2019-06-04,176.78240966796875,175.18951416015625,176.0049285888672,0.009092413523998255,0.004417382429771077
83,83,83,83,2019-06-05,179.33290100097656,172.54420471191406,174.59219360351562,0.03934467866015634,0.02715303187166951
84,84,84,84,2019-06-06,181.8739776611328,171.9752960205078,174.7533416748047,0.05755874168953068,0.04074678010780919
85,85,85,85,2019-06-07,184.2253875732422,174.2223663330078,175.8342742919922,0.05741525299406525,0.04772171588865337
86,86,86,86,2019-06-10,185.9510192871093,173.73887634277344,176.30833435058594,0.07029021484081799,0.054692167401168
87,87,87,87,2019-06-11,184.7089080810547,173.53025817871094,174.93348693847656,0.06441902420747492,0.05588078825648801
88,88,88,88,2019-06-12,186.92759704589844,176.78240966796875,175.18951416015625,0.05738799124293137,0.06700220011462199
89,89,89,89,2019-06-13,186.5767974853516,179.33290100097656,172.54420471191406,0.04039357219975814,0.0813275229780499
90,90,90,90,2019-06-14,185.334701538086,181.8739776611328,171.9752960205078,0.019028142021511263,0.07768211962248972
91,91,91,91,2019-06-17,186.20700073242188,184.2253875732422,174.2223663330078,0.010756460796652378,0.06878929870867845
92,92,92,92,2019-06-18,187.90415954589844,185.9510192871093,173.73887634277344,0.01050352004671451,0.08153202956820094
93,93,93,93,2019-06-19,190.0944061279297,184.7089080810547,173.53025817871094,0.029156677405681508,0.09545394632076265
94,94,94,94,2019-06-20,192.73974609375,186.92759704589844,176.78240966796875,0.031093049606925938,0.09026540850841536
95,95,95,95,2019-06-21,192.2088317871093,186.5767974853516,179.33290100097656,0.030186145210257864,0.07179904364599898
96,96,96,96,2019-06-24,193.8775177001953,185.334701538086,181.8739776611328,0.04609399152567106,0.0659992165642711
97,97,97,97,2019-06-25,193.23280334472656,186.20700073242188,184.2253875732422,0.03773114106703601,0.048893455403389074
98,98,98,98,2019-06-26,191.8768920898437,187.90415954589844,185.9510192871093,0.021142334227970405,0.03186792320608278
99,99,99,99,2019-06-27,192.5328521728516,190.0944061279297,184.7089080810547,0.0128275528701296,0.04235823909674985
100,100,100,100,2019-06-28,195.4226531982422,192.73974609375,186.92759704589844,0.013919843513684027,0.04544570350550137
101,101,101,101,2019-07-01,196.335189819336,192.2088317871093,186.5767974853516,0.02146809797375515,0.05230228230683687
102,102,102,102,2019-07-02,195.63180541992188,193.8775177001953,185.334701538086,0.009048432951567431,0.055559502869028776
103,103,103,103,2019-07-03,197.8656311035156,193.23280334472656,186.20700073242188,0.023975368977720013,0.06261112807378866
104,104,104,104,2019-07-05,198.25543212890625,191.8768920898437,187.90415954589844,0.03324287760547984,0.055088043862485
105,105,105,105,2019-07-08,197.78961181640625,192.5328521728516,190.0944061279297,0.0273031827255914,0.04048096861565642
106,106,106,106,2019-07-09,198.6451416015625,195.4226531982422,192.73974609375,0.016489840612548212,0.03063922012712461
107,107,107,107,2019-07-10,198.730697631836,196.335189819336,192.2088317871093,0.01220111287591541,0.03393114553627963
108,108,108,108,2019-07-11,200.42274475097656,195.63180541992188,193.8775177001953,0.02448957275004937,0.03375959795865824
109,109,109,109,2019-07-12,196.2021331787109,197.8656311035156,193.23280334472656,-0.008407210062339798,0.015366592952062552
110,110,110,110,2019-07-15,195.3371124267578,198.25543212890625,191.8768920898437,-0.014719998694668446,0.01803354379585187
111,111,111,111,2019-07-16,195.2515563964844,197.78961181640625,192.5328521728516,-0.012832096673902837,0.01412072897144867
112,112,112,112,2019-07-17,197.67550659179688,198.6451416015625,195.4226531982422,-0.004881242007471309,0.01152810770238255
113,113,113,113,2019-07-18,200.05203247070312,198.730697631836,196.335189819336,0.006648871334991258,0.01893110784056229
114,114,114,114,2019-07-19,197.74208068847656,200.42274475097656,195.63180541992188,-0.013375049153381724,0.01078697435739051
115,115,115,115,2019-07-22,198.1888885498047,196.2021331787109,197.8656311035156,0.010126064069263307,0.001633722059188658
116,116,116,116,2019-07-23,199.025390625,195.3371124267578,198.25543212890625,0.01888160499774516,0.0038836691021566505
117,117,117,117,2019-07-24,203.0178680419922,195.2515563964844,197.78961181640625,0.03977592695720822,0.026433421743296437
118,118,118,118,2019-07-25,202.15280151367188,197.67550659179688,198.6451416015625,0.022649720236309845,0.01765791946296358
