,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SRE,SRE_6m,SRE_12m,SRE_6m_ret,SRE_12m_ret
0,0,0,0,2019-02-05,43.14299011230469,,,,
1,1,1,1,2019-02-06,43.38617706298828,,,,
2,2,2,2,2019-02-07,43.48564910888672,,,,
3,3,3,3,2019-02-08,43.44881820678711,,,,
4,4,4,4,2019-02-11,42.35448455810547,,,,
5,5,5,5,2019-02-12,42.04866409301758,,,,
6,6,6,6,2019-02-13,42.09287643432617,43.14299011230469,,-0.02434030824578881,
7,7,7,7,2019-02-14,42.02287673950195,43.38617706298828,,-0.03142245792956322,
8,8,8,8,2019-02-15,42.46870803833008,43.48564910888672,,-0.02338567070736952,
9,9,9,9,2019-02-19,42.84086227416992,43.44881820678711,,-0.013992461882938345,
10,10,10,10,2019-02-20,43.15773010253906,42.35448455810547,,0.018964828702652037,
11,11,11,11,2019-02-21,43.3567008972168,42.04866409301758,,0.031107689921031856,
12,12,12,12,2019-02-22,43.655155181884766,42.09287643432617,43.14299011230469,0.03711503893054391,0.011871339196631192
13,13,13,13,2019-02-25,43.32722473144531,42.02287673950195,43.38617706298828,0.031038998115930028,-0.001358781426106792
14,14,14,14,2019-02-26,43.809906005859375,42.46870803833008,43.48564910888672,0.03158085163124813,0.007456641526971897
15,15,15,15,2019-02-27,44.33680725097656,42.84086227416992,43.44881820678711,0.034918647697448346,0.020437587967599535
16,16,16,16,2019-02-28,44.3773307800293,43.15773010253906,42.35448455810547,0.028259147888282543,0.04775990648991879
17,17,17,17,2019-03-01,44.679466247558594,43.3567008972168,42.04866409301758,0.03050890226813152,0.06256565366075151
18,18,18,18,2019-03-04,44.705265045166016,43.655155181884766,42.09287643432617,0.0240546588119106,0.06206248734071962
19,19,19,19,2019-03-05,44.61315155029297,43.32722473144531,42.02287673950195,0.029679418121474566,0.061639635640558854
20,20,20,20,2019-03-06,44.5726203918457,43.809906005859375,42.46870803833008,0.017409633015061043,0.04954029568351226
21,21,21,21,2019-03-07,44.84159469604492,44.33680725097656,42.84086227416992,0.011385290830954853,0.04670149748786234
22,22,22,22,2019-03-08,45.06267166137695,44.3773307800293,43.15773010253906,0.015443490388026504,0.044139058155095556
23,23,23,23,2019-03-11,45.39060592651367,44.679466247558594,43.3567008972168,0.01591647659832862,0.04691097309545156
24,24,24,24,2019-03-12,45.68905258178711,44.705265045166016,43.655155181884766,0.022006077709799232,0.046590085212807386
25,25,25,25,2019-03-13,45.8143310546875,44.61315155029297,43.32722473144531,0.02692433649392445,0.057402853255845265
26,26,26,26,2019-03-14,45.85485458374024,44.5726203918457,43.809906005859375,0.02876730559303442,0.04667776684130209
27,27,27,27,2019-03-15,45.91749572753906,44.84159469604492,44.33680725097656,0.023993371305972566,0.0356518336472611
28,28,28,28,2019-03-18,45.928558349609375,45.06267166137695,44.3773307800293,0.019215165375437993,0.03495540498524452
29,29,29,29,2019-03-19,45.66326904296875,45.39060592651367,44.679466247558594,0.006007038480528637,0.02201912596625788
30,30,30,30,2019-03-20,46.075931549072266,45.68905258178711,44.705265045166016,0.00846765133929206,0.03066006884248318
31,31,31,31,2019-03-21,47.10737609863281,45.8143310546875,44.61315155029297,0.028223593233345223,0.0559078312485517
32,32,32,32,2019-03-22,47.18223190307617,45.85485458374024,44.5726203918457,0.02894736732643799,0.05854741068146585
33,33,33,33,2019-03-25,46.79674530029297,45.91749572753906,44.84159469604492,0.01914846528153702,0.04360127282494908
34,34,34,34,2019-03-26,46.961421966552734,45.928558349609375,45.06267166137695,0.02248848328922448,0.04213576859010759
35,35,35,35,2019-03-27,46.93522262573242,45.66326904296875,45.39060592651367,0.027855070594415166,0.03402943555588234
36,36,36,36,2019-03-28,46.58341979980469,46.075931549072266,45.68905258178711,0.011014172338370098,0.019575087848814343
37,37,37,37,2019-03-29,47.1036376953125,47.10737609863281,45.8143310546875,-7.93591923372583e-05,0.02814199423944408
38,38,38,38,2019-04-01,47.39181900024414,47.18223190307617,45.85485458374024,0.004442076788535809,0.03351803054346392
39,39,39,39,2019-04-02,47.62010955810547,46.79674530029297,45.91749572753906,0.01759447697759753,0.03707984949068699
40,40,40,40,2019-04-03,47.62010955810547,46.961421966552734,45.928558349609375,0.014026142394535368,0.03683005235261172
41,41,41,41,2019-04-04,47.53777313232422,46.93522262573242,45.66326904296875,0.012837917301396606,0.04105058898852776
