,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PH,PH_6m,PH_12m,PH_6m_ret,PH_12m_ret
69,69,69,69,2019-05-15,157.0142822265625,160.14556884765625,169.4654083251953,-0.019552752184311073,-0.07347296549594207
70,70,70,70,2019-05-16,157.34849548339844,158.82472229003906,167.2578125,-0.009294691565364777,-0.059245764777663634
71,71,71,71,2019-05-17,152.17724609375,159.47462463378906,166.25099182128906,-0.045758869517934064,-0.08465360460927407
72,72,72,72,2019-05-20,151.3974151611328,161.19219970703125,162.6394805908203,-0.0607646310658988,-0.06912261025950439
73,73,73,73,2019-05-21,154.12693786621094,153.95982360839844,166.12171936035156,0.0010854406941747108,-0.07220477575314233
74,74,74,74,2019-05-22,152.15869140625,154.95321655273438,163.53543090820312,-0.018034637864605574,-0.06956742914224623
75,75,75,75,2019-05-23,147.2659149169922,157.0142822265625,160.14556884765625,-0.062085863600000346,-0.08042466627919165
76,76,76,76,2019-05-24,146.96881103515625,157.34849548339844,158.82472229003906,-0.06596621350813825,-0.0746477694652099
77,77,77,77,2019-05-28,144.12782287597656,152.17724609375,159.47462463378906,-0.05289505116168636,-0.09623350293536836
78,78,78,78,2019-05-29,144.8055877685547,151.3974151611328,161.19219970703125,-0.04353989389820445,-0.10165883937473041
79,79,79,79,2019-05-30,145.87327575683594,154.12693786621094,153.95982360839844,-0.053551067864201274,-0.052523753678302976
80,80,80,80,2019-05-31,141.41683959960938,152.15869140625,154.95321655273438,-0.07059637347932268,-0.08735783131367425
81,81,81,81,2019-06-03,145.0655517578125,147.2659149169922,157.0142822265625,-0.014941428642330057,-0.07609964074165354
82,82,82,82,2019-06-04,149.66122436523438,146.96881103515625,157.34849548339844,0.018319623810755914,-0.04885506591307154
83,83,83,83,2019-06-05,150.74746704101562,144.12782287597656,152.17724609375,0.045928981878365915,-0.009395485129580772
84,84,84,84,2019-06-06,150.41323852539062,144.8055877685547,151.3974151611328,0.038725375472379975,-0.0065006171650601186
85,85,85,85,2019-06-07,153.69056701660156,145.87327575683594,154.12693786621094,0.05358960521868794,-0.002831243231395164
86,86,86,86,2019-06-10,154.8603973388672,141.41683959960938,152.15869140625,0.09506334448797116,0.017755843636982016
87,87,87,87,2019-06-11,155.12030029296875,145.0655517578125,147.2659149169922,0.06931175881054585,0.05333471346987362
88,88,88,88,2019-06-12,153.04066467285156,149.66122436523438,146.96881103515625,0.022580600432413833,0.04131389234851235
89,89,89,89,2019-06-13,153.93194580078125,150.74746704101562,144.12782287597656,0.021124592155828292,0.06802380504450722
90,90,90,90,2019-06-14,152.45579528808594,150.41323852539062,144.8055877685547,0.013579634231135396,0.05283088613789344
91,91,91,91,2019-06-17,149.9861297607422,153.69056701660156,145.87327575683594,-0.024103218094440493,0.02819470518206635
92,92,92,92,2019-06-18,154.63755798339844,154.8603973388672,141.41683959960938,-0.0014389692865189874,0.09348758196846019
93,93,93,93,2019-06-19,155.63095092773438,155.12030029296875,145.0655517578125,0.003291965228285232,0.07283189593874662
94,94,94,94,2019-06-20,159.7624053955078,153.04066467285156,149.66122436523438,0.04392127240838262,0.06749364154353321
95,95,95,95,2019-06-21,158.79684448242188,153.93194580078125,150.74746704101562,0.031604217411353774,0.053396435770401096
96,96,96,96,2019-06-24,157.6456298828125,152.45579528808594,150.41323852539062,0.03404156978696449,0.04808347608446062
97,97,97,97,2019-06-25,156.503662109375,149.9861297607422,153.69056701660156,0.04345423379501545,0.018303628826286777
98,98,98,98,2019-06-26,158.05413818359375,154.63755798339844,154.8603973388672,0.02209411636312897,0.020623354321750664
99,99,99,99,2019-06-27,156.39227294921875,155.63095092773438,155.12030029296875,0.00489184199509185,0.008199910997127358
100,100,100,100,2019-06-28,157.8406219482422,159.7624053955078,153.04066467285156,-0.012029009218458286,0.03136393379923752
101,101,101,101,2019-07-01,157.81272888183594,158.79684448242188,153.93194580078125,-0.006197324662171599,0.025211031153190344
102,102,102,102,2019-07-02,155.5567169189453,157.6456298828125,152.45579528808594,-0.013250687414678164,0.02033980817193437
103,103,103,103,2019-07-03,156.54086303710938,156.503662109375,149.9861297607422,0.00023770004633094644,0.04370226291473278
104,104,104,104,2019-07-05,154.70252990722656,158.05413818359375,154.63755798339844,-0.02120544463362295,0.00042015616823887214
105,105,105,105,2019-07-08,153.95054626464844,156.39227294921875,155.63095092773438,-0.015612834563528244,-0.010797368088216741
