,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MRNA,MRNA_6m,MRNA_12m,MRNA_6m_ret,MRNA_12m_ret
0,0,0,0,2019-02-05,17.18000030517578,,,,
1,1,1,1,2019-02-06,18.13999938964844,,,,
2,2,2,2,2019-02-07,17.049999237060547,,,,
3,3,3,3,2019-02-08,17.989999771118164,,,,
4,4,4,4,2019-02-11,18.170000076293945,,,,
5,5,5,5,2019-02-12,18.690000534057617,,,,
6,6,6,6,2019-02-13,18.530000686645508,17.18000030517578,,0.07857976469668726,
7,7,7,7,2019-02-14,19.65999984741211,18.13999938964844,,0.08379275131789998,
8,8,8,8,2019-02-15,21.440000534057617,17.049999237060547,,0.2574780934567311,
9,9,9,9,2019-02-19,20.82999992370605,17.989999771118164,,0.15786549131297556,
10,10,10,10,2019-02-20,19.920000076293945,18.170000076293945,,0.09631260278766818,
11,11,11,11,2019-02-21,19.34000015258789,18.690000534057617,,0.03477793472214308,
12,12,12,12,2019-02-22,19.8799991607666,18.530000686645508,17.18000030517578,0.07285474495929356,0.15715941837191916
13,13,13,13,2019-02-25,21.64999961853028,19.65999984741211,18.13999938964844,0.10122074194116126,0.19349505771675024
14,14,14,14,2019-02-26,23.700000762939453,21.440000534057617,17.049999237060547,0.10541045581094122,0.39002943246027844
15,15,15,15,2019-02-27,22.100000381469727,20.82999992370605,17.989999771118164,0.06096977736031217,0.228460292531516
16,16,16,16,2019-02-28,22.600000381469727,19.920000076293945,18.170000076293945,0.1345381674152275,0.2438084912809395
17,17,17,17,2019-03-01,22.270000457763672,19.34000015258789,18.690000534057617,0.15149949752113723,0.1915462718785077
18,18,18,18,2019-03-04,21.1200008392334,19.8799991607666,18.530000686645508,0.06237433253588631,0.139773343584088
19,19,19,19,2019-03-05,21.3700008392334,21.64999961853028,19.65999984741211,-0.012932969248518167,0.08697868794980579
20,20,20,20,2019-03-06,20.64999961853028,23.700000762939453,21.440000534057617,-0.12869202726687545,-0.03684705670936961
21,21,21,21,2019-03-07,20.59000015258789,22.100000381469727,20.82999992370605,-0.0683258010324711,-0.011521832549073796
22,22,22,22,2019-03-08,20.93000030517578,22.600000381469727,19.920000076293945,-0.07389380743830509,0.05070282254083924
23,23,23,23,2019-03-11,20.43000030517578,22.270000457763672,19.34000015258789,-0.08262236707527493,0.056359883349951234
24,24,24,24,2019-03-12,19.26000022888184,21.1200008392334,19.8799991607666,-0.08806820721788722,-0.031187070324848798
25,25,25,25,2019-03-13,19.96999931335449,21.3700008392334,21.64999961853028,-0.06551246939160771,-0.07759816788808971
26,26,26,26,2019-03-14,20.81999969482422,20.64999961853028,23.700000762939453,0.008232449367281847,-0.12151902849804108
27,27,27,27,2019-03-15,21.81999969482422,20.59000015258789,22.100000381469727,0.05973771409038742,-0.012669714109158181
28,28,28,28,2019-03-18,22.18000030517578,20.93000030517578,22.600000381469727,0.05972288493903588,-0.01858407385861427
29,29,29,29,2019-03-19,20.350000381469727,20.43000030517578,22.270000457763672,-0.0039158062903106305,-0.08621464018087177
30,30,30,30,2019-03-20,20.0,19.26000022888184,21.1200008392334,0.0384215868288762,-0.05303034065949652
31,31,31,31,2019-03-21,19.34000015258789,19.96999931335449,21.3700008392334,-0.031547280041481995,-0.09499300921498366
32,32,32,32,2019-03-22,19.0,20.81999969482422,20.64999961853028,-0.08741593282907989,-0.07990313070270727
33,33,33,33,2019-03-25,19.39999961853028,21.81999969482422,20.59000015258789,-0.11090742942897336,-0.05779507164831388
