,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HPE,HPE_6m,HPE_12m,HPE_6m_ret,HPE_12m_ret
242,242,242,242,2020-01-22,13.088689804077148,13.541525840759276,13.733111381530762,-0.03344054739526581,-0.0469246596456121
243,243,243,243,2020-01-23,13.201898574829102,13.532816886901855,13.689570426940918,-0.024453025178597043,-0.035623605190129526
244,244,244,244,2020-01-24,12.85356616973877,13.48927402496338,13.619900703430176,-0.04712691387602952,-0.0562657944707633
245,245,245,245,2020-01-27,12.644563674926758,13.733111381530762,13.724400520324709,-0.07926446355542982,-0.0786800737707124
246,246,246,246,2020-01-28,12.731645584106444,13.149650573730469,13.646023750305176,-0.03178829637185099,-0.06700693058505658
247,247,247,247,2020-01-29,12.557480812072754,12.97548007965088,13.471858024597168,-0.03221455121600203,-0.06787313307896559
248,248,248,248,2020-01-30,12.557480812072754,13.088689804077148,13.541525840759276,-0.04058534505408795,-0.07266869629451933
249,249,249,249,2020-01-31,12.130769729614258,13.201898574829102,13.532816886901855,-0.08113445495309823,-0.10360349726187545
250,250,250,250,2020-02-03,12.313644409179688,12.85356616973877,13.48927402496338,-0.04200560011354848,-0.08715291969071592
251,251,251,251,2020-02-04,12.557480812072754,12.644563674926758,13.733111381530762,-0.00688698045205649,-0.08560555119643731
252,252,252,252,2020-02-05,12.96677303314209,12.731645584106444,13.149650573730469,0.018467954317638924,-0.013907406859443139
253,253,253,253,2020-02-06,12.992897033691406,12.557480812072754,12.97548007965088,0.03467385123933808,0.0013422974667303134
254,254,254,254,2020-02-07,12.836146354675291,12.557480812072754,13.088689804077148,0.022191197961825893,-0.019294784518706365
255,255,255,255,2020-02-10,12.862272262573242,12.130769729614258,13.201898574829102,0.06030141114402676,-0.025725565935144745
256,256,256,256,2020-02-11,12.949356079101562,12.313644409179688,12.85356616973877,0.05162660612872316,0.007452399442911872
257,257,257,257,2020-02-12,13.088689804077148,12.557480812072754,12.644563674926758,0.04230219420233472,0.035123879365727806
258,258,258,258,2020-02-13,12.801314353942873,12.96677303314209,12.731645584106444,-0.012760204776957051,0.005472094661777227
259,259,259,259,2020-02-14,12.574896812438965,12.992897033691406,12.557480812072754,-0.03217144107034331,0.0013869024071664349
260,260,260,260,2020-02-18,12.5226469039917,12.836146354675291,12.557480812072754,-0.02442317515096004,-0.0027739567037654567
261,261,261,261,2020-02-19,12.601021766662598,12.862272262573242,12.130769729614258,-0.020311379714052058,0.038765226570935285
262,262,262,262,2020-02-20,12.601021766662598,12.949356079101562,12.313644409179688,-0.026899740057432453,0.023338123786380782
263,263,263,263,2020-02-21,12.348478317260742,13.088689804077148,12.557480812072754,-0.05655352047428219,-0.016643664277876224
264,264,264,264,2020-02-24,11.93918514251709,12.801314353942873,12.96677303314209,-0.067346929197176,-0.07924777336647781
265,265,265,265,2020-02-25,11.60826587677002,12.574896812438965,12.992897033691406,-0.07686989007438716,-0.1065683160061186
266,266,266,266,2020-02-26,11.35572338104248,12.5226469039917,12.836146354675291,-0.09318505359895213,-0.11533235386441343
267,267,267,267,2020-02-27,10.955135345458984,12.601021766662598,12.862272262573242,-0.1306153145102874,-0.1482737169748507
268,268,268,268,2020-02-28,11.138015747070312,12.601021766662598,12.949356079101562,-0.11610217383028654,-0.13987879559158145
269,269,269,269,2020-03-02,11.22509765625,12.348478317260742,13.088689804077148,-0.09097320594072522,-0.14238187135022762
270,270,270,270,2020-03-03,10.963845252990724,11.93918514251709,12.801314353942873,-0.08169233309340729,-0.1435375345177894
271,271,271,271,2020-03-04,10.676469802856444,11.60826587677002,12.574896812438965,-0.08027004927396153,-0.15096958948439365
272,272,272,272,2020-03-05,10.26717758178711,11.35572338104248,12.5226469039917,-0.09585878087455135,-0.18011122883977826
273,273,273,273,2020-03-06,10.4413423538208,10.955135345458984,12.601021766662598,-0.04689973929451785,-0.17138922960640135
274,274,274,274,2020-03-09,9.701132774353027,11.138015747070312,12.601021766662598,-0.12900708755913148,-0.2301312580842887
275,275,275,275,2020-03-10,10.141292572021484,11.22509765625,12.348478317260742,-0.0965519514767933,-0.17874151685184125
