,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CPT,CPT_6m,CPT_12m,CPT_6m_ret,CPT_12m_ret
0,0,0,0,2019-02-05,83.52938079833984,,,,
1,1,1,1,2019-02-06,83.67428588867188,,,,
2,2,2,2,2019-02-07,84.51817321777344,,,,
3,3,3,3,2019-02-08,84.32213592529297,,,,
4,4,4,4,2019-02-11,84.60343933105469,,,,
5,5,5,5,2019-02-12,83.48673248291016,,,,
6,6,6,6,2019-02-13,84.19426727294922,83.52938079833984,,0.007959911449775703,
7,7,7,7,2019-02-14,84.05787658691406,83.67428588867188,,0.004584331902784955,
8,8,8,8,2019-02-15,84.13458251953125,84.51817321777344,,-0.004538558793193648,
9,9,9,9,2019-02-19,84.21984100341797,84.32213592529297,,-0.0012131443392946473,
10,10,10,10,2019-02-20,82.25924682617188,84.60343933105469,,-0.027708004821292764,
11,11,11,11,2019-02-21,82.94972229003906,83.48673248291016,,-0.006432281835691889,
12,12,12,12,2019-02-22,83.21398162841797,84.19426727294922,83.52938079833984,-0.011643140041272204,-0.0037759069552224522
13,13,13,13,2019-02-25,83.02644348144531,84.05787658691406,83.67428588867188,-0.012270511073430135,-0.007742431266022587
14,14,14,14,2019-02-26,83.07758331298828,84.13458251953125,84.51817321777344,-0.01256319547669471,-0.01704473546858687
15,15,15,15,2019-02-27,83.21398162841797,84.21984100341797,84.32213592529297,-0.011943259011367391,-0.013141914453599579
16,16,16,16,2019-02-28,83.61458587646484,82.25924682617188,84.60343933105469,0.016476433988716677,-0.011688099944973218
17,17,17,17,2019-03-01,83.24808502197266,82.94972229003906,83.48673248291016,0.0035969105585471617,-0.002858507619595163
18,18,18,18,2019-03-04,84.19426727294922,83.21398162841797,84.19426727294922,0.01178029972064798,0.0
19,19,19,19,2019-03-05,84.48410034179688,83.02644348144531,84.05787658691406,0.017556537402174888,0.005070598642140434
20,20,20,20,2019-03-06,84.0237808227539,83.07758331298828,84.13458251953125,0.011389323955186548,-0.0013169578247045344
21,21,21,21,2019-03-07,83.98968505859375,83.21398162841797,84.21984100341797,0.009321792023359698,-0.002732799564592825
22,22,22,22,2019-03-08,84.49260711669922,83.61458587646484,82.25924682617188,0.01050081431404326,0.027150264276632807
23,23,23,23,2019-03-11,85.4388198852539,83.24808502197266,82.94972229003906,0.026315738826941493,0.03000730474433122
24,24,24,24,2019-03-12,85.9161605834961,84.19426727294922,83.21398162841797,0.020451431746114856,0.032472655462448374
25,25,25,25,2019-03-13,86.18894958496094,84.48410034179688,83.02644348144531,0.02017952770126885,0.038090347736289276
26,26,26,26,2019-03-14,86.41910552978516,84.0237808227539,83.07758331298828,0.028507699648556928,0.04022170703025818
