,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PSX,PSX_6m,PSX_12m,PSX_6m_ret,PSX_12m_ret
0,0,0,0,2019-02-05,76.83979034423828,,,,
1,1,1,1,2019-02-06,76.23424530029297,,,,
2,2,2,2,2019-02-07,74.0704345703125,,,,
3,3,3,3,2019-02-08,75.50759887695312,,,,
4,4,4,4,2019-02-11,76.08084106445312,,,,
5,5,5,5,2019-02-12,75.8951416015625,,,,
6,6,6,6,2019-02-13,77.6068344116211,76.83979034423828,,0.009982381054743916,
7,7,7,7,2019-02-14,77.22735595703125,76.23424530029297,,0.013027093700821002,
8,8,8,8,2019-02-15,78.1555404663086,74.0704345703125,,0.05515163937803336,
9,9,9,9,2019-02-19,78.77434539794922,75.50759887695312,,0.04326381145187219,
10,10,10,10,2019-02-20,79.34429168701172,76.08084106445312,,0.04289451295358204,
11,11,11,11,2019-02-21,78.82320404052734,75.8951416015625,,0.038580367295929285,
12,12,12,12,2019-02-22,79.27101135253906,77.6068344116211,76.83979034423828,0.02144369054007922,0.031640130685014034
13,13,13,13,2019-02-25,79.21400451660156,77.22735595703125,76.23424530029297,0.025724674047829188,0.039086885487894296
14,14,14,14,2019-02-26,79.66181945800781,78.1555404663086,74.0704345703125,0.019272836995459786,0.0754874049292582
15,15,15,15,2019-02-27,79.49897766113281,78.77434539794922,75.50759887695312,0.009198835731644817,0.052860623878187685
16,16,16,16,2019-02-28,78.45680236816406,79.34429168701172,76.08084106445312,-0.01118529512303823,0.031229430043998807
17,17,17,17,2019-03-01,79.36870574951172,78.82320404052734,75.8951416015625,0.006920572636249345,0.04576793816638336
18,18,18,18,2019-03-04,79.20587158203125,79.27101135253906,77.6068344116211,-0.0008217350756144493,0.02060433443179721
19,19,19,19,2019-03-05,79.35240936279297,79.21400451660156,77.22735595703125,0.00174722698386498,0.027516847876341677
20,20,20,20,2019-03-06,79.46641540527344,79.66181945800781,78.1555404663086,-0.0024529197809419756,0.016772642491416745
21,21,21,21,2019-03-07,78.53007507324219,79.49897766113281,78.77434539794922,-0.012187610663631498,-0.0031008867604426227
22,22,22,22,2019-03-08,76.78767395019531,78.45680236816406,79.34429168701172,-0.021274489497242643,-0.03222182317666222
23,23,23,23,2019-03-11,78.70921325683594,79.36870574951172,78.82320404052734,-0.008309225738884374,-0.0014461577029118988
24,24,24,24,2019-03-12,79.29542541503906,79.20587158203125,79.27101135253906,0.0011306463929894317,0.0003079822255758202
25,25,25,25,2019-03-13,79.85723114013672,79.35240936279297,79.21400451660156,0.006361770000400835,0.008120112440475724
26,26,26,26,2019-03-14,80.17477416992188,79.46641540527344,79.66181945800781,0.008913938813470468,0.006439153855686941
27,27,27,27,2019-03-15,80.21548461914062,78.53007507324219,79.49897766113281,0.02146196274900425,0.009012782039310663
28,28,28,28,2019-03-18,80.37833404541016,76.78767395019531,78.45680236816406,0.0467608915663178,0.024491587972565787
29,29,29,29,2019-03-19,80.51673126220703,78.70921325683594,79.36870574951172,0.02296450352607371,0.014464460543409663
30,30,30,30,2019-03-20,79.93867492675781,79.29542541503906,79.20587158203125,0.008112063317044171,0.009251881585162769
31,31,31,31,2019-03-21,80.23991394042969,79.85723114013672,79.35240936279297,0.004792087013653523,0.011184343169457156
32,32,32,32,2019-03-22,78.14738464355469,80.17477416992188,79.46641540527344,-0.025287124876340217,-0.016598593946785978
33,33,33,33,2019-03-25,78.0497055053711,80.21548461914062,78.53007507324219,-0.026999514171765604,-0.00611701399015685
34,34,34,34,2019-03-26,79.80836486816406,80.37833404541016,76.78767395019531,-0.007091079754453333,0.039338226600378334
35,35,35,35,2019-03-27,79.1977310180664,80.51673126220703,78.70921325683594,-0.016381691400824905,0.006206614715311476
36,36,36,36,2019-03-28,77.8949966430664,79.93867492675781,79.29542541503906,-0.025565576181540206,-0.017660902437217407
37,37,37,37,2019-03-29,77.48787689208984,80.23991394042969,79.85723114013672,-0.0342976071781802,-0.029669877282484713
38,38,38,38,2019-04-01,77.40646362304688,78.14738464355469,80.17477416992188,-0.009481072513012334,-0.034528448324754435
39,39,39,39,2019-04-02,76.95868682861328,78.0497055053711,80.21548461914062,-0.0139785111256151,-0.04060061228814449
40,40,40,40,2019-04-03,77.3820571899414,79.80836486816406,80.37833404541016,-0.03040167133145366,-0.03727717040982692
41,41,41,41,2019-04-04,78.8639144897461,79.1977310180664,80.51673126220703,-0.0042149759094002315,-0.020527618875615494
42,42,42,42,2019-04-05,79.62110900878906,77.8949966430664,79.93867492675781,0.02215947673291674,-0.003972619239181907
43,43,43,43,2019-04-08,80.036376953125,77.48787689208984,80.23991394042969,0.03288901649201481,-0.002536605254285229
