,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LUV,LUV_6m,LUV_12m,LUV_6m_ret,LUV_12m_ret
0,0,0,0,2019-02-05,55.33181381225586,,,,
1,1,1,1,2019-02-06,55.07369995117188,,,,
2,2,2,2,2019-02-07,54.94942092895508,,,,
3,3,3,3,2019-02-08,55.1119384765625,,,,
4,4,4,4,2019-02-11,55.71419906616211,,,,
5,5,5,5,2019-02-12,55.15974044799805,,,,
6,6,6,6,2019-02-13,55.44652557373047,55.33181381225586,,0.0020731610545758894,
7,7,7,7,2019-02-14,55.44652557373047,55.07369995117188,,0.006769576456441717,
8,8,8,8,2019-02-15,55.15974044799805,54.94942092895508,,0.0038275111090777525,
9,9,9,9,2019-02-19,55.13105010986328,55.1119384765625,,0.000346778462690267,
10,10,10,10,2019-02-20,52.01457977294922,55.71419906616211,,-0.06640352648378722,
11,11,11,11,2019-02-21,51.91897964477539,55.15974044799805,,-0.05875228521566178,
12,12,12,12,2019-02-22,51.25935363769531,55.44652557373047,55.33181381225586,-0.07551730054694283,-0.07360069901880761
13,13,13,13,2019-02-25,51.58439254760742,55.44652557373047,55.07369995117188,-0.06965509535827175,-0.0633570543954386
14,14,14,14,2019-02-26,51.32627868652344,55.15974044799805,54.94942092895508,-0.06949745829729947,-0.06593594948190729
15,15,15,15,2019-02-27,51.47923278808594,55.13105010986328,55.1119384765625,-0.0662388493326379,-0.06591504107628965
16,16,16,16,2019-02-28,53.57281875610352,52.01457977294922,55.71419906616211,0.029957734734303854,-0.03843509098130693
17,17,17,17,2019-03-01,51.947662353515625,51.91897964477539,55.15974044799805,0.0005524513181205393,-0.05823229167495114
18,18,18,18,2019-03-04,51.46011352539063,51.25935363769531,55.44652557373047,0.003916551291580861,-0.07189651663635577
19,19,19,19,2019-03-05,51.19164276123047,51.58439254760742,55.44652557373047,-0.007613732894392045,-0.07673849296187252
20,20,20,20,2019-03-06,50.87522888183594,51.32627868652344,55.15974044799805,-0.008787892210972426,-0.07767461433581868
21,21,21,21,2019-03-07,50.27117156982422,51.47923278808594,55.13105010986328,-0.02346696236198198,-0.0881513871104298
22,22,22,22,2019-03-08,49.63835144042969,53.57281875610352,52.01457977294922,-0.07344148407769913,-0.045683889841888425
23,23,23,23,2019-03-11,49.48493194580078,51.947662353515625,51.91897964477539,-0.0474079158934122,-0.046881655140916245
24,24,24,24,2019-03-12,48.32475662231445,51.46011352539063,51.25935363769531,-0.06092790490112665,-0.05724998087417954
25,25,25,25,2019-03-13,48.52610397338867,51.19164276123047,51.58439254760742,-0.052069803664525516,-0.059287090981952395
26,26,26,26,2019-03-14,49.05345916748047,50.87522888183594,51.32627868652344,-0.03580858021468081,-0.044281790482498695
27,27,27,27,2019-03-15,49.25481796264648,50.27117156982422,51.47923278808594,-0.020217424329689093,-0.043209945155870066
28,28,28,28,2019-03-18,48.97676849365234,49.63835144042969,53.57281875610352,-0.013328060412548304,-0.0857907119536726
29,29,29,29,2019-03-19,48.65076446533203,49.48493194580078,51.947662353515625,-0.01685699964955767,-0.06346576032136841
30,30,30,30,2019-03-20,47.65357971191406,48.32475662231445,51.46011352539063,-0.013888883407029207,-0.0739705677407495
31,31,31,31,2019-03-21,48.65076446533203,48.52610397338867,51.19164276123047,0.002568936752303852,-0.04963463094454057
32,32,32,32,2019-03-22,47.28923034667969,49.05345916748047,50.87522888183594,-0.0359654314036707,-0.07048614058297764
33,33,33,33,2019-03-25,46.6851692199707,49.25481796264648,50.27117156982422,-0.05217050532243417,-0.07133317640852532
34,34,34,34,2019-03-26,46.74269485473633,48.97676849365234,49.63835144042969,-0.04561496618964478,-0.05833506757710105
35,35,35,35,2019-03-27,47.77822494506836,48.65076446533203,49.48493194580078,-0.017934754568665223,-0.03448942806674404
36,36,36,36,2019-03-28,48.37269592285156,47.65357971191406,48.32475662231445,0.015090497194226726,0.0009920236311127262
37,37,37,37,2019-03-29,49.7725830078125,48.65076446533203,48.52610397338867,0.02305860051345876,0.025686773352078474
38,38,38,38,2019-04-01,50.25199508666992,47.28923034667969,49.05345916748047,0.06265199746898098,0.02443325994803658
39,39,39,39,2019-04-02,50.53964614868164,46.6851692199707,49.25481796264648,0.08256319925819389,0.026085330109422822
40,40,40,40,2019-04-03,50.71223068237305,46.74269485473633,48.97676849365234,0.0849231273458444,0.035434395573600064
41,41,41,41,2019-04-04,50.99028778076172,47.77822494506836,48.65076446533203,0.067228592928815,0.04808811004597491
42,42,42,42,2019-04-05,51.05740737915039,48.37269592285156,47.65357971191406,0.05550055470508841,0.07142858286437037
43,43,43,43,2019-04-08,49.80134582519531,49.7725830078125,48.65076446533203,0.0005778847639532625,0.02364981049132675
44,44,44,44,2019-04-09,49.75341033935547,50.25199508666992,47.28923034667969,-0.009921690600632638,0.05210869313394939
45,45,45,45,2019-04-10,50.453346252441406,50.53964614868164,46.6851692199707,-0.0017075682719730478,0.08071464868673495
46,46,46,46,2019-04-11,50.81770324707031,50.71223068237305,46.74269485473633,0.002079824990501189,0.08717957757887107
47,47,47,47,2019-04-12,50.942344665527344,50.99028778076172,47.77822494506836,-0.0009402401382888614,0.06622514176901384
48,48,48,48,2019-04-15,50.13693618774414,51.05740737915039,48.37269592285156,-0.018028161605834536,0.03647182012981709
49,49,49,49,2019-04-16,50.60675430297852,49.80134582519531,49.7725830078125,0.016172423946337222,0.01675965450768535
50,50,50,50,2019-04-17,50.58758163452149,49.75341033935547,50.25199508666992,0.01676611290515262,0.006678074119699673
51,51,51,51,2019-04-18,50.03146362304688,50.453346252441406,50.53964614868164,-0.008361836443585902,-0.010055126308952445
52,52,52,52,2019-04-22,49.58081817626953,50.81770324707031,50.71223068237305,-0.02433964921214904,-0.02231044643233926
53,53,53,53,2019-04-23,50.6163444519043,50.942344665527344,50.99028778076172,-0.00639939554732849,-0.007333618717062951
54,54,54,54,2019-04-24,50.75058364868164,50.13693618774414,51.05740737915039,0.01223942880433726,-0.006009387201944882
55,55,55,55,2019-04-25,51.15328979492188,50.60675430297852,49.80134582519531,0.010799655094877236,0.02714673564188308
56,56,56,56,2019-04-26,50.79852294921875,50.58758163452149,49.75341033935547,0.004169824053287252,0.02100584869931188
57,57,57,57,2019-04-29,51.61352157592773,50.03146362304688,50.453346252441406,0.03162126066909776,0.022995012415656824
58,58,58,58,2019-04-30,51.997047424316406,49.58081817626953,50.81770324707031,0.04873314594076894,0.02320734905141708
59,59,59,59,2019-05-01,51.68064880371094,50.6163444519043,50.942344665527344,0.021026890885372795,0.014492935946138319
60,60,60,60,2019-05-02,51.17245864868164,50.75058364868164,50.13693618774414,0.008312712281703272,0.020653883936183393
61,61,61,61,2019-05-03,51.41217422485352,51.15328979492188,50.60675430297852,0.005060953674133728,0.01591526532314269
62,62,62,62,2019-05-06,51.27793884277344,50.79852294921875,50.58758163452149,0.009437595144920596,0.01364677230944844
63,63,63,63,2019-05-07,50.06023025512695,51.61352157592773,50.03146362304688,-0.03009465879044415,0.0005749708282933863
64,64,64,64,2019-05-08,50.25199508666992,51.997047424316406,49.58081817626953,-0.03356060438213293,0.013537027727421158
65,65,65,65,2019-05-09,50.2999382019043,51.68064880371094,50.6163444519043,-0.026716201010763996,-0.006251068768916124
66,66,66,66,2019-05-10,50.56840515136719,51.17245864868164,50.75058364868164,-0.011804269586918048,-0.003589682801986571
67,67,67,67,2019-05-13,48.93840408325195,51.41217422485352,51.15328979492188,-0.048116427264531136,-0.04329898859974801
68,68,68,68,2019-05-14,49.52328872680664,51.27793884277344,50.79852294921875,-0.03421842132436015,-0.02510376578639717
69,69,69,69,2019-05-15,49.86846160888672,50.06023025512695,51.61352157592773,-0.003830758373721155,-0.03381013179799952
70,70,70,70,2019-05-16,50.424583435058594,50.25199508666992,51.997047424316406,0.003434457638766597,-0.030241409217448223
71,71,71,71,2019-05-17,50.08899688720703,50.2999382019043,51.68064880371094,-0.004193669460398675,-0.030797831554885913
72,72,72,72,2019-05-20,49.86846160888672,50.56840515136719,51.17245864868164,-0.01384151903516273,-0.025482399599897176
73,73,73,73,2019-05-21,51.17245864868164,48.93840408325195,51.41217422485352,0.04565033550397768,-0.004662622808431993
74,74,74,74,2019-05-22,50.40541076660156,49.52328872680664,51.27793884277344,0.017812266965167023,-0.017015662014949307
75,75,75,75,2019-05-23,48.86170196533203,49.86846160888672,50.06023025512695,-0.02018830361061874,-0.02394172547123219
76,76,76,76,2019-05-24,49.04387283325195,50.424583435058594,50.25199508666992,-0.027381695747369816,-0.024041279382725267
77,77,77,77,2019-05-28,47.96998596191406,50.08899688720703,50.2999382019043,-0.04230491838486339,-0.04632117500100674
78,78,78,78,2019-05-29,47.51935195922852,49.86846160888672,50.56840515136719,-0.04710611825329658,-0.06029561705598363
79,79,79,79,2019-05-30,47.35634613037109,51.17245864868164,48.93840408325195,-0.07457356201134702,-0.032327534632913935
80,80,80,80,2019-05-31,45.64004898071289,50.40541076660156,49.52328872680664,-0.0945406795305036,-0.0784123963882023
81,81,81,81,2019-06-03,45.822227478027344,48.86170196533203,49.86846160888672,-0.06220566138816108,-0.08113813822037619
82,82,82,82,2019-06-04,47.111915588378906,49.04387283325195,50.424583435058594,-0.039392428314983574,-0.06569549257548246
83,83,83,83,2019-06-05,48.33422088623047,47.96998596191406,50.08899688720703,0.007592975420205317,-0.035033163170108184
84,84,84,84,2019-06-06,48.10322952270508,47.51935195922852,49.86846160888672,0.012287153326028477,-0.035397765024840266
85,85,85,85,2019-06-07,48.47858047485352,47.35634613037109,51.17245864868164,0.023697654827358194,-0.05264312571578034
86,86,86,86,2019-06-10,48.41120910644531,45.64004898071289,50.40541076660156,0.06071772900382921,-0.03956324588624527
87,87,87,87,2019-06-11,48.680702209472656,45.822227478027344,48.86170196533203,0.062381837129502404,-0.003704327695907894
88,88,88,88,2019-06-12,48.90206909179688,47.111915588378906,49.04387283325195,0.03799789248772445,-0.002891365083202091
89,89,89,89,2019-06-13,50.41310501098633,48.33422088623047,47.96998596191406,0.043010605873820884,0.05093015976723425
90,90,90,90,2019-06-14,49.8741340637207,48.10322952270508,47.51935195922852,0.03681467041999209,0.04955417124611827
91,91,91,91,2019-06-17,49.25817108154297,48.47858047485352,47.35634613037109,0.016081135195240126,0.040159875213687135
92,92,92,92,2019-06-18,49.75864791870117,48.41120910644531,45.64004898071289,0.027833198904269274,0.0902408965364776
93,93,93,93,2019-06-19,49.57577896118164,48.680702209472656,45.822227478027344,0.018386685300008088,0.08191551763724703
94,94,94,94,2019-06-20,49.58540344238281,48.90206909179688,47.111915588378906,0.013973526341047204,0.05250238338035307
95,95,95,95,2019-06-21,49.32553863525391,50.41310501098633,48.33422088623047,-0.02157308849544981,0.020509645771612073
96,96,96,96,2019-06-24,49.296669006347656,49.8741340637207,48.10322952270508,-0.011578447790898228,0.024809965889696972
97,97,97,97,2019-06-25,49.084922790527344,49.25817108154297,48.47858047485352,-0.0035171482661998654,0.012507427192269827
98,98,98,98,2019-06-26,48.79619598388672,49.75864791870117,48.41120910644531,-0.019342405291778997,0.00795243259871703
99,99,99,99,2019-06-27,48.83469772338867,49.57577896118164,48.680702209472656,-0.014948453727237299,0.003163379058366278
100,100,100,100,2019-06-28,48.87318801879883,49.58540344238281,48.90206909179688,-0.014363408869135563,-0.0005905900002685094
101,101,101,101,2019-07-01,49.60465240478516,49.32553863525391,50.41310501098633,0.005658605607841594,-0.01603655648714719
102,102,102,102,2019-07-02,49.498779296875,49.296669006347656,49.8741340637207,0.0040998772249971616,-0.007526040780299836
103,103,103,103,2019-07-03,49.94151306152344,49.084922790527344,49.25817108154297,0.017451189128923295,0.013872662443135564
104,104,104,104,2019-07-05,49.931884765625,48.79619598388672,49.75864791870117,0.02327412534602713,0.003481542488993572
105,105,105,105,2019-07-08,50.1243782043457,48.83469772338867,49.57577896118164,0.02640910133737462,0.011065872380817687
106,106,106,106,2019-07-09,49.74901580810547,48.87318801879883,49.58540344238281,0.01792041454242277,0.0032996074321098856
107,107,107,107,2019-07-10,49.912635803222656,49.60465240478516,49.32553863525391,0.0062087603381286716,0.011902498872037315
108,108,108,108,2019-07-11,49.89338302612305,49.498779296875,49.296669006347656,0.007971989104647692,0.01210455050621273
109,109,109,109,2019-07-12,50.53822326660156,49.94151306152344,49.084922790527344,0.011948180351344817,0.029607879435326057
110,110,110,110,2019-07-15,50.29761505126953,49.931884765625,48.79619598388672,0.007324584028046033,0.03076918266084938
111,111,111,111,2019-07-16,51.2793083190918,50.1243782043457,48.83469772338867,0.023041285620296392,0.05005888660456104
112,112,112,112,2019-07-17,50.33611297607422,49.74901580810547,48.87318801879883,0.011801181559718321,0.02993307816778157
113,113,113,113,2019-07-18,50.47085571289063,49.912635803222656,49.60465240478516,0.011183939711553625,0.01746213845098743
114,114,114,114,2019-07-19,50.06662368774414,49.89338302612305,49.498779296875,0.003472217178185577,0.011471886760346717
115,115,115,115,2019-07-22,50.70184326171875,50.53822326660156,49.94151306152344,0.0032375494139169625,0.015224412589555536
116,116,116,116,2019-07-23,52.087772369384766,50.29761505126953,49.931884765625,0.035591296253122184,0.04317657172124134
117,117,117,117,2019-07-24,52.66524505615234,51.2793083190918,50.1243782043457,0.027027211998188028,0.050691239329655025
118,118,118,118,2019-07-25,52.84810256958008,50.33611297607422,49.74901580810547,0.04990432206594608,0.062294433590979414
119,119,119,119,2019-07-26,51.25044250488281,50.47085571289063,49.912635803222656,0.015446276489286204,0.026802966425863994
120,120,120,120,2019-07-29,50.89432907104492,50.06662368774414,49.89338302612305,0.016532079104495168,0.020061699251738396
121,121,121,121,2019-07-30,50.57672500610352,50.70184326171875,50.53822326660156,-0.0024677259753531633,0.0007618340537784984
122,122,122,122,2019-07-31,49.595027923583984,52.087772369384766,50.29761505126953,-0.04785661456441781,-0.013968597257929316
123,123,123,123,2019-08-01,49.04643249511719,52.66524505615234,51.2793083190918,-0.06871348566168689,-0.04354340760761177
124,124,124,124,2019-08-02,48.71919631958008,52.84810256958008,50.33611297607422,-0.07812780495882254,-0.032122398033846866
125,125,125,125,2019-08-05,47.12153244018555,51.25044250488281,50.47085571289063,-0.08056340321947253,-0.06636153133123213
126,126,126,126,2019-08-06,47.84336853027344,50.89432907104492,50.06662368774414,-0.0599469645530164,-0.04440593340858601
127,127,127,127,2019-08-07,48.05511093139648,50.57672500610352,50.70184326171875,-0.04985720357343704,-0.05220189563247346
128,128,128,128,2019-08-08,48.59408187866211,49.595027923583984,52.087772369384766,-0.020182386961534404,-0.0670731408121441
129,129,129,129,2019-08-09,48.55558013916016,49.04643249511719,52.66524505615234,-0.010007911503163713,-0.07803371868127451
130,130,130,130,2019-08-12,48.17060089111328,48.71919631958008,52.84810256958008,-0.011260354642720571,-0.08850841281024946
131,131,131,131,2019-08-13,48.04548263549805,47.12153244018555,51.25044250488281,0.01960781297775771,-0.06253526238489393
132,132,132,132,2019-08-14,46.92904281616211,47.84336853027344,50.89432907104492,-0.019110813937208038,-0.07791214320455131
133,133,133,133,2019-08-15,46.399688720703125,48.05511093139648,50.57672500610352,-0.034448410972490184,-0.0825881131072903
134,134,134,134,2019-08-16,47.92036056518555,48.59408187866211,49.595027923583984,-0.013864266746696052,-0.033766839711810714
135,135,135,135,2019-08-19,48.73844146728516,48.55558013916016,49.04643249511719,0.0037660208692991137,-0.006279580637443605
136,136,136,136,2019-08-20,48.31345748901367,48.17060089111328,48.71919631958008,0.002965638693677608,-0.008328110092475804
137,137,137,137,2019-08-21,48.864013671875,48.04548263549805,47.12153244018555,0.017036586823090616,0.036978450009054864
138,138,138,138,2019-08-22,49.44353866577149,46.92904281616211,47.84336853027344,0.05358080409735955,0.03344601738244091
139,139,139,139,2019-08-23,48.83504104614258,46.399688720703125,48.05511093139648,0.05248639360705076,0.0162299097771208
140,140,140,140,2019-08-26,48.96060180664063,47.92036056518555,48.59408187866211,0.021707708981864915,0.007542480767384729
141,141,141,141,2019-08-27,48.767425537109375,48.73844146728516,48.55558013916016,0.0005946860209649074,0.004362946490229724
142,142,142,142,2019-08-28,49.41456604003906,48.31345748901367,48.17060089111328,0.02279092841318131,0.025824156766026007
143,143,143,143,2019-08-29,50.51567077636719,48.864013671875,48.04548263549805,0.033801093696133266,0.05141353578669361
144,144,144,144,2019-08-30,50.53499221801758,49.44353866577149,46.92904281616211,0.022074745896002668,0.07683833262871498
145,145,145,145,2019-09-03,49.62705993652344,48.83504104614258,46.399688720703125,0.016218249711974497,0.06955588075702512
146,146,146,146,2019-09-04,50.32249450683594,48.96060180664063,47.92036056518555,0.02781609396007445,0.05012762661463688
