,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RCL,RCL_6m,RCL_12m,RCL_6m_ret,RCL_12m_ret
0,0,0,0,2019-02-05,114.20164489746094,,,,
1,1,1,1,2019-02-06,114.13402557373048,,,,
2,2,2,2,2019-02-07,111.74797821044922,,,,
3,3,3,3,2019-02-08,110.93653106689452,,,,
4,4,4,4,2019-02-11,112.15370178222656,,,,
5,5,5,5,2019-02-12,112.33724975585938,,,,
6,6,6,6,2019-02-13,113.83455657958984,114.20164489746094,,-0.0032143873076494467,
7,7,7,7,2019-02-14,113.2356414794922,114.13402557373048,,-0.007871308224889795,
8,8,8,8,2019-02-15,113.96014404296876,111.74797821044922,,0.019796025556305663,
9,9,9,9,2019-02-19,115.30290222167967,110.93653106689452,,0.039359182343210675,
10,10,10,10,2019-02-20,116.72293090820312,112.15370178222656,,0.04074077853309577,
11,11,11,11,2019-02-21,116.8581771850586,112.33724975585938,,0.040244241683185855,
12,12,12,12,2019-02-22,116.81952667236328,113.83455657958984,114.20164489746094,0.026222003075897504,0.02292332809437969
13,13,13,13,2019-02-25,116.4621124267578,113.2356414794922,114.13402557373048,0.02849342225742535,0.0203978335235655
14,14,14,14,2019-02-26,115.59269714355467,113.96014404296876,111.74797821044922,0.014325649675998697,0.03440526615940098
15,15,15,15,2019-02-27,114.43348693847656,115.30290222167967,110.93653106689452,-0.007540272330106568,0.03152213105954593
16,16,16,16,2019-02-28,114.45281219482422,116.72293090820312,112.15370178222656,-0.01944878093546365,0.02049963912080166
17,17,17,17,2019-03-01,114.98411560058594,116.8581771850586,112.33724975585938,-0.01603705987562054,0.02356178249404306
18,18,18,18,2019-03-04,113.68000030517578,116.81952667236328,113.83455657958984,-0.026875013592485675,-0.0013577272056750633
19,19,19,19,2019-03-05,115.35120391845705,116.4621124267578,113.2356414794922,-0.009538797512361752,0.018682831759715857
20,20,20,20,2019-03-06,113.77703094482422,115.59269714355467,113.96014404296876,-0.015707447300719823,-0.0016068170120555614
21,21,21,21,2019-03-07,112.4360809326172,114.43348693847656,115.30290222167967,-0.017454733394021593,-0.024863392280887853
