,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IT,IT_6m,IT_12m,IT_6m_ret,IT_12m_ret
0,0,0,0,2019-02-05,141.0,,,,
1,1,1,1,2019-02-06,143.00999450683594,,,,
2,2,2,2,2019-02-07,139.14999389648438,,,,
3,3,3,3,2019-02-08,138.74000549316406,,,,
4,4,4,4,2019-02-11,140.6300048828125,,,,
5,5,5,5,2019-02-12,141.38999938964844,,,,
6,6,6,6,2019-02-13,141.49000549316406,141.0,,0.003475216263574943,
7,7,7,7,2019-02-14,142.55999755859375,143.00999450683594,,-0.0031466118839734714,
8,8,8,8,2019-02-15,143.35000610351562,139.14999389648438,,0.030183344529326472,
9,9,9,9,2019-02-19,141.6300048828125,138.74000549316406,,0.020830324889895113,
10,10,10,10,2019-02-20,141.10000610351562,140.6300048828125,,0.0033421119560848034,
11,11,11,11,2019-02-21,141.8000030517578,141.38999938964844,,0.002899806661569304,
12,12,12,12,2019-02-22,142.3000030517578,141.49000549316406,141.0,0.005724768726741436,0.009219879799700736
13,13,13,13,2019-02-25,142.3300018310547,142.55999755859375,143.00999450683594,-0.0016133258380881532,-0.0047548612118067934
14,14,14,14,2019-02-26,143.1199951171875,143.35000610351562,139.14999389648438,-0.0016045411687114486,0.02853037294170835
15,15,15,15,2019-02-27,143.86000061035156,141.6300048828125,138.74000549316406,0.01574522100302267,0.03690352396187402
16,16,16,16,2019-02-28,142.3000030517578,141.10000610351562,140.6300048828125,0.008504584665728787,0.011875119895906394
17,17,17,17,2019-03-01,144.94000244140625,141.8000030517578,141.38999938964844,0.022143859817141953,0.02510787939092185
18,18,18,18,2019-03-04,143.8800048828125,142.3000030517578,141.49000549316406,0.01110331551068211,0.016891648150822336
19,19,19,19,2019-03-05,143.5,142.3300018310547,142.55999755859375,0.008220320058269115,0.0065937321654336856
20,20,20,20,2019-03-06,142.72000122070312,143.1199951171875,143.35000610351562,-0.0027948149114793708,-0.004394871684606394
21,21,21,21,2019-03-07,141.69000244140625,143.86000061035156,141.6300048828125,-0.015084096758923304,0.0004236218069990638
22,22,22,22,2019-03-08,141.25,142.3000030517578,141.10000610351562,-0.00737879851890022,0.0010630325300930998
23,23,23,23,2019-03-11,144.16000366210938,144.94000244140625,141.8000030517578,-0.0053815286750267255,0.016643163325533505
24,24,24,24,2019-03-12,144.25,143.8800048828125,142.3000030517578,0.0025715534100019255,0.013703421689547968
25,25,25,25,2019-03-13,144.92999267578125,143.5,142.3300018310547,0.0099651057545731,0.018267342171559564
26,26,26,26,2019-03-14,144.1300048828125,142.72000122070312,143.1199951171875,0.00987950987983055,0.0070570835668208876
27,27,27,27,2019-03-15,145.0399932861328,141.69000244140625,143.86000061035156,0.023643099633031017,0.00820236807156216
28,28,28,28,2019-03-18,147.2100067138672,141.25,142.3000030517578,0.04219473779728977,0.03450459280962548
29,29,29,29,2019-03-19,147.11000061035156,144.16000366210938,144.94000244140625,0.020463352339783247,0.01497169954735278
30,30,30,30,2019-03-20,146.4499969482422,144.25,143.8800048828125,0.015251278670656454,0.01786205155833076
31,31,31,31,2019-03-21,148.38999938964844,144.92999267578125,143.5,0.023873641680279833,0.03407665079894384
32,32,32,32,2019-03-22,145.91000366210938,144.1300048828125,142.72000122070312,0.012349952952156906,0.02235147431419371
33,33,33,33,2019-03-25,146.10000610351562,145.0399932861328,141.69000244140625,0.007308417446570292,0.031124310721450277
34,34,34,34,2019-03-26,148.0399932861328,147.2100067138672,141.25,0.005638112454399158,0.04807074892837382
35,35,35,35,2019-03-27,148.49000549316406,147.11000061035156,144.16000366210938,0.00938076865669868,0.0300360829707218
36,36,36,36,2019-03-28,150.0399932861328,146.4499969482422,144.25,0.02451346133629073,0.04013860163696914
37,37,37,37,2019-03-29,151.67999267578125,148.38999938964844,144.92999267578125,0.022171260190478215,0.04657421059214584
38,38,38,38,2019-04-01,154.97999572753906,145.91000366210938,144.1300048828125,0.06216155052969152,0.07527919570632324
39,39,39,39,2019-04-02,153.10000610351562,146.10000610351562,145.0399932861328,0.04791238677321008,0.055570967943180616
40,40,40,40,2019-04-03,153.24000549316406,148.0399932861328,147.2100067138672,0.03512572576912132,0.040961881015449064
41,41,41,41,2019-04-04,153.55999755859375,148.49000549316406,147.11000061035156,0.03414365868323088,0.04384472110313031
42,42,42,42,2019-04-05,155.08999633789062,150.0399932861328,146.4499969482422,0.03365771312804067,0.0589962415137637
43,43,43,43,2019-04-08,156.55999755859375,151.67999267578125,148.38999938964844,0.03217302952567769,0.055057606324885766
44,44,44,44,2019-04-09,156.60000610351562,154.97999572753906,145.91000366210938,0.010453028911064033,0.07326435592559921
45,45,45,45,2019-04-10,157.27999877929688,153.10000610351562,146.10000610351562,0.02730236779321249,0.07652287617195541
46,46,46,46,2019-04-11,158.44000244140625,153.24000549316406,148.0399932861328,0.03393367764186195,0.0702513484661691
47,47,47,47,2019-04-12,159.3800048828125,153.55999755859375,148.49000549316406,0.03790054321925873,0.07333826511407704
48,48,48,48,2019-04-15,159.92999267578125,155.08999633789062,150.0399932861328,0.03120766298392219,0.06591575468007238
49,49,49,49,2019-04-16,158.75999450683594,156.55999755859375,151.67999267578125,0.014052101319296684,0.046677229515617924
50,50,50,50,2019-04-17,156.57000732421875,156.60000610351562,154.97999572753906,-0.00019156307872070233,0.010259463417943149
51,51,51,51,2019-04-18,157.1999969482422,157.27999877929688,153.10000610351562,-0.0005086586449364328,0.02677982156287073
52,52,52,52,2019-04-22,158.10000610351562,158.44000244140625,153.24000549316406,-0.002145899600174306,0.031714959776403484
53,53,53,53,2019-04-23,159.47999572753906,159.3800048828125,153.55999755859375,0.0006273738340019097,0.038551694862370756
54,54,54,54,2019-04-24,159.49000549316406,159.92999267578125,155.08999633789062,-0.0027511236338837453,0.028370683210845238
55,55,55,55,2019-04-25,158.0399932861328,158.75999450683594,156.55999755859375,-0.004535155238192701,0.009453217620198018
56,56,56,56,2019-04-26,158.8800048828125,156.57000732421875,156.60000610351562,0.014753767966621423,0.014559378610686347
57,57,57,57,2019-04-29,157.75999450683594,157.1999969482422,157.27999877929688,0.003562325505503283,0.0030518548529023803
58,58,58,58,2019-04-30,158.97000122070312,158.10000610351562,158.44000244140625,0.005502815203042299,0.003345107113923884
59,59,59,59,2019-05-01,156.47999572753906,159.47999572753906,159.3800048828125,-0.018811136696575415,-0.018195564477524795
60,60,60,60,2019-05-02,157.9600067138672,159.49000549316406,159.92999267578125,-0.009593069951724709,-0.012317801864142663
61,61,61,61,2019-05-03,159.97999572753906,158.0399932861328,158.75999450683594,0.012275389292720762,0.007684563258476329
62,62,62,62,2019-05-06,161.49000549316406,158.8800048828125,156.57000732421875,0.016427495783856827,0.03142363121154612
63,63,63,63,2019-05-07,155.19000244140625,157.75999450683594,157.1999969482422,-0.016290518223353034,-0.012786224846414784
64,64,64,64,2019-05-08,153.6999969482422,158.97000122070312,158.10000610351562,-0.033150935597870634,-0.027830543867231383
65,65,65,65,2019-05-09,152.97000122070312,156.47999572753906,159.47999572753906,-0.022430947102960674,-0.04082013218734859
66,66,66,66,2019-05-10,153.86000061035156,157.9600067138672,159.49000549316406,-0.025955975748611415,-0.035300048209314316
67,67,67,67,2019-05-13,150.0,159.97999572753906,158.0399932861328,-0.06238277280952009,-0.05087315633819556
68,68,68,68,2019-05-14,151.44000244140625,161.49000549316406,158.8800048828125,-0.06223297238158332,-0.0468278084891417
69,69,69,69,2019-05-15,152.57000732421875,155.19000244140625,157.75999450683594,-0.01688249936188191,-0.03289799292172457
70,70,70,70,2019-05-16,154.97000122070312,153.6999969482422,158.97000122070312,0.008262877668687274,-0.025161980054630995
71,71,71,71,2019-05-17,153.52000427246094,152.97000122070312,156.47999572753906,0.0035954961585198397,-0.01891610132858146
72,72,72,72,2019-05-20,152.4499969482422,153.86000061035156,157.9600067138672,-0.009164198989444872,-0.034882309011330825
73,73,73,73,2019-05-21,154.05999755859375,150.0,159.97999572753906,0.027066650390624947,-0.03700461512092812
74,74,74,74,2019-05-22,155.00999450683594,151.44000244140625,161.49000549316406,0.023573639777316746,-0.040126390277461677
75,75,75,75,2019-05-23,152.72000122070312,152.57000732421875,155.19000244140625,0.0009831152211039473,-0.015915981582870997
76,76,76,76,2019-05-24,154.02000427246094,154.97000122070312,153.6999969482422,-0.006130199011157189,0.0020820255730162884
77,77,77,77,2019-05-28,152.44000244140625,153.52000427246094,152.97000122070312,-0.007034925749076604,-0.0034647236390630276
78,78,78,78,2019-05-29,151.55999755859375,152.4499969482422,153.86000061035156,-0.005837975778711257,-0.014948674396424444
79,79,79,79,2019-05-30,152.6199951171875,154.05999755859375,150.0,-0.009347023654589948,0.017466634114583268
80,80,80,80,2019-05-31,151.3000030517578,155.00999450683594,151.44000244140625,-0.023933885469007654,-0.0009244544862088144
81,81,81,81,2019-06-03,149.85000610351562,152.72000122070312,152.57000732421875,-0.018792529428021232,-0.017827889428640997
82,82,82,82,2019-06-04,151.33999633789062,154.02000427246094,154.97000122070312,-0.017400388652303755,-0.02342391981815095
83,83,83,83,2019-06-05,154.47000122070312,152.44000244140625,153.52000427246094,0.013316706551990132,0.006188098761098049
