,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,XOM,XOM_6m,XOM_12m,XOM_6m_ret,XOM_12m_ret
0,0,0,0,2019-02-05,58.531005859375,,,,
1,1,1,1,2019-02-06,58.275489807128906,,,,
2,2,2,2,2019-02-07,57.82637786865234,,,,
3,3,3,3,2019-02-08,57.92031478881836,,,,
4,4,4,4,2019-02-11,58.01427459716797,,,,
5,5,5,5,2019-02-12,59.03207778930664,,,,
6,6,6,6,2019-02-13,59.69755554199219,58.531005859375,,0.01993045678080274,
7,7,7,7,2019-02-14,59.71321487426758,58.275489807128906,,0.02467117945978714,
8,8,8,8,2019-02-15,60.84061050415039,57.82637786865234,,0.0521255652972874,
9,9,9,9,2019-02-19,61.24773788452149,57.92031478881836,,0.05744829094653836,
10,10,10,10,2019-02-20,61.48260498046875,58.01427459716797,,0.05978408602682239,
11,11,11,11,2019-02-21,60.92673110961914,59.03207778930664,,0.032095318194198974,
12,12,12,12,2019-02-22,61.396461486816406,59.69755554199219,58.531005859375,0.02845855126562391,0.04895619997247058
13,13,13,13,2019-02-25,61.459129333496094,59.71321487426758,58.275489807128906,0.02923832627174261,0.0546308497260839
14,14,14,14,2019-02-26,61.58439254760742,60.84061050415039,57.82637786865234,0.012225091715775793,0.06498789682955919
15,15,15,15,2019-02-27,62.21855926513672,61.24773788452149,57.92031478881836,0.01585073039669882,0.07420961871478204
16,16,16,16,2019-02-28,61.874061584472656,61.48260498046875,58.01427459716797,0.0063669488976314526,0.06653167714507813
17,17,17,17,2019-03-01,62.63351058959961,60.92673110961914,59.03207778930664,0.028013639479683272,0.061008064346760094
18,18,18,18,2019-03-04,62.87619018554688,61.396461486816406,59.69755554199219,0.024101204904914963,0.05324564154588862
19,19,19,19,2019-03-05,62.78224182128906,61.459129333496094,59.71321487426758,0.021528331138785717,0.051396109780450505
20,20,20,20,2019-03-06,62.06979370117188,61.58439254760742,60.84061050415039,0.007881885872126126,0.020203334365582082
