,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TSCO,TSCO_6m,TSCO_12m,TSCO_6m_ret,TSCO_12m_ret
0,0,0,0,2019-02-05,83.15078735351562,,,,
1,1,1,1,2019-02-06,84.48731231689453,,,,
2,2,2,2,2019-02-07,84.2274398803711,,,,
3,3,3,3,2019-02-08,85.68457794189453,,,,
4,4,4,4,2019-02-11,87.420166015625,,,,
5,5,5,5,2019-02-12,88.69171905517578,,,,
6,6,6,6,2019-02-13,88.94229888916016,83.15078735351562,,0.06965071191715744,
7,7,7,7,2019-02-14,88.89588165283203,84.48731231689453,,0.05218025304677543,
8,8,8,8,2019-02-15,90.5665283203125,84.2274398803711,,0.07526155904708576,
9,9,9,9,2019-02-19,90.09318542480467,85.68457794189453,,0.05145158660756621,
10,10,10,10,2019-02-20,90.5386734008789,87.420166015625,,0.03567263169800561,
11,11,11,11,2019-02-21,90.03749084472656,88.69171905517578,,0.015173590092594447,
12,12,12,12,2019-02-22,89.42298126220703,88.94229888916016,83.15078735351562,0.005404429377813713,0.07543156364864201
13,13,13,13,2019-02-25,88.2684097290039,88.89588165283203,84.48731231689453,-0.007058503860489451,0.044753434668713954
14,14,14,14,2019-02-26,88.2684097290039,90.5665283203125,84.2274398803711,-0.025374921993042365,0.04797688086414875
15,15,15,15,2019-02-27,88.78981018066406,90.09318542480467,85.68457794189453,-0.014466968150753878,0.036240269992054985
16,16,16,16,2019-02-28,88.78052520751953,90.5386734008789,87.420166015625,-0.019418753636634478,0.0155611600148573
17,17,17,17,2019-03-01,88.4173812866211,90.03749084472656,88.69171905517578,-0.017993721758632897,-0.003093161024244173
18,18,18,18,2019-03-04,87.41177368164062,89.42298126220703,88.94229888916016,-0.022490947541428108,-0.017208068901242046
19,19,19,19,2019-03-05,87.0672836303711,88.2684097290039,88.89588165283203,-0.013607655358473525,-0.020570109531082847
20,20,20,20,2019-03-06,85.83822631835938,88.2684097290039,90.5665283203125,-0.027531745707275457,-0.05220805180066346
21,21,21,21,2019-03-07,85.87545776367188,88.78981018066406,90.09318542480467,-0.03282305042732092,-0.04681516855293211
22,22,22,22,2019-03-08,84.16223907470703,88.78052520751953,90.5386734008789,-0.05201913507514755,-0.07042774194336687
23,23,23,23,2019-03-11,83.3521957397461,88.4173812866211,90.03749084472656,-0.05728721517384994,-0.07425012672231768
