,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,COO,COO_6m,COO_12m,COO_6m_ret,COO_12m_ret
0,0,0,0,2019-02-05,277.6376647949219,,,,
1,1,1,1,2019-02-06,276.2487487792969,,,,
2,2,2,2,2019-02-07,272.61151123046875,,,,
3,3,3,3,2019-02-08,275.8591003417969,,,,
4,4,4,4,2019-02-11,275.0196838378906,,,,
5,5,5,5,2019-02-12,277.8775634765625,,,,
6,6,6,6,2019-02-13,277.78759765625,277.6376647949219,,0.0005400306959031376,
7,7,7,7,2019-02-14,275.79913330078125,276.2487487792969,,-0.0016275747148264408,
8,8,8,8,2019-02-15,278.85675048828125,272.61151123046875,,0.02290893451132625,
9,9,9,9,2019-02-19,283.2034912109375,275.8591003417969,,0.02662370340525544,
10,10,10,10,2019-02-20,284.40252685546875,275.0196838378906,,0.03411698714303224,
11,11,11,11,2019-02-21,286.1112060546875,277.8775634765625,,0.02963046917179213,
12,12,12,12,2019-02-22,292.366455078125,277.78759765625,277.6376647949219,0.05248203139693697,0.05305040400077776
13,13,13,13,2019-02-25,294.3749389648437,275.79913330078125,276.2487487792969,0.0673526614886204,0.06561546528497897
14,14,14,14,2019-02-26,288.52935791015625,278.85675048828125,272.61151123046875,0.03468665329040155,0.0583902220703747
15,15,15,15,2019-02-27,286.8006286621094,283.2034912109375,275.8591003417969,0.01270159995482767,0.03966346699005263
16,16,16,16,2019-02-28,285.7714538574219,284.40252685546875,275.0196838378906,0.004813343316913743,0.03909454723200412
17,17,17,17,2019-03-01,290.44793701171875,286.1112060546875,277.8775634765625,0.015157501227694992,0.04523709427233591
18,18,18,18,2019-03-04,287.6300964355469,292.366455078125,277.78759765625,-0.0162000754885252,0.03543174303799024
19,19,19,19,2019-03-05,289.9982604980469,294.3749389648437,275.79913330078125,-0.014867700634392356,0.05148358164628575
20,20,20,20,2019-03-06,282.54400634765625,288.52935791015625,278.85675048828125,-0.020744341601327654,0.013222759904210957
21,21,21,21,2019-03-07,288.169677734375,286.8006286621094,283.2034912109375,0.004773521866573649,0.017535753186526115
22,22,22,22,2019-03-08,287.8798522949219,285.7714538574219,284.40252685546875,0.007377918294638075,0.012226774065267954
23,23,23,23,2019-03-11,288.5892639160156,290.44793701171875,286.1112060546875,-0.006399333095032933,0.008661170233417836
24,24,24,24,2019-03-12,292.76611328125,287.6300964355469,292.366455078125,0.01785632626540523,0.001366976943432796
25,25,25,25,2019-03-13,291.8867492675781,289.9982604980469,294.3749389648437,0.006512069300994794,-0.008452450830275127
26,26,26,26,2019-03-14,294.5847473144531,282.54400634765625,288.52935791015625,0.04261545350914764,0.020987082382730726
27,27,27,27,2019-03-15,295.0044860839844,288.169677734375,286.8006286621094,0.02371799976786404,0.02860474002496094
28,28,28,28,2019-03-18,292.9559936523437,287.8798522949219,285.7714538574219,0.01763284688718514,0.025140858885458695
29,29,29,29,2019-03-19,294.3549194335937,288.5892639160156,290.44793701171875,0.019978759567632398,0.013451575735300647
30,30,30,30,2019-03-20,290.9874572753906,292.76611328125,287.6300964355469,-0.006075347948998111,0.011672494921254106
31,31,31,31,2019-03-21,297.0228881835937,291.8867492675781,289.9982604980469,0.0175963414882776,0.024222999384488242
32,32,32,32,2019-03-22,291.5370483398437,294.5847473144531,282.54400634765625,-0.010345746011609314,0.03182881883936317
33,33,33,33,2019-03-25,292.086669921875,295.0044860839844,288.169677734375,-0.009890751835138878,0.01359265908299534
34,34,34,34,2019-03-26,293.88525390625,292.9559936523437,287.8798522949219,0.003172013114737915,0.020860791623499297
35,35,35,35,2019-03-27,292.6262512207031,294.3549194335937,288.5892639160156,-0.0058727342359927714,0.01398869538633396
36,36,36,36,2019-03-28,294.74462890625,290.9874572753906,292.76611328125,0.012911799243991329,0.0067580076219384555
37,37,37,37,2019-03-29,295.9437255859375,297.0228881835937,291.8867492675781,-0.003633264103839573,0.013899145228549736
38,38,38,38,2019-04-01,295.5939636230469,291.5370483398437,294.5847473144531,0.0139156080035292,0.003425894645918248
39,39,39,39,2019-04-02,297.36260986328125,292.086669921875,295.0044860839844,0.018062926126746648,0.007993518371871566
40,40,40,40,2019-04-03,296.843017578125,293.88525390625,292.9559936523437,0.010064348695829839,0.013268286056622225
41,41,41,41,2019-04-04,290.50787353515625,292.6262512207031,294.3549194335937,-0.0072391922348387094,-0.013069412618753051
42,42,42,42,2019-04-05,289.2188415527344,294.74462890625,290.9874572753906,-0.018747711787050814,-0.006077979233938047
43,43,43,43,2019-04-08,289.808349609375,295.9437255859375,297.0228881835937,-0.02073156294973011,-0.024289503810087876
44,44,44,44,2019-04-09,289.2388000488281,295.5939636230469,291.5370483398437,-0.021499639222413602,-0.00788321177052087
45,45,45,45,2019-04-10,291.45709228515625,297.36260986328125,292.086669921875,-0.019859650750442936,-0.002155448028104634
46,46,46,46,2019-04-11,291.6570129394531,296.843017578125,293.88525390625,-0.017470529308667326,-0.007582010111700566
47,47,47,47,2019-04-12,292.7161560058594,290.50787353515625,292.6262512207031,0.007601454803378704,0.00030723417595379665
48,48,48,48,2019-04-15,295.3941345214844,289.2188415527344,294.74462890625,0.02135162749285824,0.002203621547386847
49,49,49,49,2019-04-16,288.7592163085937,289.808349609375,295.9437255859375,-0.0036200934244834393,-0.024276606179499893
50,50,50,50,2019-04-17,279.0765991210937,289.2388000488281,295.5939636230469,-0.0351342936218062,-0.05587855820701659
51,51,51,51,2019-04-18,281.0050964355469,291.45709228515625,297.36260986328125,-0.03586118206169209,-0.05500864226089175
52,52,52,52,2019-04-22,284.0928039550781,291.6570129394531,296.843017578125,-0.025935289222568048,-0.04295271530074374
53,53,53,53,2019-04-23,286.5209045410156,292.7161560058594,290.50787353515625,-0.021164706278527845,-0.013724134033352264
54,54,54,54,2019-04-24,282.24420166015625,295.3941345214844,289.2188415527344,-0.04451656727250186,-0.0241154409413068
55,55,55,55,2019-04-25,281.284912109375,288.7592163085937,289.808349609375,-0.025884210016801634,-0.02941060018280539
56,56,56,56,2019-04-26,288.0797119140625,279.0765991210937,289.2388000488281,0.032260364435150235,-0.004007374303067079
57,57,57,57,2019-04-29,285.67156982421875,281.0050964355469,291.45709228515625,0.01660636567757834,-0.019850340287060342
58,58,58,58,2019-04-30,289.698486328125,284.0928039550781,291.6570129394531,0.019731870343091318,-0.006715170643727064
59,59,59,59,2019-05-01,287.18035888671875,286.5209045410156,292.7161560058594,0.0023015924327041137,-0.018911826373634866
60,60,60,60,2019-05-02,290.5877990722656,282.24420166015625,295.3941345214844,0.029561625581792095,-0.01627092378460604
61,61,61,61,2019-05-03,293.6854248046875,281.284912109375,288.7592163085937,0.04408523941906517,0.017059917806499403
62,62,62,62,2019-05-06,294.5347595214844,288.0797119140625,279.0765991210937,0.022407157951294776,0.05539038546790964
63,63,63,63,2019-05-07,289.00897216796875,285.67156982421875,281.0050964355469,0.011682654825622363,0.028483026941319878
64,64,64,64,2019-05-08,290.7076721191406,289.698486328125,284.0928039550781,0.0034835728822986134,0.023284180633834195
65,65,65,65,2019-05-09,291.1973571777344,287.18035888671875,286.5209045410156,0.013987719447764002,0.01632150590969994
66,66,66,66,2019-05-10,291.5670471191406,290.5877990722656,282.24420166015625,0.0033698870014549076,0.033031131921037016
67,67,67,67,2019-05-13,286.57086181640625,293.6854248046875,281.284912109375,-0.02422511431410912,0.018792155140464395
68,68,68,68,2019-05-14,287.580078125,294.5347595214844,288.0797119140625,-0.02361243001601332,-0.0017343595137013779
69,69,69,69,2019-05-15,290.537841796875,289.00897216796875,285.67156982421875,0.005290042096055325,0.017034498657498842
70,70,70,70,2019-05-16,291.4371032714844,290.7076721191406,289.698486328125,0.002509156868913953,0.006001470582038593
71,71,71,71,2019-05-17,292.5062866210937,291.1973571777344,287.18035888671875,0.0044949908063911526,0.018545584924475333
72,72,72,72,2019-05-20,289.2588195800781,291.5670471191406,290.5877990722656,-0.00791662693664863,-0.004573418073403057
73,73,73,73,2019-05-21,292.2864990234375,286.57086181640625,293.6854248046875,0.01994493498328187,-0.004763347660784789
74,74,74,74,2019-05-22,293.3157043457031,287.580078125,294.5347595214844,0.019944449066496395,-0.004138917857307578
75,75,75,75,2019-05-23,291.7069396972656,290.537841796875,289.00897216796875,0.004023909220087107,0.00933523796530733
76,76,76,76,2019-05-24,290.9974670410156,291.4371032714844,290.7076721191406,-0.0015085115297046592,0.00099686024714285
77,77,77,77,2019-05-28,286.3609924316406,292.5062866210937,291.1973571777344,-0.021009101241689088,-0.01660854615222984
78,78,78,78,2019-05-29,284.7422180175781,289.2588195800781,291.5670471191406,-0.015614395333068187,-0.023407408927023643
79,79,79,79,2019-05-30,286.2210998535156,292.2864990234375,286.57086181640625,-0.02075155434885656,-0.0012205077678647536
80,80,80,80,2019-05-31,297.5624694824219,293.3157043457031,287.580078125,0.014478478560130181,0.03471169290482945
81,81,81,81,2019-06-03,301.5294189453125,291.7069396972656,290.537841796875,0.03367242225447464,0.037831826244933975
82,82,82,82,2019-06-04,310.3726501464844,290.9974670410156,291.4371032714844,0.06658196479331502,0.06497301360204921
83,83,83,83,2019-06-05,312.0314025878906,286.3609924316406,292.5062866210937,0.08964352979178192,0.06675109855703498
