,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,URI,URI_6m,URI_12m,URI_6m_ret,URI_12m_ret
0,0,0,0,2019-02-05,127.339111328125,,,,
1,1,1,1,2019-02-06,127.1024398803711,,,,
2,2,2,2,2019-02-07,124.2231674194336,,,,
3,3,3,3,2019-02-08,124.52883911132812,,,,
4,4,4,4,2019-02-11,126.10653686523438,,,,
5,5,5,5,2019-02-12,129.57745361328125,,,,
6,6,6,6,2019-02-13,130.29727172851562,127.339111328125,,0.02323057204921186,
7,7,7,7,2019-02-14,129.86338806152344,127.1024398803711,,0.021722228021357814,
8,8,8,8,2019-02-15,132.97933959960938,124.2231674194336,,0.07048743291668758,
9,9,9,9,2019-02-19,132.41726684570312,124.52883911132812,,0.0633461918594036,
10,10,10,10,2019-02-20,134.35980224609375,126.10653686523438,,0.06544676894647705,
11,11,11,11,2019-02-21,133.1667022705078,129.57745361328125,,0.027699638765386947,
12,12,12,12,2019-02-22,134.9317169189453,130.29727172851562,127.339111328125,0.035568244284392314,0.059625086995116705
13,13,13,13,2019-02-25,134.38937377929688,129.86338806152344,127.1024398803711,0.03485189925608001,0.05733118818005578
14,14,14,14,2019-02-26,132.95960998535156,132.97933959960938,124.2231674194336,-0.00014836601172196762,0.0703286089656674
15,15,15,15,2019-02-27,133.76817321777344,132.41726684570312,124.52883911132812,0.010201889861119362,0.0741943325929939
16,16,16,16,2019-02-28,132.71310424804688,134.35980224609375,126.10653686523438,-0.012255882864659062,0.052388778147739457
17,17,17,17,2019-03-01,133.79774475097656,133.1667022705078,129.57745361328125,0.004738740764090421,0.032569640936845445
18,18,18,18,2019-03-04,130.64239501953125,134.9317169189453,130.29727172851562,-0.03178883362160656,0.0026487376630166537
19,19,19,19,2019-03-05,128.6209716796875,134.38937377929688,129.86338806152344,-0.04292305215353276,-0.009567102786871229
20,20,20,20,2019-03-06,126.2643051147461,132.95960998535156,132.97933959960938,-0.05035593043137765,-0.05049682533453492
21,21,21,21,2019-03-07,124.81480407714844,133.76817321777344,132.41726684570312,-0.06693198333544548,-0.057412926196500624
22,22,22,22,2019-03-08,121.52137756347656,132.71310424804688,134.35980224609375,-0.08433023059766931,-0.09555257203417356
23,23,23,23,2019-03-11,122.2806396484375,133.79774475097656,133.1667022705078,-0.08607846958836729,-0.08174763237702576
24,24,24,24,2019-03-12,123.55265045166016,130.64239501953125,134.9317169189453,-0.05426832971648421,-0.08433203643381093
25,25,25,25,2019-03-13,122.60603332519533,128.6209716796875,134.38937377929688,-0.04676483372767182,-0.08768059648416049
26,26,26,26,2019-03-14,120.01270294189452,126.2643051147461,132.95960998535156,-0.04951203087183087,-0.09737473692111032
27,27,27,27,2019-03-15,118.46460723876952,124.81480407714844,133.76817321777344,-0.050876952340155435,-0.11440364034941142
28,28,28,28,2019-03-18,121.2748565673828,121.52137756347656,132.71310424804688,-0.002028622461632268,-0.0861877788593165
