,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CB,CB_6m,CB_12m,CB_6m_ret,CB_12m_ret
26,26,26,26,2019-03-14,122.98951721191406,121.07292938232422,122.78060150146484,0.015830027730952434,0.00170153678915419
27,27,27,27,2019-03-15,123.85246276855467,120.51882934570312,120.83673858642578,0.02766068539621447,0.02495701404562456
28,28,28,28,2019-03-18,124.78807067871094,120.2281494140625,121.62700653076172,0.03792723490190464,0.025989821159906112
29,29,29,29,2019-03-19,123.26202392578124,121.18192291259766,121.82684326171876,0.01716510980506425,0.011780496199669921
30,30,30,30,2019-03-20,122.37184143066406,121.80866241455078,121.32728576660156,0.0046234726246037194,0.008609404368213669
31,31,31,31,2019-03-21,124.36280059814452,122.19019317626952,121.30001068115234,0.017780538400007595,0.025249708551493777
32,32,32,32,2019-03-22,124.77381134033205,122.98951721191406,121.07292938232422,0.014507692760055368,0.030567377669711515
33,33,33,33,2019-03-25,124.81947326660156,123.85246276855467,120.51882934570312,0.007807761561059667,0.0356844149934632
34,34,34,34,2019-03-26,125.42223358154295,124.78807067871094,120.2281494140625,0.005081919284294356,0.0432018973326469
35,35,35,35,2019-03-27,126.80130767822266,123.26202392578124,121.18192291259766,0.02871349698567749,0.04637147711938838
36,36,36,36,2019-03-28,127.02051544189452,122.37184143066406,121.80866241455078,0.03798810213920323,0.042787211714108375
37,37,37,37,2019-03-29,127.93376922607422,124.36280059814452,122.19019317626952,0.028714121994314334,0.047005212943064256
38,38,38,38,2019-04-01,129.19415283203125,124.77381134033205,122.98951721191406,0.03542683712403649,0.050448491552547825
39,39,39,39,2019-04-02,127.77853393554688,124.81947326660156,123.85246276855467,0.023706722929562885,0.03169958093065062
40,40,40,40,2019-04-03,125.88802337646484,125.42223358154295,124.78807067871094,0.003713773719546065,0.008814566102123056
41,41,41,41,2019-04-04,124.91083526611328,126.80130767822266,123.26202392578124,-0.014908934668928953,0.013376474666072502
42,42,42,42,2019-04-05,125.65968322753906,127.02051544189452,122.37184143066406,-0.010713483641766275,0.026867633586586948
43,43,43,43,2019-04-08,125.26699829101562,127.93376922607422,124.36280059814452,-0.020844933680849276,0.007270644344789634
44,44,44,44,2019-04-09,124.72814178466795,129.19415283203125,124.77381134033205,-0.03456821341728733,-0.00036601875965402986
45,45,45,45,2019-04-10,125.4953384399414,127.77853393554688,124.81947326660156,-0.01786838074662167,0.005414741431381209
46,46,46,46,2019-04-11,126.0250244140625,125.88802337646484,125.42223358154295,0.001088276977611713,0.004806092311596677
47,47,47,47,2019-04-12,127.10269927978516,124.91083526611328,126.80130767822266,0.017547429004075354,0.0023768808625170834
48,48,48,48,2019-04-15,126.9109115600586,125.65968322753906,127.02051544189452,0.009957277468652048,-0.0008628833023911486
49,49,49,49,2019-04-16,128.05252075195312,125.26699829101562,127.93376922607422,0.022236682437829947,0.0009282265862819994
50,50,50,50,2019-04-17,125.84237670898438,124.72814178466795,129.19415283203125,0.00893330814019544,-0.02594371377940463
51,51,51,51,2019-04-18,126.63692474365234,125.4953384399414,127.77853393554688,0.00909664309369762,-0.00893427993523832
52,52,52,52,2019-04-22,126.0706558227539,126.0250244140625,125.88802337646484,0.0003620821253840223,0.0014507531486367409
53,53,53,53,2019-04-23,126.58216094970705,127.10269927978516,124.91083526611328,-0.004095415227431731,0.013380149768698057
54,54,54,54,2019-04-24,128.363037109375,126.9109115600586,125.65968322753906,0.011442085881080422,0.02151329537367075
55,55,55,55,2019-04-25,129.42247009277344,128.05252075195312,125.26699829101562,0.010698339499883858,0.03317291751578466
56,56,56,56,2019-04-26,130.5823516845703,125.84237670898438,124.72814178466795,0.03766596832915292,0.0469357581708314
57,57,57,57,2019-04-29,131.17599487304688,126.63692474365234,125.4953384399414,0.03584318032503431,0.04526587603749177
58,58,58,58,2019-04-30,132.60986328125,126.0706558227539,126.0250244140625,0.051869385590329165,0.05225024869309003
59,59,59,59,2019-05-01,131.7239532470703,126.58216094970705,127.10269927978516,0.04062019686491358,0.036358425064699995
60,60,60,60,2019-05-02,131.8152618408203,128.363037109375,126.9109115600586,0.026894227568826867,0.03864403951145534
61,61,61,61,2019-05-03,132.47286987304688,129.42247009277344,128.05252075195312,0.02356932129395184,0.03451981339482013
62,62,62,62,2019-05-06,132.2719268798828,130.5823516845703,125.84237670898438,0.01293877138461852,0.05109209106696255
63,63,63,63,2019-05-07,130.40882873535156,131.17599487304688,126.63692474365234,-0.005848372931631096,0.029785183107806645
64,64,64,64,2019-05-08,130.39968872070312,132.60986328125,126.0706558227539,-0.016666743376843374,0.03433814847473715
65,65,65,65,2019-05-09,130.2809600830078,131.7239532470703,126.58216094970705,-0.01095467550503837,0.029220540284269347
66,66,66,66,2019-05-10,132.18060302734375,131.8152618408203,128.363037109375,0.00277161522437841,0.02974038324378303
67,67,67,67,2019-05-13,130.92022705078125,132.47286987304688,129.42247009277344,-0.011720458866434913,0.011572619166781317
68,68,68,68,2019-05-14,131.40432739257812,132.2719268798828,130.5823516845703,-0.006559211071995308,0.006294692180099037
69,69,69,69,2019-05-15,131.21249389648438,130.40882873535156,131.17599487304688,0.006162659146059513,0.0002782446854916465
70,70,70,70,2019-05-16,132.993408203125,130.39968872070312,132.60986328125,0.019890534309305208,0.002892280501500366
71,71,71,71,2019-05-17,132.4180450439453,130.2809600830078,131.7239532470703,0.016403662972516164,0.005269290662520021
72,72,72,72,2019-05-20,133.11215209960938,132.18060302734375,131.8152618408203,0.007047547453486125,0.00983869576768126
73,73,73,73,2019-05-21,133.53224182128906,130.92022705078125,132.47286987304688,0.019951193404932566,0.007996897396858937
74,74,74,74,2019-05-22,135.18533325195312,131.40432739257812,132.2719268798828,0.028773830621871666,0.022025885921477473
75,75,75,75,2019-05-23,134.31771850585938,131.21249389648438,130.40882873535156,0.023665616872008854,0.029974119148331813
76,76,76,76,2019-05-24,135.3223419189453,132.993408203125,130.39968872070312,0.0175116477371815,0.03775049807661568
77,77,77,77,2019-05-28,133.76060485839844,132.4180450439453,130.2809600830078,0.010138798031700036,0.02670877443007469
78,78,78,78,2019-05-29,133.30393981933594,133.11215209960938,132.18060302734375,0.0014407979790083125,0.00849849952462245
79,79,79,79,2019-05-30,133.13955688476562,133.53224182128906,130.92022705078125,-0.002940749972946466,0.016951771960520334
80,80,80,80,2019-05-31,133.40440368652344,135.18533325195312,131.40432739257812,-0.013173985095783047,0.015220779510327409
