,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ECL,ECL_6m,ECL_12m,ECL_6m_ret,ECL_12m_ret
0,0,0,0,2019-02-05,150.3348846435547,,,,
1,1,1,1,2019-02-06,150.818115234375,,,,
2,2,2,2,2019-02-07,150.28749084472656,,,,
3,3,3,3,2019-02-08,150.818115234375,,,,
4,4,4,4,2019-02-11,151.6992950439453,,,,
5,5,5,5,2019-02-12,153.8596954345703,,,,
6,6,6,6,2019-02-13,154.11549377441406,150.3348846435547,,0.02514791653196946,
7,7,7,7,2019-02-14,153.1300506591797,150.818115234375,,0.015329295298591283,
8,8,8,8,2019-02-15,154.90194702148438,150.28749084472656,,0.030704193348502606,
9,9,9,9,2019-02-19,158.53099060058594,150.818115234375,,0.05114024501781467,
10,10,10,10,2019-02-20,156.61697387695312,151.6992950439453,,0.032417282041971474,
11,11,11,11,2019-02-21,158.322509765625,153.8596954345703,,0.02900574005719725,
12,12,12,12,2019-02-22,158.24668884277344,154.11549377441406,150.3348846435547,0.02680583870695319,0.05262786623329441
13,13,13,13,2019-02-25,159.3932342529297,153.1300506591797,150.818115234375,0.04090107439257573,0.05685735433856043
14,14,14,14,2019-02-26,159.3932342529297,154.90194702148438,150.28749084472656,0.028994388500632517,0.06058883115968028
15,15,15,15,2019-02-27,159.64907836914062,158.53099060058594,150.818115234375,0.007052802510845835,0.058553729577127456
16,16,16,16,2019-02-28,160.04705810546875,156.61697387695312,151.6992950439453,0.021901101417082014,0.05502835764072067
17,17,17,17,2019-03-01,161.2314453125,158.322509765625,153.8596954345703,0.018373480506223006,0.04791215696292972
18,18,18,18,2019-03-04,160.68186950683594,158.24668884277344,154.11549377441406,0.015388509433407416,0.042606850042172795
19,19,19,19,2019-03-05,161.57254028320312,159.3932342529297,153.1300506591797,0.013672512766854661,0.05513280762124095
20,20,20,20,2019-03-06,161.3925323486328,159.3932342529297,154.90194702148438,0.012543180424650746,0.04190125077154905
21,21,21,21,2019-03-07,160.70086669921875,159.64907836914062,158.53099060058594,0.006588126538671135,0.013687393804910686
22,22,22,22,2019-03-08,160.6724090576172,160.04705810546875,156.61697387695312,0.003907294264267724,0.025893969729297917
23,23,23,23,2019-03-11,161.27883911132812,161.2314453125,158.322509765625,0.00029394885554911987,0.018672830225339165
24,24,24,24,2019-03-12,162.01791381835938,160.68186950683594,158.24668884277344,0.008314841715646004,0.02383130416923196
25,25,25,25,2019-03-13,164.03610229492188,161.57254028320312,159.3932342529297,0.015247405328904451,0.02912838843977994
26,26,26,26,2019-03-14,164.49095153808594,161.3925323486328,159.3932342529297,0.019198033170209294,0.031982017988712474
27,27,27,27,2019-03-15,165.31527709960938,160.70086669921875,159.64907836914062,0.028714284466351714,0.03549158434455446
28,28,28,28,2019-03-18,166.39833068847656,160.6724090576172,160.04705810546875,0.03563724266315105,0.039683782121270994
29,29,29,29,2019-03-19,166.30335998535156,161.27883911132812,161.2314453125,0.031154247523787593,0.03145735413474182
30,30,30,30,2019-03-20,165.7522735595703,162.01791381835938,160.68186950683594,0.023049054596503415,0.0315555455528147
31,31,31,31,2019-03-21,167.03488159179688,164.03610229492188,161.57254028320312,0.018281215262500483,0.03380736169041709
32,32,32,32,2019-03-22,164.716796875,164.49095153808594,161.3925323486328,0.0013729955040218123,0.020597387487459873
33,33,33,33,2019-03-25,165.3912811279297,165.31527709960938,160.70086669921875,0.00045975199421244284,0.029187237910109687
34,34,34,34,2019-03-26,166.58836364746094,166.39833068847656,160.6724090576172,0.0011420364507150893,0.036819978143990406
35,35,35,35,2019-03-27,166.48385620117188,166.30335998535156,161.27883911132812,0.0010853431694717308,0.032273403743009466
36,36,36,36,2019-03-28,167.15834045410156,165.7522735595703,162.01791381835938,0.008482941828402257,0.031727520214247296
37,37,37,37,2019-03-29,167.71888732910156,167.03488159179688,164.03610229492188,0.004094987410930617,0.02245106401978747
38,38,38,38,2019-04-01,169.74246215820312,164.716796875,164.49095153808594,0.03051094592992243,0.03192583282552941
39,39,39,39,2019-04-02,169.23892211914062,165.3912811279297,165.31527709960938,0.02326386835491534,0.023734315958996888
40,40,40,40,2019-04-03,172.38352966308594,166.58836364746094,166.39833068847656,0.03478733981617643,0.035969104676985
41,41,41,41,2019-04-04,173.4381103515625,166.48385620117188,166.30335998535156,0.04177134233356172,0.04290202174411495
42,42,42,42,2019-04-05,172.6305694580078,167.15834045410156,165.7522735595703,0.03273679906752136,0.04149744525806143
43,43,43,43,2019-04-08,172.1840057373047,167.71888732910156,167.03488159179688,0.02662263314114166,0.03082663989963086
44,44,44,44,2019-04-09,172.4310302734375,169.74246215820312,164.716796875,0.015839101666432542,0.046833313570878055
45,45,45,45,2019-04-10,173.45709228515625,169.23892211914062,165.3912811279297,0.02492435022155326,0.048768055378854536
46,46,46,46,2019-04-11,173.83709716796875,172.38352966308594,166.58836364746094,0.00843217161015164,0.04351284424551882
47,47,47,47,2019-04-12,175.84164428710938,173.4381103515625,166.48385620117188,0.013858164913552518,0.05620838139783335
48,48,48,48,2019-04-15,174.58767700195312,172.6305694580078,167.15834045410156,0.011336969750432191,0.044444904918707895
49,49,49,49,2019-04-16,176.09820556640625,172.1840057373047,167.71888732910156,0.0227326563366943,0.04996049264781144
50,50,50,50,2019-04-17,173.818115234375,172.4310302734375,169.74246215820312,0.008044288540977274,0.02401080451144444
51,51,51,51,2019-04-18,174.04611206054688,173.45709228515625,169.23892211914062,0.003395766455154714,0.028404753949106798
52,52,52,52,2019-04-22,173.73255920410156,173.83709716796875,172.38352966308594,-0.0006013558991161405,0.007825744974895299
53,53,53,53,2019-04-23,175.1766357421875,175.84164428710938,173.4381103515625,-0.0037818603642949533,0.010023894904649167
