,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HWM,HWM_6m,HWM_12m,HWM_6m_ret,HWM_12m_ret
0,0,0,0,2019-02-05,18.54452133178711,,,,
1,1,1,1,2019-02-06,18.061443328857425,,,,
2,2,2,2,2019-02-07,17.487751007080078,,,,
3,3,3,3,2019-02-08,16.914060592651367,,,,
4,4,4,4,2019-02-11,17.299814224243164,,,,
5,5,5,5,2019-02-12,17.725135803222656,,,,
6,6,6,6,2019-02-13,17.69546127319336,18.54452133178711,,-0.04578495413296968,
7,7,7,7,2019-02-14,17.299814224243164,18.061443328857425,,-0.0421687841191174,
8,8,8,8,2019-02-15,17.359161376953125,17.487751007080078,,-0.007353125629184221,
9,9,9,9,2019-02-19,17.863615036010742,16.914060592651367,,0.05613994570717851,
10,10,10,10,2019-02-20,18.190025329589844,17.299814224243164,,0.05145784190556091,
11,11,11,11,2019-02-21,18.041654586791992,17.725135803222656,,0.017857058308788254,
12,12,12,12,2019-02-22,18.08122444152832,17.69546127319336,18.54452133178711,0.021800119385378736,-0.024982952213743803
13,13,13,13,2019-02-25,18.20980834960937,17.299814224243164,18.061443328857425,0.052601381354198784,0.008214460940388912
14,14,14,14,2019-02-26,18.219701766967773,17.359161376953125,17.487751007080078,0.049572693710719484,0.04185505383690313
15,15,15,15,2019-02-27,18.42741775512696,17.863615036010742,16.914060592651367,0.031561513052070556,0.08947332038842881
16,16,16,16,2019-02-28,18.288942337036133,18.190025329589844,17.299814224243164,0.005437980742411641,0.057175649401301154
17,17,17,17,2019-03-01,18.496658325195312,18.041654586791992,17.725135803222656,0.02521962363343455,0.043527030231970576
18,18,18,18,2019-03-04,18.288942337036133,18.08122444152832,17.69546127319336,0.011488043643257617,0.0335386037515637
19,19,19,19,2019-03-05,18.40763282775879,18.20980834960937,17.299814224243164,0.010863622194775102,0.06403644508292916
20,20,20,20,2019-03-06,18.40763282775879,18.219701766967773,17.359161376953125,0.01031471662899186,0.06039873862787326
21,21,21,21,2019-03-07,18.120790481567383,18.42741775512696,17.863615036010742,-0.016639730950597564,0.014396607015892737
22,22,22,22,2019-03-08,18.288942337036133,18.288942337036133,18.190025329589844,0.0,0.005437980742411641
23,23,23,23,2019-03-11,18.60545921325684,18.496658325195312,18.041654586791992,0.005882191590971031,0.03125016188246943
24,24,24,24,2019-03-12,18.664810180664062,18.288942337036133,18.08122444152832,0.020551644633204136,0.03227578646694873
25,25,25,25,2019-03-13,18.74393844604492,18.40763282775879,18.20980834960937,0.01826990039582821,0.02933199988603974
26,26,26,26,2019-03-14,18.74393844604492,18.40763282775879,18.219701766967773,0.01826990039582821,0.028773065870242975
27,27,27,27,2019-03-15,18.78350257873535,18.120790481567383,18.42741775512696,0.03657191985316999,0.01932364199586889
28,28,28,28,2019-03-18,19.02089500427246,18.288942337036133,18.288942337036133,0.04002159631473501,0.04002159631473501
29,29,29,29,2019-03-19,18.912090301513672,18.60545921325684,18.496658325195312,0.016480705192073453,0.022459839448538466
30,30,30,30,2019-03-20,18.872520446777344,18.664810180664062,18.288942337036133,0.01112844245951461,0.03190879488746767
31,31,31,31,2019-03-21,18.99121856689453,18.74393844604492,18.40763282775879,0.013192538033637735,0.03170346478530872
32,32,32,32,2019-03-22,18.516435623168945,18.74393844604492,18.40763282775879,-0.012137407702807357,0.005910743463226842
33,33,33,33,2019-03-25,18.39774703979492,18.78350257873535,18.120790481567383,-0.02053693326489303,0.015283911510883375
34,34,34,34,2019-03-26,18.59556770324707,19.02089500427246,18.288942337036133,-0.022361056140095092,0.016765615012630075
35,35,35,35,2019-03-27,18.71426773071289,18.912090301513672,18.60545921325684,-0.010460111370394043,0.005848203809907693
36,36,36,36,2019-03-28,18.921979904174805,18.872520446777344,18.664810180664062,0.002620712879180198,0.01377831979117361
37,37,37,37,2019-03-29,18.90219688415528,18.99121856689453,18.74393844604492,-0.004687518203514984,0.008443179567939607
38,38,38,38,2019-04-01,19.44621467590332,18.516435623168945,18.74393844604492,0.05021371670317465,0.03746684464846739
39,39,39,39,2019-04-02,19.53523826599121,18.39774703979492,18.78350257873535,0.06182774574168581,0.040021060188577096
40,40,40,40,2019-04-03,19.36708641052246,18.59556770324707,19.02089500427246,0.04148938712641037,0.018200584471563364
41,41,41,41,2019-04-04,19.6539306640625,18.71426773071289,18.912090301513672,0.05021104468904669,0.03922572019918147
42,42,42,42,2019-04-05,19.89132499694824,18.921979904174805,18.872520446777344,0.0512285235309633,0.05398349166154248
43,43,43,43,2019-04-08,20.03969383239746,18.90219688415528,18.99121856689453,0.06017802878752598,0.055208424978617776
44,44,44,44,2019-04-09,19.782520294189453,19.44621467590332,18.516435623168945,0.01729414304486032,0.06837626294751353
45,45,45,45,2019-04-10,19.861644744873047,19.53523826599121,18.39774703979492,0.016708599835717042,0.07956940063974516
46,46,46,46,2019-04-11,20.148494720458984,19.36708641052246,18.59556770324707,0.04034723103791027,0.08351060005233135
47,47,47,47,2019-04-12,20.48479461669922,19.6539306640625,18.71426773071289,0.04227469643799875,0.09460839779910968
48,48,48,48,2019-04-15,20.32654190063477,19.89132499694824,18.921979904174805,0.021879734193338107,0.07422912420227612
49,49,49,49,2019-04-16,20.45512580871582,20.03969383239746,18.90219688415528,0.02073045525509709,0.0821560019757428
50,50,50,50,2019-04-17,19.70338630676269,19.782520294189453,19.44621467590332,-0.004000197459673727,0.013224765598111254
51,51,51,51,2019-04-18,19.82208633422852,19.861644744873047,19.53523826599121,-0.0019916986308367024,0.014683622709464439
52,52,52,52,2019-04-22,20.059476852416992,20.148494720458984,19.36708641052246,-0.004418090248280548,0.03575088308163599
53,53,53,53,2019-04-23,20.45512580871582,20.48479461669922,19.6539306640625,-0.00144833319242621,0.04076513539952176
54,54,54,54,2019-04-24,20.87055969238281,20.32654190063477,19.89132499694824,0.026763912642270515,0.0492292341301952
55,55,55,55,2019-04-25,20.41555404663086,20.45512580871582,20.03969383239746,-0.0019345645905585185,0.018755786259855967
56,56,56,56,2019-04-26,20.45512580871582,19.70338630676269,19.782520294189453,0.038152807352465734,0.03399999112974128
57,57,57,57,2019-04-29,20.474912643432617,19.82208633422852,19.861644744873047,0.03293428845967683,0.030876994651607426
58,58,58,58,2019-04-30,21.24642562866211,20.059476852416992,20.148494720458984,0.05917147216638896,0.05449195701395371
59,59,59,59,2019-05-01,21.22664260864257,20.45512580871582,20.48479461669922,0.03771752895296343,0.03621456821141855
60,60,60,60,2019-05-02,21.69196891784668,20.87055969238281,20.32654190063477,0.039357316601512204,0.06717458502713991
61,61,61,61,2019-05-03,22.186994552612305,20.41555404663086,20.45512580871582,0.08676916149007385,0.08466673635214428
62,62,62,62,2019-05-06,22.16719055175781,20.45512580871582,19.70338630676269,0.08369856822452237,0.12504471092613545
63,63,63,63,2019-05-07,22.06818580627441,20.474912643432617,19.82208633422852,0.07781587109006982,0.11331296989496797
64,64,64,64,2019-05-08,22.16719055175781,21.24642562866211,20.059476852416992,0.0433374036267804,0.10507321376563494
65,65,65,65,2019-05-09,21.87017822265625,21.22664260864257,20.45512580871582,0.03031735286067616,0.06917837744793931
66,66,66,66,2019-05-10,22.25629425048828,21.69196891784668,20.87055969238281,0.026015403893434152,0.06639661698249655
67,67,67,67,2019-05-13,21.295948028564453,22.186994552612305,20.41555404663086,-0.04016075822865062,0.043123687945117783
68,68,68,68,2019-05-14,21.642465591430664,22.16719055175781,20.45512580871582,-0.02367124327740011,0.058046075776709394
