,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PPL,PPL_6m,PPL_12m,PPL_6m_ret,PPL_12m_ret
0,0,0,0,2019-02-05,24.574928283691406,,,,
1,1,1,1,2019-02-06,24.432504653930664,,,,
2,2,2,2,2019-02-07,24.567012786865234,,,,
3,3,3,3,2019-02-08,24.75690650939941,,,,
4,4,4,4,2019-02-11,24.622398376464844,,,,
5,5,5,5,2019-02-12,24.535364151000977,,,,
6,6,6,6,2019-02-13,24.456241607666016,24.574928283691406,,-0.004829583820358696,
7,7,7,7,2019-02-14,24.171411514282227,24.432504653930664,,-0.010686302667149317,
8,8,8,8,2019-02-15,24.10020065307617,24.567012786865234,,-0.019001583051181825,
9,9,9,9,2019-02-19,24.274269104003903,24.75690650939941,,-0.01949506111404775,
10,10,10,10,2019-02-20,24.66987037658692,24.622398376464844,,0.0019280006519371007,
11,11,11,11,2019-02-21,24.859760284423828,24.535364151000977,,0.013221574027855398,
12,12,12,12,2019-02-22,25.033830642700195,24.456241607666016,24.574928283691406,0.023617244395113035,0.01867359911334221
13,13,13,13,2019-02-25,25.10503387451172,24.171411514282227,24.432504653930664,0.03862506580047431,0.027526003989642556
14,14,14,14,2019-02-26,25.26327896118164,24.10020065307617,24.567012786865234,0.04826010890316046,0.028341507384596065
15,15,15,15,2019-02-27,25.30283737182617,24.274269104003903,24.75690650939941,0.04237278014078738,0.02205165908832285
16,16,16,16,2019-02-28,25.45316505432129,24.66987037658692,24.622398376464844,0.03175106580526488,0.03374028253277417
17,17,17,17,2019-03-01,25.524375915527344,24.859760284423828,24.535364151000977,0.026734595325922594,0.04030964278498472
18,18,18,18,2019-03-04,25.61140823364257,25.033830642700195,24.456241607666016,0.023071882173605562,0.0472340208486679
19,19,19,19,2019-03-05,25.698442459106445,25.10503387451172,24.171411514282227,0.023637035805683437,0.06317508366948021
20,20,20,20,2019-03-06,25.603496551513672,25.26327896118164,24.10020065307617,0.013466881747804527,0.062376903830699826
21,21,21,21,2019-03-07,25.702072143554688,25.30283737182617,24.274269104003903,0.015778260985586323,0.05881960991011992
22,22,22,22,2019-03-08,25.62994766235352,25.45316505432129,24.66987037658692,0.006945407679357141,0.03891699758089384
23,23,23,23,2019-03-11,25.950517654418945,25.524375915527344,24.859760284423828,0.016695481225551312,0.04387642348581067
24,24,24,24,2019-03-12,26.02264976501465,25.61140823364257,25.033830642700195,0.016056966786850868,0.039499313406228254
25,25,25,25,2019-03-13,26.046693801879883,25.698442459106445,25.10503387451172,0.013551457187633176,0.03750880927207989
26,26,26,26,2019-03-14,26.11881828308105,25.603496551513672,25.26327896118164,0.020127006111472445,0.03386493587051742
27,27,27,27,2019-03-15,26.23904037475586,25.702072143554688,25.30283737182617,0.02089202100912435,0.03699992175470879
28,28,28,28,2019-03-18,26.223005294799805,25.62994766235352,25.45316505432129,0.02313924477174778,0.03024536393943733
29,29,29,29,2019-03-19,25.726119995117188,25.950517654418945,25.524375915527344,-0.008647136149268597,0.007903976977047922
30,30,30,30,2019-03-20,25.73413276672364,26.02264976501465,25.61140823364257,-0.011087149114188066,0.004791791687575486
31,31,31,31,2019-03-21,25.886404037475582,26.046693801879883,25.698442459106445,-0.006153938984483798,0.007314123362465841
32,32,32,32,2019-03-22,25.798248291015625,26.11881828308105,25.603496551513672,-0.012273525876669633,0.0076064509044737605
33,33,33,33,2019-03-25,25.926477432250977,26.23904037475586,25.702072143554688,-0.01191213314361883,0.008731019329605516
