,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KO,KO_6m,KO_12m,KO_6m_ret,KO_12m_ret
0,0,0,0,2019-02-05,42.140621185302734,,,,
1,1,1,1,2019-02-06,42.140621185302734,,,,
2,2,2,2,2019-02-07,42.27749633789063,,,,
3,3,3,3,2019-02-08,42.34592819213867,,,,
4,4,4,4,2019-02-11,42.44004440307617,,,,
5,5,5,5,2019-02-12,42.482818603515625,,,,
6,6,6,6,2019-02-13,42.594017028808594,42.140621185302734,,0.01075911628146553,
7,7,7,7,2019-02-14,39.00104522705078,42.140621185302734,,-0.07450236541237631,
8,8,8,8,2019-02-15,38.70162582397461,42.27749633789063,,-0.08458094314140352,
9,9,9,9,2019-02-19,38.35087966918945,42.34592819213867,,-0.09434315632006574,
10,10,10,10,2019-02-20,38.58184814453125,42.44004440307617,,-0.09090933604832108,
11,11,11,11,2019-02-21,39.23201370239258,42.482818603515625,,-0.07652046187100281,
12,12,12,12,2019-02-22,38.73583984375,42.594017028808594,42.140621185302734,-0.0905802611303157,-0.0807957084111568
13,13,13,13,2019-02-25,38.44498443603516,39.00104522705078,42.140621185302734,-0.014257586887182705,-0.08769772835139145
14,14,14,14,2019-02-26,38.231101989746094,38.70162582397461,42.27749633789063,-0.012157727852793121,-0.09571035890595092
15,15,15,15,2019-02-27,38.44498443603516,38.35087966918945,42.34592819213867,0.002453783789510222,-0.09212087023818505
16,16,16,16,2019-02-28,38.78716659545898,38.58184814453125,42.44004440307617,0.005321633379473889,-0.08607148882606785
17,17,17,17,2019-03-01,38.82138442993164,39.23201370239258,42.482818603515625,-0.010466688648100075,-0.08618623466949027
18,18,18,18,2019-03-04,39.0523681640625,38.73583984375,42.594017028808594,0.008171458824419275,-0.08314897518002795
19,19,19,19,2019-03-05,39.00959396362305,38.44498443603516,39.00104522705078,0.014686168712781722,0.00021919249913682215
20,20,20,20,2019-03-06,38.88127136230469,38.231101989746094,38.70162582397461,0.017006294318509863,0.004641808567607875
21,21,21,21,2019-03-07,38.73583984375,38.44498443603516,38.35087966918945,0.007565496825698181,0.010037844708678634
22,22,22,22,2019-03-08,38.35943603515625,38.78716659545898,38.58184814453125,-0.011027630988462156,-0.005764682618153105
23,23,23,23,2019-03-11,39.50576400756836,38.82138442993164,39.23201370239258,0.01762893280820399,0.006977727609202233
24,24,24,24,2019-03-12,39.39455032348633,39.0523681640625,38.73583984375,0.00876213596026476,0.017005194217897257
25,25,25,25,2019-03-13,39.53997802734375,39.00959396362305,38.44498443603516,0.013596246713444282,0.028482092199320297
26,26,26,26,2019-03-14,39.43642807006836,38.88127136230469,38.231101989746094,0.014278255013592256,0.0315273695392182
27,27,27,27,2019-03-15,39.09125518798828,38.73583984375,38.44498443603516,0.00917536177534628,0.01681027477143049
28,28,28,28,2019-03-18,39.1861686706543,38.35943603515625,38.78716659545898,0.021552262518675924,0.010286961132191408
29,29,29,29,2019-03-19,39.315616607666016,39.50576400756836,38.82138442993164,-0.004813155869252794,0.012730926137536569
30,30,30,30,2019-03-20,39.28973007202149,39.39455032348633,39.0523681640625,-0.0026607805040065324,0.00607804133572154
31,31,31,31,2019-03-21,39.27246475219727,39.53997802734375,39.00959396362305,-0.0067656404604342635,0.0067386189361353654
32,32,32,32,2019-03-22,39.634910583496094,39.43642807006836,38.88127136230469,0.005032973906132776,0.019383091004633535
33,33,33,33,2019-03-25,39.72119903564453,39.09125518798828,38.73583984375,0.0161146999406101,0.025437919917812746
34,34,34,34,2019-03-26,40.24760055541992,39.1861686706543,38.35943603515625,0.0270869013423225,0.04922294786954584
35,35,35,35,2019-03-27,40.2217025756836,39.315616607666016,39.50576400756836,0.023046464641760522,0.018122382545951554
36,36,36,36,2019-03-28,40.19581604003906,39.28973007202149,39.39455032348633,0.023061649096510317,0.020339506606197544
37,37,37,37,2019-03-29,40.437442779541016,39.27246475219727,39.53997802734375,0.029663990653364003,0.02269765429754722
38,38,38,38,2019-04-01,40.3166389465332,39.634910583496094,39.43642807006836,0.017200199344488576,0.0223197414051024
39,39,39,39,2019-04-02,40.18718719482422,39.72119903564453,39.09125518798828,0.011731472626531847,0.028035221728380133
40,40,40,40,2019-04-03,39.85063934326172,40.24760055541992,39.1861686706543,-0.009862978331133032,0.01695676549019276
41,41,41,41,2019-04-04,40.10952377319336,40.2217025756836,39.315616607666016,-0.00278901178484825,0.02019317599542725
42,42,42,42,2019-04-05,40.10090255737305,40.19581604003906,39.28973007202149,-0.002361277665602568,0.0206459164739643
43,43,43,43,2019-04-08,40.16992950439453,40.437442779541016,39.27246475219727,-0.006615484480681166,0.02285226450288036
44,44,44,44,2019-04-09,40.27347183227539,40.3166389465332,39.634910583496094,-0.0010707022059814886,0.016111080847125425
45,45,45,45,2019-04-10,40.24760055541992,40.18718719482422,39.72119903564453,0.001503299056557994,0.013252407594821491
46,46,46,46,2019-04-11,40.3079948425293,39.85063934326172,40.24760055541992,0.011476741824091086,0.0015005686370350713
47,47,47,47,2019-04-12,40.33388900756836,40.10952377319336,40.2217025756836,0.005593814467698799,0.002789201468377911
48,48,48,48,2019-04-15,40.558250427246094,40.10090255737305,40.19581604003906,0.011404927089077699,0.009016719223861713
49,49,49,49,2019-04-16,40.51510238647461,40.16992950439453,40.437442779541016,0.008592817720586732,0.001920487587629749
50,50,50,50,2019-04-17,40.79988098144531,40.27347183227539,40.3166389465332,0.01307086588815154,0.01198616867722957
51,51,51,51,2019-04-18,40.972469329833984,40.24760055541992,40.18718719482422,0.018010235750971937,0.019540609577942902
52,52,52,52,2019-04-22,40.9034309387207,40.3079948425293,39.85063934326172,0.014772158687565318,0.026418436763097963
53,53,53,53,2019-04-23,41.60240173339844,40.33388900756836,40.10952377319336,0.031450295447385423,0.037220037032771325
54,54,54,54,2019-04-24,41.403934478759766,40.558250427246094,40.10090255737305,0.020851097929647455,0.03249383027033992
55,55,55,55,2019-04-25,41.28312683105469,40.51510238647461,40.16992950439453,0.018956497684588625,0.027712205134399648
56,56,56,56,2019-04-26,41.64555740356445,40.79988098144531,40.27347183227539,0.020727423751645935,0.03406921501586235
57,57,57,57,2019-04-29,41.78363037109375,40.972469329833984,40.24760055541992,0.019797709401642605,0.03816450656626724
58,58,58,58,2019-04-30,42.33590698242188,40.9034309387207,40.3079948425293,0.03502092638261178,0.0503104197520865
59,59,59,59,2019-05-01,41.93032836914063,41.60240173339844,40.33388900756836,0.007882396738622344,0.03958059589227103
60,60,60,60,2019-05-02,41.75774383544922,41.403934478759766,40.558250427246094,0.008545307617346287,0.029574584592962028
61,61,61,61,2019-05-03,42.042510986328125,41.28312683105469,40.51510238647461,0.018394540665030323,0.03769973441714458
62,62,62,62,2019-05-06,41.826778411865234,41.64555740356445,40.79988098144531,0.004351508770663592,0.02516912808855798
63,63,63,63,2019-05-07,41.42119598388672,41.78363037109375,40.972469329833984,-0.008674076043372336,0.010951906521435628
64,64,64,64,2019-05-08,41.291748046875,42.33590698242188,40.9034309387207,-0.024663672281319604,0.009493509450003268
65,65,65,65,2019-05-09,40.9034309387207,41.93032836914063,41.60240173339844,-0.024490564952877714,-0.016801212563566925
66,66,66,66,2019-05-10,41.58515930175781,41.75774383544922,41.403934478759766,-0.004132994693666681,0.004376995212641344
67,67,67,67,2019-05-13,41.4643440246582,42.042510986328125,41.28312683105469,-0.013751960767945937,0.004389618895514369
68,68,68,68,2019-05-14,42.01662063598633,41.826778411865234,41.64555740356445,0.004538772320730411,0.008910031598955426
69,69,69,69,2019-05-15,42.4394645690918,41.42119598388672,41.78363037109375,0.02458327339464539,0.015695960168452983
70,70,70,70,2019-05-16,42.78464889526367,41.291748046875,42.33590698242188,0.03615494424440224,0.010599558266889408
71,71,71,71,2019-05-17,42.45672607421875,40.9034309387207,41.93032836914063,0.03797469062742209,0.012554104047168169
72,72,72,72,2019-05-20,42.15469741821289,41.58515930175781,41.75774383544922,0.01369570601671355,0.009506107042753786
73,73,73,73,2019-05-21,41.9389533996582,41.4643440246582,42.042510986328125,0.011446204833670093,-0.0024631636940903867
74,74,74,74,2019-05-22,42.84505081176758,42.01662063598633,41.826778411865234,0.01971672550628023,0.024344987554993924
75,75,75,75,2019-05-23,43.01762771606445,42.4394645690918,41.42119598388672,0.013623243196940082,0.03854142050361764
76,76,76,76,2019-05-24,42.8105354309082,42.78464889526367,41.291748046875,0.0006050426102104378,0.036781862136450405
77,77,77,77,2019-05-28,42.37042999267578,42.45672607421875,40.9034309387207,-0.002032565614977333,0.03586493896203602
78,78,78,78,2019-05-29,41.94758605957031,42.15469741821289,41.58515930175781,-0.004913126444434979,0.008715290836872613
79,79,79,79,2019-05-30,42.49987411499024,41.9389533996582,41.4643440246582,0.013374695119039659,0.024973989452629963
80,80,80,80,2019-05-31,42.39632797241211,42.84505081176758,42.01662063598633,-0.010473154561698506,0.009037074630903863
81,81,81,81,2019-06-03,43.12981796264648,43.01762771606445,42.4394645690918,0.002608006357824433,0.01626677905963625
82,82,82,82,2019-06-04,43.14707946777344,42.8105354309082,42.78464889526367,0.007861243347642377,0.008471042345047364
83,83,83,83,2019-06-05,43.8201789855957,42.37042999267578,42.45672607421875,0.03421605570607911,0.032113943712793525
84,84,84,84,2019-06-06,44.355201721191406,41.94758605957031,42.15469741821289,0.05739580957535928,0.05220069026109986
85,85,85,85,2019-06-07,44.43285751342773,42.49987411499024,41.9389533996582,0.045482097034158064,0.05946510133440408
86,86,86,86,2019-06-10,44.337928771972656,42.39632797241211,42.84505081176758,0.04579643786188203,0.03484365012808088
87,87,87,87,2019-06-11,44.2947883605957,43.12981796264648,43.01762771606445,0.02701078866036899,0.029689239326749606
