,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DUK,DUK_6m,DUK_12m,DUK_6m_ret,DUK_12m_ret
0,0,0,0,2019-02-05,72.03887176513672,,,,
1,1,1,1,2019-02-06,72.00631713867188,,,,
2,2,2,2,2019-02-07,72.8365707397461,,,,
3,3,3,3,2019-02-08,73.50405883789062,,,,
4,4,4,4,2019-02-11,73.39822387695312,,,,
5,5,5,5,2019-02-12,73.44707489013672,,,,
6,6,6,6,2019-02-13,72.9261245727539,72.03887176513672,,0.012316306264620991,
7,7,7,7,2019-02-14,72.23355102539062,72.00631713867188,,0.003155749325175705,
8,8,8,8,2019-02-15,71.97857666015625,72.8365707397461,,-0.011779715476385677,
9,9,9,9,2019-02-19,72.33226013183594,73.50405883789062,,-0.01594195918675767,
10,10,10,10,2019-02-20,73.08074951171875,73.39822387695312,,-0.0043253684961995775,
11,11,11,11,2019-02-21,73.68942260742188,73.44707489013672,,0.0032996238127613875,
12,12,12,12,2019-02-22,73.95262908935547,72.9261245727539,72.03887176513672,0.014075950458295461,0.026565620439726434
13,13,13,13,2019-02-25,73.59893798828125,72.23355102539062,72.00631713867188,0.018902392911718913,0.022117793450569856
14,14,14,14,2019-02-26,73.10543823242188,71.97857666015625,72.8365707397461,0.015655513411803712,0.003691380441790404
15,15,15,15,2019-02-27,73.43443298339844,72.33226013183594,73.50405883789062,0.01523763877353801,-0.0009472382286499492
16,16,16,16,2019-02-28,73.74700927734375,73.08074951171875,73.39822387695312,0.00911676152853591,0.004751959679233364
17,17,17,17,2019-03-01,73.64006805419922,73.68942260742188,73.44707489013672,-0.0006697644176911766,0.002627649424448597
18,18,18,18,2019-03-04,73.92793273925781,73.95262908935547,72.9261245727539,-0.00033394823688848163,0.013737301582568806
19,19,19,19,2019-03-05,73.64006805419922,73.59893798828125,72.23355102539062,0.0005588404811562864,0.01947179681522493
20,20,20,20,2019-03-06,73.6729736328125,73.10543823242188,71.97857666015625,0.007763244624651167,0.02354029561679538
21,21,21,21,2019-03-07,73.6811752319336,73.43443298339844,72.33226013183594,0.0033600347753885984,0.018648872545100392
22,22,22,22,2019-03-08,74.19114685058594,73.74700927734375,73.08074951171875,0.00602244860631429,0.015194115362611837
23,23,23,23,2019-03-11,74.32275390625,73.64006805419922,73.68942260742188,0.009270576061232383,0.008594602541563967
24,24,24,24,2019-03-12,74.44612884521484,73.92793273925781,73.95262908935547,0.0070094764827890454,0.006673187443587469
25,25,25,25,2019-03-13,74.48725891113281,73.64006805419922,73.59893798828125,0.011504482265144889,0.012069751916705673
26,26,26,26,2019-03-14,74.32275390625,73.6729736328125,73.10543823242188,0.008819791592450388,0.016651506416772266
27,27,27,27,2019-03-15,74.56127166748047,73.6811752319336,73.43443298339844,0.011944657950643478,0.015344827192126376
28,28,28,28,2019-03-18,74.07600402832031,74.19114685058594,73.74700927734375,-0.0015519752309195445,0.004461126684328187
