,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WYNN,WYNN_6m,WYNN_12m,WYNN_6m_ret,WYNN_12m_ret
0,0,0,0,2019-02-05,121.22151184082033,,,,
1,1,1,1,2019-02-06,125.24222564697266,,,,
2,2,2,2,2019-02-07,120.8880386352539,,,,
3,3,3,3,2019-02-08,119.2968978881836,,,,
4,4,4,4,2019-02-11,119.0968246459961,,,,
5,5,5,5,2019-02-12,120.1734619140625,,,,
6,6,6,6,2019-02-13,121.5264129638672,121.22151184082033,,0.00251523940278231,
7,7,7,7,2019-02-14,118.29655456542967,125.24222564697266,,-0.05545790204272749,
8,8,8,8,2019-02-15,119.3316421508789,120.8880386352539,,-0.012874693823687555,
9,9,9,9,2019-02-19,123.02152252197266,119.2968978881836,,0.031221470966329212,
10,10,10,10,2019-02-20,123.80740356445312,119.0968246459961,,0.03955251479171484,
11,11,11,11,2019-02-21,124.23870086669922,120.1734619140625,,0.03382809222508554,
12,12,12,12,2019-02-22,126.27054595947266,121.5264129638672,121.22151184082033,0.03903787563462435,0.0416513046404039
13,13,13,13,2019-02-25,123.82659149169922,118.29655456542967,125.24222564697266,0.046747235763412665,-0.011303169901050514
14,14,14,14,2019-02-26,125.02458953857422,119.3316421508789,120.8880386352539,0.04770693912430479,0.034218033066126585
15,15,15,15,2019-02-27,122.39855194091795,123.02152252197266,119.2968978881836,-0.0050639153888168975,0.0259994526902243
16,16,16,16,2019-02-28,121.27721405029295,123.80740356445312,119.0968246459961,-0.02043649605205533,0.01830770392726966
17,17,17,17,2019-03-01,119.91627502441406,124.23870086669922,120.1734619140625,-0.034791299427083255,-0.002140130487647607
18,18,18,18,2019-03-04,120.34754943847656,126.27054595947266,121.5264129638672,-0.04690719023973422,-0.009700471664058297
19,19,19,19,2019-03-05,118.97703552246094,123.82659149169922,118.29655456542967,-0.03916409158014633,0.005752331160709279
20,20,20,20,2019-03-06,118.41156768798828,125.02458953857422,119.3316421508789,-0.052893769737557106,-0.007710230466176915
21,21,21,21,2019-03-07,113.7345199584961,122.39855194091795,123.02152252197266,-0.07078541245001013,-0.07549087649941766
22,22,22,22,2019-03-08,114.6162567138672,121.27721405029295,123.80740356445312,-0.054923403283847594,-0.07423745742152721
23,23,23,23,2019-03-11,114.40541076660156,119.91627502441406,124.23870086669922,-0.04595593264292552,-0.07914836545697779
24,24,24,24,2019-03-12,112.46942138671876,120.34754943847656,126.27054595947266,-0.06546147460846485,-0.10929805100536627
25,25,25,25,2019-03-13,112.12439727783205,118.97703552246094,123.82659149169922,-0.057596310200006884,-0.09450469461280164
26,26,26,26,2019-03-14,110.83055114746094,118.41156768798828,125.02458953857422,-0.06402260090418821,-0.11352997393151965
27,27,27,27,2019-03-15,110.97429656982422,113.7345199584961,122.39855194091795,-0.024269002846973198,-0.0933365239207099
28,28,28,28,2019-03-18,111.3193359375,114.6162567138672,121.27721405029295,-0.02876486172984838,-0.08210840091250349
29,29,29,29,2019-03-19,112.9198760986328,114.40541076660156,119.91627502441406,-0.012984828759536549,-0.05834403148660883
30,30,30,30,2019-03-20,113.22657012939452,112.46942138671876,120.34754943847656,0.006732040881337387,-0.05917012305034419
31,31,31,31,2019-03-21,116.10179138183594,112.12439727783205,118.97703552246094,0.0354730477984051,-0.02416637906633845
32,32,32,32,2019-03-22,112.04773712158205,110.83055114746094,118.41156768798828,0.010982404774849686,-0.053743318247206906
33,33,33,33,2019-03-25,111.60685729980467,110.97429656982422,113.7345199584961,0.005700065236119434,-0.018707272510297135
34,34,34,34,2019-03-26,112.47900390625,111.3193359375,114.6162567138672,0.010417489100016608,-0.018647030263365894
35,35,35,35,2019-03-27,111.7122802734375,112.9198760986328,114.40541076660156,-0.0106942716102566,-0.023540237084226034
36,36,36,36,2019-03-28,112.72820281982422,113.22657012939452,112.46942138671876,-0.004401504955954816,0.0023009048140796295
37,37,37,37,2019-03-29,114.35749816894533,116.10179138183594,112.12439727783205,-0.015023826868906576,0.019916280000862763
38,38,38,38,2019-04-01,123.96075439453124,112.04773712158205,110.83055114746094,0.10632090909629421,0.11847097313086952
39,39,39,39,2019-04-02,129.4141082763672,111.60685729980467,110.97429656982422,0.15955337698227323,0.1661629068758348
40,40,40,40,2019-04-03,131.90599060058594,112.47900390625,111.3193359375,0.17271656059941742,0.18493332258687079
41,41,41,41,2019-04-04,133.86114501953125,111.7122802734375,112.9198760986328,0.19826705436394376,0.18545246102295354
42,42,42,42,2019-04-05,135.07830810546875,112.72820281982422,113.22657012939452,0.1982654271652602,0.19299125594904298
43,43,43,43,2019-04-08,138.82571411132812,114.35749816894533,116.10179138183594,0.21396249773001186,0.19572413533877087
44,44,44,44,2019-04-09,133.4681854248047,123.96075439453124,112.04773712158205,0.07669710527909546,0.19117252033371712
45,45,45,45,2019-04-10,135.1358184814453,129.4141082763672,111.60685729980467,0.04421241456039149,0.21082003159031526
46,46,46,46,2019-04-11,135.15499877929688,131.90599060058594,112.47900390625,0.024631240506346685,0.20160202424931728
47,47,47,47,2019-04-12,137.8002166748047,133.86114501953125,111.7122802734375,0.029426549837883842,0.23352791955827867
48,48,48,48,2019-04-15,135.92172241210938,135.07830810546875,112.72820281982422,0.006243891550537395,0.20574726654123832
49,49,49,49,2019-04-16,138.7010955810547,138.82571411132812,114.35749816894533,-0.0008976617269441656,0.2128727700578541
50,50,50,50,2019-04-17,137.39767456054688,133.4681854248047,123.96075439453124,0.029441391768647573,0.10839656657178609
51,51,51,51,2019-04-18,136.5159454345703,135.1358184814453,129.4141082763672,0.010212887808974891,0.05487683879903549
52,52,52,52,2019-04-22,134.17739868164062,135.15499877929688,131.90599060058594,-0.007233177510900912,0.017219900860549586
53,53,53,53,2019-04-23,136.95680236816406,137.8002166748047,133.86114501953125,-0.006120558639113094,0.023125884274941333
54,54,54,54,2019-04-24,138.3944091796875,135.92172241210938,135.07830810546875,0.018191991123251317,0.02454947149345066
55,55,55,55,2019-04-25,140.88629150390625,138.7010955810547,138.82571411132812,0.01575471277784235,0.014842908648218467
56,56,56,56,2019-04-26,143.0906219482422,137.39767456054688,133.4681854248047,0.041434088356325116,0.07209535735284822
57,57,57,57,2019-04-29,142.58267211914062,136.5159454345703,135.1358184814453,0.044439692852422,0.055106438258764046
58,58,58,58,2019-04-30,138.44232177734375,134.17739868164062,135.15499877929688,0.03178570413205284,0.02432261498085575
59,59,59,59,2019-05-01,140.06207275390625,136.95680236816406,137.8002166748047,0.022673356357975294,0.016414024111727876
60,60,60,60,2019-05-02,139.50619506835938,138.3944091796875,135.92172241210938,0.008033459554195987,0.02637159530234623
61,61,61,61,2019-05-03,141.2313232421875,140.88629150390625,138.7010955810547,0.0024490085912416415,0.018242304796029396
62,62,62,62,2019-05-06,135.48086547851562,143.0906219482422,137.39767456054688,-0.053181378109315336,-0.013950811672482688
63,63,63,63,2019-05-07,130.05624389648438,142.58267211914062,136.5159454345703,-0.08785379062183163,-0.0473182932405648
64,64,64,64,2019-05-08,130.30545043945312,138.44232177734375,134.17739868164062,-0.05877445013510485,-0.028856933285570485
65,65,65,65,2019-05-09,130.6600341796875,140.06207275390625,136.95680236816406,-0.06712765554125744,-0.04597630843884437
66,66,66,66,2019-05-10,124.4878921508789,139.50619506835938,138.3944091796875,-0.1076533046444379,-0.1004846735589785
67,67,67,67,2019-05-13,116.80144500732422,141.2313232421875,140.88629150390625,-0.17297776211421756,-0.17095237754848736
68,68,68,68,2019-05-14,118.1911392211914,135.48086547851562,143.0906219482422,-0.12761747717109173,-0.17401198197361434
69,69,69,69,2019-05-15,120.0408706665039,130.05624389648438,142.58267211914062,-0.0770080153779622,-0.15809635994057547
