,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EXPE,EXPE_6m,EXPE_12m,EXPE_6m_ret,EXPE_12m_ret
697,697,697,697,2021-11-09,188.0,167.22999572753906,161.6699981689453,0.12420023203433339,0.16286263455968997
698,698,698,698,2021-11-10,185.6699981689453,159.83999633789062,161.44000244140625,0.16159911425705897,0.15008669078986925
699,699,699,699,2021-11-11,182.5800018310547,162.25,162.75,0.12530047353500584,0.12184332922307028
700,700,700,700,2021-11-12,178.91000366210938,157.5500030517578,164.13999938964844,0.13557600886452814,0.08998418622750659
701,701,701,701,2021-11-15,177.61000061035156,182.1699981689453,164.25999450683594,-0.025031550773606415,0.08127363052456471
702,702,702,702,2021-11-16,175.49000549316406,188.42999267578125,164.41000366210938,-0.06867265130600597,0.06739250400982888
703,703,703,703,2021-11-17,177.58999633789062,188.0,167.22999572753906,-0.05537235990483713,0.06195061218102693
704,704,704,704,2021-11-18,176.5800018310547,185.6699981689453,159.83999633789062,-0.04895780916429715,0.10472976649584531
705,705,705,705,2021-11-19,175.16000366210938,182.5800018310547,162.25,-0.040639709138633906,0.07956858959697621
706,706,706,706,2021-11-22,173.24000549316406,178.91000366210938,157.5500030517578,-0.03169190125138954,0.09958744612814652
707,707,707,707,2021-11-23,177.97000122070312,177.61000061035156,182.1699981689453,0.002026916328553785,-0.02305537130404478
708,708,708,708,2021-11-24,176.5399932861328,175.49000549316406,188.42999267578125,0.005983177161674069,-0.0631003547832577
709,709,709,709,2021-11-26,159.8000030517578,177.58999633789062,188.0,-0.100174523638622,-0.14999998376724566
710,710,710,710,2021-11-29,166.5,176.5800018310547,185.6699981689453,-0.057084617320928954,-0.10324768868421108
711,711,711,711,2021-11-30,161.08999633789062,175.16000366210938,182.5800018310547,-0.0803265987100591,-0.11770185824102053
712,712,712,712,2021-12-01,155.66000366210938,173.24000549316406,178.91000366210938,-0.10147772612341777,-0.12995360529928834
713,713,713,713,2021-12-02,161.27999877929688,177.97000122070312,177.61000061035156,-0.09377986361144508,-0.0919430312197349
714,714,714,714,2021-12-03,155.5800018310547,176.5399932861328,175.49000549316406,-0.11872659030357247,-0.11345377536548618
715,715,715,715,2021-12-06,166.07000732421875,159.8000030517578,177.58999633789062,0.039236571669089004,-0.06486845684569664
716,716,716,716,2021-12-07,166.57000732421875,166.5,176.5800018310547,0.0004204644097223209,-0.056688154961132775
717,717,717,717,2021-12-08,172.38999938964844,161.08999633789062,175.16000366210938,0.07014714326553051,-0.01581413687227584
718,718,718,718,2021-12-09,169.75,155.66000366210938,173.24000549316406,0.09051776953876822,-0.020145494011207354
719,719,719,719,2021-12-10,166.9499969482422,161.27999877929688,177.97000122070312,0.035156238912826376,-0.06192057198895484
720,720,720,720,2021-12-13,161.0,155.5800018310547,176.5399932861328,0.0348373705177798,-0.08802534200251089
721,721,721,721,2021-12-14,158.25999450683594,166.07000732421875,159.8000030517578,-0.04702843664079159,-0.00963709959644421
722,722,722,722,2021-12-15,157.6300048828125,166.57000732421875,166.5,-0.053671141551942525,-0.05327324394707211
723,723,723,723,2021-12-16,154.42999267578125,172.38999938964844,161.08999633789062,-0.10418241648271409,-0.04134337211194561
724,724,724,724,2021-12-17,159.30999755859375,169.75,155.66000366210938,-0.061502223513438925,0.023448501931218058
725,725,725,725,2021-12-20,162.42999267578125,166.9499969482422,161.27999877929688,-0.027074000329944448,0.007130418558956464
726,726,726,726,2021-12-21,177.27000427246094,161.0,155.5800018310547,0.10105592715814238,0.13941382045334816
727,727,727,727,2021-12-22,182.4199981689453,158.25999450683594,166.07000732421875,0.15266020789016133,0.09845240033503733
728,728,728,728,2021-12-23,183.77999877929688,157.6300048828125,166.57000732421875,0.16589477311711787,0.10331986971447926
729,729,729,729,2021-12-27,182.25,154.42999267578125,172.38999938964844,0.18014640059347542,0.057195896776269795
730,730,730,730,2021-12-28,180.8000030517578,159.30999755859375,169.75,0.1348942679210079,0.06509574699120946
731,731,731,731,2021-12-29,180.97000122070312,162.42999267578125,166.9499969482422,0.11414153408187788,0.08397726582054044
732,732,732,732,2021-12-30,181.47000122070312,177.27000427246094,161.0,0.023692654408621117,0.12714286472486402
733,733,733,733,2021-12-31,180.72000122070312,182.4199981689453,158.25999450683594,-0.009319136965826313,0.14191840953777524
734,734,734,734,2022-01-03,184.97000122070312,183.77999877929688,157.6300048828125,0.006475146638973195,0.17344411273866367
735,735,735,735,2022-01-04,185.3699951171875,182.25,154.42999267578125,0.017119314771947947,0.20034969830221638
736,736,736,736,2022-01-05,181.3000030517578,180.8000030517578,159.30999755859375,0.0027654866789845745,0.1380328029009994
737,737,737,737,2022-01-06,177.5800018310547,180.97000122070312,162.42999267578125,-0.018732383084388293,0.09327100805522814
738,738,738,738,2022-01-07,179.91000366210938,181.47000122070312,177.27000427246094,-0.008596448713837246,0.014892533006265474
739,739,739,739,2022-01-10,180.57000732421875,180.72000122070312,182.4199981689453,-0.0008299795012793876,-0.01014138177445445
740,740,740,740,2022-01-11,182.47000122070312,184.97000122070312,183.77999877929688,-0.013515705160303537,-0.007128074694172426
741,741,741,741,2022-01-12,181.25,185.3699951171875,182.25,-0.02222579287755233,-0.005486968449931462
742,742,742,742,2022-01-13,185.0599975585937,181.3000030517578,180.8000030517578,0.02073907580554457,0.02356191612240388
743,743,743,743,2022-01-14,184.3999938964844,177.5800018310547,180.97000122070312,0.038405180736049926,0.018953377093688717
744,744,744,744,2022-01-18,177.55999755859375,179.91000366210938,181.47000122070312,-0.013062120258355403,-0.02154628112529766
745,745,745,745,2022-01-19,176.4600067138672,180.57000732421875,180.72000122070312,-0.022761258479498947,-0.02357234660281704
746,746,746,746,2022-01-20,177.5,182.47000122070312,184.97000122070312,-0.02723736059327231,-0.04038493361845219
747,747,747,747,2022-01-21,174.4199981689453,181.25,185.3699951171875,-0.03768276872306031,-0.0590710321879212
748,748,748,748,2022-01-24,171.35000610351562,185.0599975585937,181.3000030517578,-0.07408403564220956,-0.05488139426782934
749,749,749,749,2022-01-25,174.1999969482422,184.3999938964844,177.5800018310547,-0.05531451890377026,-0.019033702263547392
750,750,750,750,2022-01-26,177.10000610351562,177.55999755859375,179.91000366210938,-0.0025906254866123746,-0.015618906683317224
751,751,751,751,2022-01-27,171.22999572753906,176.4600067138672,180.57000732421875,-0.029638506105288065,-0.0517251548863783
752,752,752,752,2022-01-28,174.36000061035156,177.5,182.47000122070312,-0.017690137406470074,-0.04444566534825778
753,753,753,753,2022-01-31,183.2899932861328,174.4199981689453,181.25,0.05085423237188613,0.011255135371767144
754,754,754,754,2022-02-01,188.0599975585937,171.35000610351562,185.0599975585937,0.09751964318567485,0.016210958821882393
755,755,755,755,2022-02-02,185.3300018310547,174.1999969482422,184.3999938964844,0.06389210722041172,0.005043427143996304
756,756,756,756,2022-02-03,183.6600036621093,177.10000610351562,177.55999755859375,0.03704120458787186,0.03435461921259919
757,757,757,757,2022-02-04,185.3099975585937,171.22999572753906,176.4600067138672,0.08222859418544104,0.05015295538935871
758,758,758,758,2022-02-07,187.3500061035156,174.36000061035156,177.5,0.07450106359080166,0.055492992132482266
759,759,759,759,2022-02-08,193.8999938964844,183.2899932861328,174.4199981689453,0.05788641496531888,0.11168441653502681
760,760,760,760,2022-02-09,196.9499969482422,188.0599975585937,171.35000610351562,0.04727214455524309,0.1494017504105669
761,761,761,761,2022-02-10,197.5200042724609,185.3300018310547,174.1999969482422,0.06577457681416599,0.13386916034876561
762,762,762,762,2022-02-11,192.1199951171875,183.6600036621093,177.10000610351562,0.046063330536803004,0.08481077637508738
763,763,763,763,2022-02-14,197.1699981689453,185.3099975585937,171.22999572753906,0.06400086755492818,0.15149216310605973
764,764,764,764,2022-02-15,211.92999267578125,187.3500061035156,174.36000061035156,0.13119821602079162,0.215473686246358
765,765,765,765,2022-02-16,213.8000030517578,193.8999938964844,183.2899932861328,0.10263027221082455,0.16645758570134284
766,766,766,766,2022-02-17,209.3099975585937,196.9499969482422,188.0599975585937,0.06275704900670642,0.11299585385445488
767,767,767,767,2022-02-18,209.1699981689453,197.5200042724609,185.3300018310547,0.058981336798749284,0.12863538608078673
768,768,768,768,2022-02-22,204.67999267578125,192.1199951171875,183.6600036621093,0.06537579574126329,0.11445055316640262
769,769,769,769,2022-02-23,198.6300048828125,197.1699981689453,185.3099975585937,0.007404811723009663,0.07187959365229135
770,770,770,770,2022-02-24,193.7400054931641,211.92999267578125,187.3500061035156,-0.0858301694486675,0.03410728145969677
771,771,771,771,2022-02-25,199.92999267578125,213.8000030517578,193.8999938964844,-0.06487376135639644,0.031098499067081065
