,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WEC,WEC_6m,WEC_12m,WEC_6m_ret,WEC_12m_ret
0,0,0,0,2019-02-05,62.81199645996094,,,,
1,1,1,1,2019-02-06,62.92381286621094,,,,
2,2,2,2,2019-02-07,63.6376838684082,,,,
3,3,3,3,2019-02-08,64.26555633544922,,,,
4,4,4,4,2019-02-11,64.53216552734375,,,,
5,5,5,5,2019-02-12,64.540771484375,,,,
6,6,6,6,2019-02-13,64.30668640136719,62.81199645996094,,0.023796249532667346,
7,7,7,7,2019-02-14,64.38472747802734,62.92381286621094,,0.023217197834508374,
8,8,8,8,2019-02-15,64.55811309814453,63.6376838684082,,0.014463587826980318,
9,9,9,9,2019-02-19,64.93953704833984,64.26555633544922,,0.010487432947325903,
10,10,10,10,2019-02-20,65.10425567626953,64.53216552734375,,0.008865193725497544,
11,11,11,11,2019-02-21,65.64173889160156,64.540771484375,,0.01705847918928427,
12,12,12,12,2019-02-22,66.43928527832031,64.30668640136719,62.81199645996094,0.03316294146525611,0.057748344628268056
13,13,13,13,2019-02-25,65.46835327148438,64.38472747802734,62.92381286621094,0.016830478840293983,0.04043843323168694
14,14,14,14,2019-02-26,65.31230163574219,64.55811309814453,63.6376838684082,0.011682320027710524,0.02631487611643446
15,15,15,15,2019-02-27,65.53770446777344,64.93953704833984,64.26555633544922,0.009211143882783324,0.01979517808394804
16,16,16,16,2019-02-28,66.127197265625,65.10425567626953,64.53216552734375,0.01571236133075593,0.02471684818333575
17,17,17,17,2019-03-01,65.91048431396484,65.64173889160156,64.540771484375,0.004094124057363535,0.02122244277667873
18,18,18,18,2019-03-04,66.10987854003906,66.43928527832031,64.30668640136719,-0.004958011467181445,0.028040507754004462
19,19,19,19,2019-03-05,66.10118865966797,65.46835327148438,64.38472747802734,0.009666279302296577,0.026659446251852348
20,20,20,20,2019-03-06,66.32657623291016,65.31230163574219,64.55811309814453,0.015529610376078251,0.027393352282107708
21,21,21,21,2019-03-07,66.60398864746094,65.53770446777344,64.93953704833984,0.016269782232177787,0.025630789420043154
22,22,22,22,2019-03-08,66.75135803222656,66.127197265625,65.10425567626953,0.009438790579530787,0.0252994575983978
23,23,23,23,2019-03-11,66.88141632080078,65.91048431396484,65.64173889160156,0.014731070738471574,0.01888550562693614
24,24,24,24,2019-03-12,67.2541732788086,66.10987854003906,66.43928527832031,0.01730898262165903,0.012265153020154296
25,25,25,25,2019-03-13,67.44490051269531,66.10118865966797,65.46835327148438,0.02032810423342979,0.03019088066893305
26,26,26,26,2019-03-14,67.2888412475586,66.32657623291016,65.31230163574219,0.014507985626596831,0.030262899366797713
27,27,27,27,2019-03-15,68.38113403320312,66.60398864746094,65.53770446777344,0.026682266660465803,0.043386163560670266
28,28,28,28,2019-03-18,67.95635223388672,66.75135803222656,66.127197265625,0.018051980321934558,0.027661159763269882
29,29,29,29,2019-03-19,67.2801742553711,66.88141632080078,65.91048431396484,0.005962163430535794,0.020781063220256746
30,30,30,30,2019-03-20,67.39286041259766,67.2541732788086,66.10987854003906,0.002062134244281255,0.019406810311738187
31,31,31,31,2019-03-21,68.28577423095703,67.44490051269531,66.10118865966797,0.012467565551578463,0.03304911175707792
32,32,32,32,2019-03-22,68.7712631225586,67.2888412475586,66.32657623291016,0.02203072377998172,0.036858330830521924
33,33,33,33,2019-03-25,68.95329284667969,68.38113403320312,66.60398864746094,0.008367202760906967,0.03527272535664139
34,34,34,34,2019-03-26,69.26538848876953,67.95635223388672,66.75135803222656,0.01926289760782729,0.03766261137832183
35,35,35,35,2019-03-27,68.84061431884766,67.2801742553711,66.88141632080078,0.023193163227456903,0.029293608087625822
36,36,36,36,2019-03-28,68.01703643798828,67.39286041259766,67.2541732788086,0.009261752974561999,0.011342986196814397
37,37,37,37,2019-03-29,68.55451965332031,68.28577423095703,67.44490051269531,0.003935598964644127,0.016452231854299004
38,38,38,38,2019-04-01,67.71363067626953,68.7712631225586,67.2888412475586,-0.015378988232399249,0.0063129253058187285
39,39,39,39,2019-04-02,67.83499145507812,68.95329284667969,68.38113403320312,-0.016218244922518,-0.007986743505303928
40,40,40,40,2019-04-03,67.54025268554688,69.26538848876953,67.95635223388672,-0.02490617378840465,-0.0061230412560659975
41,41,41,41,2019-04-04,67.15879821777344,68.84061431884766,67.2801742553711,-0.024430579501870553,-0.001804038692541976
42,42,42,42,2019-04-05,67.8089828491211,68.01703643798828,67.39286041259766,-0.003058845250584752,0.006174577454879149
43,43,43,43,2019-04-08,66.88141632080078,68.55451965332031,68.28577423095703,-0.024405441697796126,-0.020565892764229488
44,44,44,44,2019-04-09,67.15879821777344,67.71363067626953,68.7712631225586,-0.008193807553292798,-0.02344678331575145
