,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CINF,CINF_6m,CINF_12m,CINF_6m_ret,CINF_12m_ret
0,0,0,0,2019-02-05,72.4979476928711,,,,
1,1,1,1,2019-02-06,71.85708618164062,,,,
2,2,2,2,2019-02-07,74.0079574584961,,,,
3,3,3,3,2019-02-08,73.76215362548828,,,,
4,4,4,4,2019-02-11,73.79724884033203,,,,
5,5,5,5,2019-02-12,74.3766860961914,,,,
6,6,6,6,2019-02-13,74.18356323242188,72.4979476928711,,0.023250527679648192,
7,7,7,7,2019-02-14,73.73580932617188,71.85708618164062,,0.02614527312980952,
8,8,8,8,2019-02-15,75.04389953613281,74.0079574584961,,0.013997712046271316,
9,9,9,9,2019-02-19,75.15802764892578,73.76215362548828,,0.018923986825611916,
10,10,10,10,2019-02-20,75.45651245117188,73.79724884033203,,0.022484084934247806,
11,11,11,11,2019-02-21,75.0965805053711,74.3766860961914,,0.009679033134773585,
12,12,12,12,2019-02-22,75.60575866699219,74.18356323242188,72.4979476928711,0.019171301196660995,0.04286757174543698
13,13,13,13,2019-02-25,75.37751007080078,73.73580932617188,71.85708618164062,0.022264633149502888,0.04899202119414103
14,14,14,14,2019-02-26,75.15802764892578,75.04389953613281,74.0079574584961,0.0015208179945129796,0.015539818013146078
15,15,15,15,2019-02-27,75.49163818359375,75.15802764892578,73.76215362548828,0.004438787779614373,0.023446774166689277
16,16,16,16,2019-02-28,76.2203140258789,75.45651245117188,73.79724884033203,0.010122407594722604,0.032834085601069374
17,17,17,17,2019-03-01,76.36954498291016,75.0965805053711,74.3766860961914,0.01695103117841712,0.02679413390563523
18,18,18,18,2019-03-04,75.32483673095703,75.60575866699219,74.18356323242188,-0.0037156155957972503,0.015384452415145855
19,19,19,19,2019-03-05,75.1141357421875,75.37751007080078,73.73580932617188,-0.003494070424532425,0.018692768528769665
20,20,20,20,2019-03-06,74.41179656982422,75.15802764892578,75.04389953613281,-0.009928827331490364,-0.008423109276247565
21,21,21,21,2019-03-07,74.26255798339844,75.49163818359375,75.15802764892578,-0.016281011112862842,-0.011914491286416085
22,22,22,22,2019-03-08,74.1747817993164,76.2203140258789,75.45651245117188,-0.026837100485678778,-0.01698634896073259
23,23,23,23,2019-03-11,75.0175552368164,76.36954498291016,75.0965805053711,-0.0177032578418046,-0.0010523151390233743
24,24,24,24,2019-03-12,75.228271484375,75.32483673095703,75.60575866699219,-0.0012819841472333504,-0.004992836382739618
25,25,25,25,2019-03-13,74.6576156616211,75.1141357421875,75.37751007080078,-0.006077685325879378,-0.009550519889865106
26,26,26,26,2019-03-14,74.9034423828125,74.41179656982422,75.15802764892578,0.006607095052824752,-0.003387332984607916
27,27,27,27,2019-03-15,75.16680145263672,74.26255798339844,75.49163818359375,0.012176303830530921,-0.004302949820310431
28,28,28,28,2019-03-18,75.43016052246094,74.1747817993164,76.2203140258789,0.016924602846032144,-0.01036670490690561
29,29,29,29,2019-03-19,74.74091339111328,75.0175552368164,76.36954498291016,-0.0036876947646430347,-0.021325668395187236
30,30,30,30,2019-03-20,74.25489044189453,75.228271484375,75.32483673095703,-0.012939032404627793,-0.014204428917438006
31,31,31,31,2019-03-21,75.03253936767578,74.6576156616211,75.1141357421875,0.005021908384457374,-0.001086298520318163
32,32,32,32,2019-03-22,74.7939224243164,74.9034423828125,74.41179656982422,-0.0014621485343272456,0.005135285964149805
33,33,33,33,2019-03-25,74.81159973144531,75.16680145263672,74.26255798339844,-0.004725513316077734,0.007393251228561493
34,34,34,34,2019-03-26,75.14739990234375,75.43016052246094,74.1747817993164,-0.003748641367838368,0.013112517211830932
35,35,35,35,2019-03-27,75.43901824951172,74.74091339111328,75.0175552368164,0.009340330840557298,0.005618191786773474
36,36,36,36,2019-03-28,75.50086975097656,74.25489044189453,75.228271484375,0.016779760924393594,0.003623614649423068
37,37,37,37,2019-03-29,75.90736389160156,75.03253936767578,74.6576156616211,0.011659268516009513,0.016739728678784038
38,38,38,38,2019-04-01,76.2696533203125,74.7939224243164,74.9034423828125,0.01973062580705509,0.018239628167122657
39,39,39,39,2019-04-02,75.5715560913086,74.81159973144531,75.16680145263672,0.010158269073129444,0.005384752721278252
40,40,40,40,2019-04-03,75.5273666381836,75.14739990234375,75.43016052246094,0.005056285863963561,0.0012886902937678801
41,41,41,41,2019-04-04,75.68646240234375,75.43901824951172,74.74091339111328,0.003280055315852959,0.012651022958235503
42,42,42,42,2019-04-05,76.19014739990234,75.50086975097656,74.25489044189453,0.009129400114187058,0.02606235018987979
43,43,43,43,2019-04-08,75.69530487060547,75.90736389160156,75.03253936767578,-0.002793655452176136,0.008833041084775228
44,44,44,44,2019-04-09,75.18274688720703,76.2696533203125,74.7939224243164,-0.014250837466649346,0.005198610398914116
45,45,45,45,2019-04-10,76.03990936279297,75.5715560913086,74.81159973144531,0.00619748084740368,0.016418705598556516
46,46,46,46,2019-04-11,76.76451873779297,75.5273666381836,75.14739990234375,0.016380183166400997,0.021519291918958183
47,47,47,47,2019-04-12,77.31240844726562,75.68646240234375,75.43901824951172,0.021482653480069613,0.024833173087668525
48,48,48,48,2019-04-15,76.9942855834961,76.19014739990234,75.50086975097656,0.01055435920569936,0.019780114288024064
49,49,49,49,2019-04-16,77.51566314697266,75.69530487060547,75.90736389160156,0.024048496528007002,0.02118765786238863
50,50,50,50,2019-04-17,76.41106414794922,75.18274688720703,76.2696533203125,0.016337754492862233,0.0018540903423649446
51,51,51,51,2019-04-18,76.52593994140625,76.03990936279297,75.5715560913086,0.00639178271891927,0.012628876517304155
52,52,52,52,2019-04-22,75.96923828125,76.76451873779297,75.5273666381836,-0.010360000552591675,0.005850483907153814
53,53,53,53,2019-04-23,76.84406280517578,77.31240844726562,75.68646240234375,-0.006057832778671002,0.015294682378974356
54,54,54,54,2019-04-24,77.4891357421875,76.9942855834961,76.19014739990234,0.0064271024133961685,0.017049295566618383
55,55,55,55,2019-04-25,82.68511962890625,77.51566314697266,75.69530487060547,0.06668918605691476,0.09234145724426712
56,56,56,56,2019-04-26,83.23299407958984,76.41106414794922,75.18274688720703,0.08927934727399967,0.10707572582390745
57,57,57,57,2019-04-29,83.93993377685547,76.52593994140625,76.03990936279297,0.09688210090756022,0.10389313296483293
58,58,58,58,2019-04-30,84.99150848388672,75.96923828125,76.76451873779297,0.11876215171771065,0.10717177520769638
59,59,59,59,2019-05-01,84.1431884765625,76.84406280517578,77.31240844726562,0.09498620199054719,0.08835295868393644
60,60,60,60,2019-05-02,84.78826904296875,77.4891357421875,76.9942855834961,0.09419556988048039,0.10122807686838664
61,61,61,61,2019-05-03,84.8943099975586,82.68511962890625,77.51566314697266,0.026718112987769382,0.09518910825281512
62,62,62,62,2019-05-06,84.96499633789062,83.23299407958984,76.41106414794922,0.020809082713576066,0.11194625130961455
63,63,63,63,2019-05-07,83.95759582519531,83.93993377685547,76.52593994140625,0.0002104129410775979,0.09711289909642762
64,64,64,64,2019-05-08,84.09017944335938,84.99150848388672,75.96923828125,-0.010604930499594878,0.10689775685316705
65,65,65,65,2019-05-09,84.02831268310547,84.1431884765625,76.84406280517578,-0.0013652417448980492,0.09349128111750216
66,66,66,66,2019-05-10,85.19474792480469,84.78826904296875,77.4891357421875,0.00479404623332913,0.09944119403079132
67,67,67,67,2019-05-13,84.1431884765625,84.8943099975586,82.68511962890625,-0.008847725142211438,0.017633993325523623
68,68,68,68,2019-05-14,84.60269927978516,84.96499633789062,83.23299407958984,-0.004264074309668353,0.016456276928900948
69,69,69,69,2019-05-15,85.2035903930664,83.95759582519531,83.93993377685547,0.014840760453233237,0.015054296082365637
70,70,70,70,2019-05-16,85.84866333007812,84.09017944335938,84.99150848388672,0.020911881724586134,0.010085182172686169
71,71,71,71,2019-05-17,86.36119079589844,84.02831268310547,84.1431884765625,0.027763000806536597,0.026359855853973713
72,72,72,72,2019-05-20,86.67930603027344,85.19474792480469,84.78826904296875,0.017425465085935343,0.0223030498045238
