,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SYF,SYF_6m,SYF_12m,SYF_6m_ret,SYF_12m_ret
0,0,0,0,2019-02-05,26.183334350585938,,,,
1,1,1,1,2019-02-06,26.28810310363769,,,,
2,2,2,2,2019-02-07,26.28810310363769,,,,
3,3,3,3,2019-02-08,26.13967704772949,,,,
4,4,4,4,2019-02-11,26.51509666442871,,,,
5,5,5,5,2019-02-12,26.576217651367188,,,,
6,6,6,6,2019-02-13,26.86432838439941,26.183334350585938,,0.026008682648863468,
7,7,7,7,2019-02-14,26.91671371459961,26.28810310363769,,0.02391236098259708,
8,8,8,8,2019-02-15,27.719934463500977,26.28810310363769,,0.05446689531832938,
9,9,9,9,2019-02-19,27.728662490844727,26.13967704772949,,0.06078825840938462,
10,10,10,10,2019-02-20,27.75486183166504,26.51509666442871,,0.046756954459816535,
11,11,11,11,2019-02-21,27.74612808227539,26.576217651367188,,0.044020953103837135,
12,12,12,12,2019-02-22,27.83342933654785,26.86432838439941,26.183334350585938,0.03607389465620203,0.06302081178308705
13,13,13,13,2019-02-25,27.789779663085938,26.91671371459961,26.28810310363769,0.03243582993613292,0.05712380819293306
14,14,14,14,2019-02-26,27.946935653686523,27.719934463500977,26.28810310363769,0.008189095485937825,0.06310202541085164
15,15,15,15,2019-02-27,27.95565795898437,27.728662490844727,26.13967704772949,0.00818631148237281,0.06947220150956768
16,16,16,16,2019-02-28,28.47077369689941,27.75486183166504,26.51509666442871,0.025794106617299084,0.07375711494555226
17,17,17,17,2019-03-01,28.339815139770508,27.74612808227539,26.576217651367188,0.021397113706628224,0.06635998814950228
18,18,18,18,2019-03-04,28.339815139770508,27.83342933654785,26.86432838439941,0.01819343915906635,0.05492364202292643
19,19,19,19,2019-03-05,28.130277633666992,27.789779663085938,26.91671371459961,0.012252632971874622,0.04508588722735296
20,20,20,20,2019-03-06,27.84216690063477,27.946935653686523,27.719934463500977,-0.0037488458251748735,0.004409550004338403
21,21,21,21,2019-03-07,27.50166893005371,27.95565795898437,27.728662490844727,-0.01623961165917609,-0.008186242696197943
22,22,22,22,2019-03-08,27.53658866882324,28.47077369689941,27.75486183166504,-0.032812070301338814,-0.007864321723726864
23,23,23,23,2019-03-11,27.95565795898437,28.339815139770508,27.74612808227539,-0.013555387672484542,0.00755167986277816
24,24,24,24,2019-03-12,28.121545791625977,28.339815139770508,27.83342933654785,-0.007701862099948054,0.01035145369959145
25,25,25,25,2019-03-13,28.74142837524414,28.130277633666992,27.789779663085938,0.02172572732967648,0.03424455766456869
26,26,26,26,2019-03-14,28.671586990356445,27.84216690063477,27.946935653686523,0.029790069597735558,0.025929545394517417
27,27,27,27,2019-03-15,29.081920623779297,27.50166893005371,27.95565795898437,0.05746021078737851,0.04028746761916113
28,28,28,28,2019-03-18,29.020814895629883,27.53658866882324,28.47077369689941,0.053900148804091996,0.019319503030940544
29,29,29,29,2019-03-19,28.881118774414062,27.95565795898437,28.339815139770508,0.033104597888109044,0.019100464557509467
30,30,30,30,2019-03-20,28.33108711242676,28.121545791625977,28.339815139770508,0.007451273210705933,-0.00030797756797984466
31,31,31,31,2019-03-21,28.7326889038086,28.74142837524414,28.130277633666992,-0.00030407227231155076,0.02141504886608825
32,32,32,32,2019-03-22,27.789779663085938,28.671586990356445,27.84216690063477,-0.030755441879345535,-0.001881579035704961
33,33,33,33,2019-03-25,27.405630111694336,29.081920623779297,27.50166893005371,-0.05764029596842768,-0.003492108737241928
34,34,34,34,2019-03-26,27.737398147583008,29.020814895629883,27.53658866882324,-0.04422400792887937,0.0072924602671327055
35,35,35,35,2019-03-27,27.61515998840332,28.881118774414062,27.95565795898437,-0.04383343996813105,-0.012179930484219614
36,36,36,36,2019-03-28,27.789779663085938,28.33108711242676,28.121545791625977,-0.019106483531420637,-0.011797577949603011
