,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HPQ,HPQ_6m,HPQ_12m,HPQ_6m_ret,HPQ_12m_ret
0,0,0,0,2019-02-05,19.360864639282227,,,,
1,1,1,1,2019-02-06,19.590137481689453,,,,
2,2,2,2,2019-02-07,19.411821365356445,,,,
3,3,3,3,2019-02-08,19.462764739990234,,,,
4,4,4,4,2019-02-11,19.411821365356445,,,,
5,5,5,5,2019-02-12,19.827905654907227,,,,
6,6,6,6,2019-02-13,19.80242919921875,19.360864639282227,,0.022807068184372836,
7,7,7,7,2019-02-14,19.72600555419922,19.590137481689453,,0.0069355344053485535,
8,8,8,8,2019-02-15,19.76846504211425,19.411821365356445,,0.018372499419054833,
9,9,9,9,2019-02-19,19.74298667907715,19.462764739990234,,0.014397848549807524,
10,10,10,10,2019-02-20,19.85338020324707,19.411821365356445,,0.02274690404263957,
11,11,11,11,2019-02-21,19.86187171936035,19.827905654907227,,0.001713043477424403,
12,12,12,12,2019-02-22,20.159076690673828,19.80242919921875,19.360864639282227,0.018010289943071633,0.041228120038196536
13,13,13,13,2019-02-25,20.30344009399414,19.72600555419922,19.590137481689453,0.029272755612298695,0.03641131222133587
14,14,14,14,2019-02-26,20.294940948486328,19.76846504211425,19.411821365356445,0.02663210852488973,0.04549390634234629
15,15,15,15,2019-02-27,20.25248146057129,19.74298667907715,19.462764739990234,0.02580636809293324,0.0405757728221634
16,16,16,16,2019-02-28,16.753944396972656,19.85338020324707,19.411821365356445,-0.1561162771550355,-0.13692053508833557
17,17,17,17,2019-03-01,16.643552780151367,19.86187171936035,19.827905654907227,-0.16203502795116376,-0.16059955752148547
18,18,18,18,2019-03-04,16.58411407470703,20.159076690673828,19.80242919921875,-0.17733761673820503,-0.16252122869040175
19,19,19,19,2019-03-05,16.439756393432617,20.30344009399414,19.72600555419922,-0.19029699807888323,-0.16659475998510165
20,20,20,20,2019-03-06,16.201990127563477,20.294940948486328,19.76846504211425,-0.20167345306950102,-0.18041233383334743
21,21,21,21,2019-03-07,15.981205940246582,20.25248146057129,19.74298667907715,-0.210901342072095,-0.1905375716439679
22,22,22,22,2019-03-08,15.913268089294434,16.753944396972656,19.85338020324707,-0.05017781411702238,-0.1984605177363309
23,23,23,23,2019-03-11,16.16802406311035,16.643552780151367,19.86187171936035,-0.028571346714393653,-0.18597681570208835
24,24,24,24,2019-03-12,16.322162628173828,16.58411407470703,20.159076690673828,-0.015795323485667145,-0.19033183520131491
25,25,25,25,2019-03-13,16.793163299560547,16.439756393432617,20.30344009399414,0.021497088987833646,-0.1728907405928688
26,26,26,26,2019-03-14,16.818851470947266,16.201990127563477,20.294940948486328,0.038073183511842856,-0.17127861994584037
27,27,27,27,2019-03-15,17.075761795043945,15.981205940246582,20.25248146057129,0.06849019147177549,-0.1568558239004917
28,28,28,28,2019-03-18,17.084325790405273,15.913268089294434,16.753944396972656,0.073590019004246,0.01971961859276039
29,29,29,29,2019-03-19,17.127140045166016,16.16802406311035,16.643552780151367,0.059321780961720805,0.029055531075754537
30,30,30,30,2019-03-20,17.118581771850586,16.322162628173828,16.58411407470703,0.048793726776257706,0.03222769059208819
31,31,31,31,2019-03-21,17.31553840637207,16.793163299560547,16.439756393432617,0.031106415003133714,0.05327220136238231
32,32,32,32,2019-03-22,16.561948776245117,16.818851470947266,16.201990127563477,-0.015274687165524936,0.02221694037877886
33,33,33,33,2019-03-25,16.24509048461914,17.075761795043945,15.981205940246582,-0.04864622266316099,0.016512179704035956
34,34,34,34,2019-03-26,16.382108688354492,17.084325790405273,15.913268089294434,-0.04110300345859441,0.02946224474000214
35,35,35,35,2019-03-27,16.21084213256836,17.127140045166016,16.16802406311035,-0.05349976179217808,0.002648318019002893
36,36,36,36,2019-03-28,16.270784378051758,17.118581771850586,16.322162628173828,-0.04952497847648385,-0.0031477599686077218
37,37,37,37,2019-03-29,16.63901710510254,17.31553840637207,16.793163299560547,-0.039070185713692474,-0.009179104121618487
38,38,38,38,2019-04-01,17.16996192932129,16.561948776245117,16.818851470947266,0.03671144991996633,0.020876006841521244
39,39,39,39,2019-04-02,16.887359619140625,16.24509048461914,17.075761795043945,0.03953619926768548,-0.01103331014830633
40,40,40,40,2019-04-03,16.913047790527344,16.382108688354492,17.084325790405273,0.03240969232186086,-0.010025446832330975
41,41,41,41,2019-04-04,16.921613693237305,16.21084213256836,17.127140045166016,0.04384544336786611,-0.012000039200165125
42,42,42,42,2019-04-05,16.947307586669922,16.270784378051758,17.118581771850586,0.04157901628459593,-0.01000516207845581
43,43,43,43,2019-04-08,17.075761795043945,16.63901710510254,17.31553840637207,0.026248226513780892,-0.013847482284460089
44,44,44,44,2019-04-09,16.77603530883789,17.16996192932129,16.561948776245117,-0.022942777747846144,0.012926409535805261
45,45,45,45,2019-04-10,17.1014461517334,16.887359619140625,16.24509048461914,0.01267732418927836,0.052714736672292206
46,46,46,46,2019-04-11,17.075761795043945,16.913047790527344,16.382108688354492,0.009620619922077855,0.042342113575558615
47,47,47,47,2019-04-12,17.306976318359375,16.921613693237305,16.21084213256836,0.02277339691758118,0.06761734997029123
48,48,48,48,2019-04-15,17.29841423034668,16.947307586669922,16.270784378051758,0.020717547131375857,0.0631579786455243
49,49,49,49,2019-04-16,17.615266799926758,17.075761795043945,16.63901710510254,0.031594783960935624,0.05867231752077706
50,50,50,50,2019-04-17,17.555316925048828,16.77603530883789,17.16996192932129,0.0464520729638902,0.022443555630106804
51,51,51,51,2019-04-18,17.572446823120117,17.1014461517334,16.887359619140625,0.02754156971332966,0.04056804731054542
52,52,52,52,2019-04-22,17.024377822875977,17.075761795043945,16.913047790527344,-0.00300917597614192,0.006582493807590684
53,53,53,53,2019-04-23,17.20421600341797,17.306976318359375,16.921613693237305,-0.005937508265519309,0.01670067141962983
54,54,54,54,2019-04-24,17.01581573486328,17.29841423034668,16.947307586669922,-0.016336670617335236,0.0040424207705562765
55,55,55,55,2019-04-25,16.78460121154785,17.615266799926758,17.075761795043945,-0.04715600381269047,-0.017051103604677875
56,56,56,56,2019-04-26,16.621891021728516,17.555316925048828,16.77603530883789,-0.05317055267674786,-0.009188362105328252
57,57,57,57,2019-04-29,16.835979461669922,17.572446823120117,17.1014461517334,-0.04191034799326998,-0.015523055050906898
58,58,58,58,2019-04-30,17.084325790405273,17.024377822875977,17.075761795043945,0.003521301521441922,0.0005015293293570977
59,59,59,59,2019-05-01,17.067195892333984,17.20421600341797,17.306976318359375,-0.007964333338802643,-0.013854553309293527
60,60,60,60,2019-05-02,17.16139793395996,17.01581573486328,17.29841423034668,0.008555699084023427,-0.007920743171148659
61,61,61,61,2019-05-03,17.375486373901367,16.78460121154785,17.615266799926758,0.03520400365228715,-0.01361208029085248
62,62,62,62,2019-05-06,17.20421600341797,16.621891021728516,17.555316925048828,0.03503361807198857,-0.01999969143991298
63,63,63,63,2019-05-07,16.793163299560547,16.835979461669922,17.572446823120117,-0.002543134612800757,-0.04434689894945454
64,64,64,64,2019-05-08,16.72465705871582,17.084325790405273,17.024377822875977,-0.0210525563666929,-0.01760538724401517
65,65,65,65,2019-05-09,16.519126892089844,17.067195892333984,17.20421600341797,-0.0321124221987934,-0.039821001502888476
66,66,66,66,2019-05-10,16.373544692993164,17.16139793395996,17.01581573486328,-0.04590845361191398,-0.03774553344240705
67,67,67,67,2019-05-13,15.645642280578612,17.375486373901367,16.78460121154785,-0.09955658541570644,-0.06785737216000298
68,68,68,68,2019-05-14,15.67133331298828,17.20421600341797,16.621891021728516,-0.0890992469593006,-0.05718709787578591
69,69,69,69,2019-05-15,16.03956413269043,16.793163299560547,16.835979461669922,-0.044875355132754424,-0.0473043656766553
70,70,70,70,2019-05-16,16.21940803527832,16.72465705871582,17.084325790405273,-0.030209828617932533,-0.05062639086481835
71,71,71,71,2019-05-17,16.28790855407715,16.519126892089844,17.067195892333984,-0.013997007197966038,-0.04565995159209868
72,72,72,72,2019-05-20,16.23653221130371,16.373544692993164,17.16139793395996,-0.008367918142250907,-0.053892213572303005
73,73,73,73,2019-05-21,16.647584915161133,15.645642280578612,17.375486373901367,0.06403972535063396,-0.041892436451941295
74,74,74,74,2019-05-22,16.442060470581055,15.67133331298828,17.20421600341797,0.04918070097800831,-0.0443005094033635
75,75,75,75,2019-05-23,16.43349266052246,16.03956413269043,16.793163299560547,0.02455980253410761,-0.02141768245935527
76,76,76,76,2019-05-24,17.15283203125,16.21940803527832,16.72465705871582,0.057549818954022225,0.025601420168495537
77,77,77,77,2019-05-28,16.835979461669922,16.28790855407715,16.519126892089844,0.03364894306553445,0.019180951369276222
78,78,78,78,2019-05-29,16.270784378051758,16.23653221130371,16.373544692993164,0.002109574033561268,-0.0062759968515174736
79,79,79,79,2019-05-30,16.390670776367188,16.647584915161133,15.645642280578612,-0.015432517095015474,0.04761891409938479
80,80,80,80,2019-05-31,15.996749877929688,16.442060470581055,15.67133331298828,-0.02708362455229618,0.020765084785205
81,81,81,81,2019-06-03,15.979621887207031,16.43349266052246,16.03956413269043,-0.02761864338222797,-0.0037371492758477842
82,82,82,82,2019-06-04,16.604766845703125,17.15283203125,16.21940803527832,-0.03195187736627858,0.023759116830073035
83,83,83,83,2019-06-05,16.750349044799805,16.835979461669922,16.28790855407715,-0.005086155935570602,0.028391643358465446
84,84,84,84,2019-06-06,16.835979461669922,16.270784378051758,16.23653221130371,0.03473680619728303,0.03691966009520686
85,85,85,85,2019-06-07,16.87879753112793,16.390670776367188,16.647584915161133,0.029780767451234924,0.01388865815342566
86,86,86,86,2019-06-10,17.024377822875977,15.996749877929688,16.442060470581055,0.06423979575776717,0.03541632469585143
87,87,87,87,2019-06-11,17.14524269104004,15.979621887207031,16.43349266052246,0.07294420431600956,0.043310940967977496
88,88,88,88,2019-06-12,17.197036743164062,16.604766845703125,17.15283203125,0.035668666893338585,0.0025771086566654944
89,89,89,89,2019-06-13,17.25747299194336,16.750349044799805,16.835979461669922,0.03027542565156227,0.025035284180112027
90,90,90,90,2019-06-14,17.188404083251953,16.835979461669922,16.270784378051758,0.020932825582520298,0.05639677128522491
91,91,91,91,2019-06-17,17.179773330688477,16.87879753112793,16.390670776367188,0.01783159013581903,0.048143396026174345
92,92,92,92,2019-06-18,17.715023040771484,17.024377822875977,15.996749877929688,0.040568015176887906,0.10741389194391626
93,93,93,93,2019-06-19,17.80998420715332,17.14524269104004,15.979621887207031,0.03877119315789379,0.11454353130918826
94,94,94,94,2019-06-20,18.008548736572266,17.197036743164062,16.604766845703125,0.04718905969255349,0.0845408974370756
95,95,95,95,2019-06-21,17.87041664123535,17.25747299194336,16.750349044799805,0.035517578360293234,0.06686831381482605
96,96,96,96,2019-06-24,17.83588409423828,17.188404083251953,16.835979461669922,0.03766958281003063,0.059390939199279735
97,97,97,97,2019-06-25,17.78408432006836,17.179773330688477,16.87879753112793,0.035175725415445,0.05363455466960243
98,98,98,98,2019-06-26,17.948116302490234,17.715023040771484,17.024377822875977,0.013157942904295394,0.05425974970862146
99,99,99,99,2019-06-27,17.904951095581055,17.80998420715332,17.14524269104004,0.005332227548500157,0.044310157530638605
100,100,100,100,2019-06-28,17.948116302490234,18.008548736572266,17.197036743164062,-0.00335576369678825,0.043674940662363326
101,101,101,101,2019-07-01,18.120773315429688,17.87041664123535,17.25747299194336,0.014009560001899901,0.050024724007353694
102,102,102,102,2019-07-02,18.18120384216309,17.83588409423828,17.188404083251953,0.019360954921004536,0.05775985682571316
103,103,103,103,2019-07-03,18.267534255981445,17.78408432006836,17.179773330688477,0.027184415413929353,0.06331637236155419
104,104,104,104,2019-07-05,18.267534255981445,17.948116302490234,17.715023040771484,0.017796739674953654,0.03118885106377478
105,105,105,105,2019-07-08,17.904951095581055,17.904951095581055,17.80998420715332,0.0,0.005332227548500157
106,106,106,106,2019-07-09,17.80998420715332,17.948116302490234,18.008548736572266,-0.007696189004399834,-0.01102612610952347
107,107,107,107,2019-07-10,17.775455474853516,18.120773315429688,17.87041664123535,-0.019056462688716302,-0.005313875344277963
