,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AIZ,AIZ_6m,AIZ_12m,AIZ_6m_ret,AIZ_12m_ret
0,0,0,0,2019-02-05,88.52871704101562,,,,
1,1,1,1,2019-02-06,88.37527465820312,,,,
2,2,2,2,2019-02-07,87.83370208740234,,,,
3,3,3,3,2019-02-08,87.67123413085938,,,,
4,4,4,4,2019-02-11,88.01422119140625,,,,
5,5,5,5,2019-02-12,89.12445068359375,,,,
6,6,6,6,2019-02-13,88.37527465820312,88.52871704101562,,-0.0017332498192808021,
7,7,7,7,2019-02-14,87.67123413085938,88.37527465820312,,-0.007966487573211722,
8,8,8,8,2019-02-15,88.64605712890625,87.83370208740234,,0.00924878517241079,
9,9,9,9,2019-02-19,88.67314147949219,87.67123413085938,,0.011428005531864072,
10,10,10,10,2019-02-20,89.2056884765625,88.01422119140625,,0.013537213293805639,
11,11,11,11,2019-02-21,88.6099624633789,89.12445068359375,,-0.00577269443198436,
12,12,12,12,2019-02-22,89.3092269897461,88.37527465820312,88.52871704101562,0.010568027484554765,0.008816460633546352
13,13,13,13,2019-02-25,89.963134765625,87.67123413085938,88.37527465820312,0.02614199124133121,0.01796724381975645
14,14,14,14,2019-02-26,90.29914855957033,88.64605712890625,87.83370208740234,0.01864822287877055,0.028069481458434353
15,15,15,15,2019-02-27,91.60690307617188,88.67314147949219,87.67123413085938,0.033085120790021794,0.04489122326529671
16,16,16,16,2019-02-28,93.5322265625,89.2056884765625,88.01422119140625,0.04850069720693018,0.06269447478372436
17,17,17,17,2019-03-01,94.57662200927734,88.6099624633789,89.12445068359375,0.06733621570333437,0.06117480987388846
18,18,18,18,2019-03-04,94.24967956542967,89.3092269897461,88.37527465820312,0.05531850114715264,0.06647113607223476
19,19,19,19,2019-03-05,93.73204040527344,89.963134765625,87.67123413085938,0.041893889641210436,0.06913107057860746
20,20,20,20,2019-03-06,91.87935638427734,90.29914855957033,88.64605712890625,0.017499697947479076,0.03647425909388535
21,21,21,21,2019-03-07,91.1346664428711,91.60690307617188,88.67314147949219,-0.005155033271980747,0.02775953261956099
22,22,22,22,2019-03-08,90.78045654296876,93.5322265625,89.2056884765625,-0.02942055503930996,0.01765322473599884
23,23,23,23,2019-03-11,91.5615005493164,94.57662200927734,88.6099624633789,-0.031880198255179515,0.0333093255417789
24,24,24,24,2019-03-12,91.73406982421876,94.24967956542967,89.3092269897461,-0.026690910280119606,0.0271510897160836
25,25,25,25,2019-03-13,91.97926330566406,93.73204040527344,89.963134765625,-0.018699871378354826,0.022410607915025915
26,26,26,26,2019-03-14,89.18209838867188,91.87935638427734,90.29914855957033,-0.02935651817503404,-0.012370550428407845
27,27,27,27,2019-03-15,89.6634292602539,91.1346664428711,91.60690307617188,-0.016143551516035304,-0.021215364242822998
28,28,28,28,2019-03-18,90.54436492919922,90.78045654296876,93.5322265625,-0.002600687667370316,-0.03194472903202228
29,29,29,29,2019-03-19,88.09229278564453,91.5615005493164,94.57662200927734,-0.03788937209262211,-0.06856164965372458
30,30,30,30,2019-03-20,85.8945541381836,91.73406982421876,94.24967956542967,-0.06365700003526364,-0.08864884703874043
31,31,31,31,2019-03-21,87.07514953613281,91.97926330566406,93.73204040527344,-0.05331760217772108,-0.07102044125315021
32,32,32,32,2019-03-22,85.8763656616211,89.18209838867188,91.87935638427734,-0.03706722298284337,-0.06533557655268363
33,33,33,33,2019-03-25,85.8763656616211,89.6634292602539,91.1346664428711,-0.0422364349643668,-0.05769814041670118
34,34,34,34,2019-03-26,86.61201477050781,90.54436492919922,90.78045654296876,-0.043430092659728636,-0.045917832220726096
35,35,35,35,2019-03-27,86.26688385009766,88.09229278564453,91.5615005493164,-0.020721550975959402,-0.05782579651331721
36,36,36,36,2019-03-28,86.06709289550781,85.8945541381836,91.73406982421876,0.002008727550371292,-0.06177614205463722
37,37,37,37,2019-03-29,86.19422912597656,87.07514953613281,91.97926330566406,-0.010116783202200552,-0.06289498275782845
38,38,38,38,2019-04-01,87.32035827636719,85.8763656616211,89.18209838867188,0.01681478487848298,-0.02087571548485978
39,39,39,39,2019-04-02,86.68463134765625,85.8763656616211,89.6634292602539,0.009411968937064419,-0.03322199404119941
40,40,40,40,2019-04-03,86.68463134765625,86.61201477050781,90.54436492919922,0.0008384122842639563,-0.042628092698657416
41,41,41,41,2019-04-04,87.10240173339844,86.26688385009766,88.09229278564453,0.009685267926828445,-0.011236976822192601
42,42,42,42,2019-04-05,87.06608581542969,86.06709289550781,85.8945541381836,0.011607141432495416,0.013639184567643126
43,43,43,43,2019-04-08,86.66647338867188,86.19422912597656,87.07514953613281,0.005478838519515028,-0.004693372904187254
44,44,44,44,2019-04-09,85.64934539794922,87.32035827636719,85.8763656616211,-0.019136578358156187,-0.002643570928075878
45,45,45,45,2019-04-10,85.79461669921875,86.68463134765625,85.8763656616211,-0.010267271540534306,-0.0009519378442779391
46,46,46,46,2019-04-11,86.67556762695312,86.68463134765625,86.61201477050781,-0.00010455971908995831,0.0007337649010210612
47,47,47,47,2019-04-12,87.038818359375,87.10240173339844,86.26688385009766,-0.0007299841652822492,0.00894821366932308
48,48,48,48,2019-04-15,86.22148132324219,87.06608581542969,86.06709289550781,-0.009700728869079578,0.0017938148314340374
49,49,49,49,2019-04-16,86.47576904296875,86.66647338867188,86.19422912597656,-0.002200439665381082,0.003266343000535521
50,50,50,50,2019-04-17,85.42227172851562,85.64934539794922,87.32035827636719,-0.0026512014584414434,-0.021737044892144786
51,51,51,51,2019-04-18,84.66848754882812,85.79461669921875,86.68463134765625,-0.013125871921995325,-0.023258376571300254
52,52,52,52,2019-04-22,83.54236602783203,86.67556762695312,86.68463134765625,-0.036148613558623865,-0.03624939358883461
53,53,53,53,2019-04-23,84.51409912109375,87.038818359375,87.10240173339844,-0.02900681886393408,-0.029715628510760483
54,54,54,54,2019-04-24,84.32341003417969,86.22148132324219,87.06608581542969,-0.022013902567350696,-0.031501080536274095
55,55,55,55,2019-04-25,83.83299255371094,86.47576904296875,86.66647338867188,-0.030560890276033814,-0.032694082546242176
56,56,56,56,2019-04-26,84.92278289794922,85.42227172851562,85.64934539794922,-0.005847290413369621,-0.008482989526939155
57,57,57,57,2019-04-29,85.68565368652344,84.66848754882812,85.79461669921875,0.012013514911421108,-0.0012700448686345789
58,58,58,58,2019-04-30,86.27597045898438,83.54236602783203,86.67556762695312,0.032721175627724586,-0.004610263063849707
59,59,59,59,2019-05-01,85.48587036132812,84.51409912109375,87.038818359375,0.011498332826597402,-0.017842016094875013
60,60,60,60,2019-05-02,85.74922180175781,84.32341003417969,86.22148132324219,0.016908848527356524,-0.005477283784001363
61,61,61,61,2019-05-03,85.8945541381836,83.83299255371094,86.47576904296875,0.02459129182525399,-0.0067211302219972735
62,62,62,62,2019-05-06,85.33145904541016,84.92278289794922,85.42227172851562,0.004812326368909048,-0.0010631031143035763
63,63,63,63,2019-05-07,87.34760284423828,85.68565368652344,84.66848754882812,0.01939588584799745,0.03164241352327357
