,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,VLO,VLO_6m,VLO_12m,VLO_6m_ret,VLO_12m_ret
0,0,0,0,2019-02-05,67.97893524169922,,,,
1,1,1,1,2019-02-06,67.9472885131836,,,,
2,2,2,2,2019-02-07,66.35774993896484,,,,
3,3,3,3,2019-02-08,66.53963470458984,,,,
4,4,4,4,2019-02-11,65.9069595336914,,,,
5,5,5,5,2019-02-12,65.81903839111328,,,,
6,6,6,6,2019-02-13,66.72240447998047,67.97893524169922,,-0.018484119488649697,
7,7,7,7,2019-02-14,66.84233093261719,67.9472885131836,,-0.01626198196786055,
8,8,8,8,2019-02-15,67.47388458251953,66.35774993896484,,0.016819959154451336,
9,9,9,9,2019-02-19,67.78569793701172,66.53963470458984,,0.018726631697843166,
10,10,10,10,2019-02-20,68.29733276367188,65.9069595336914,,0.036268904633030674,
11,11,11,11,2019-02-21,67.5378646850586,65.81903839111328,,0.026114424275414327,
12,12,12,12,2019-02-22,68.20940399169922,66.72240447998047,67.97893524169922,0.02228635978136717,0.003390296555551675
13,13,13,13,2019-02-25,67.93756866455078,66.84233093261719,67.9472885131836,0.016385391063601373,-0.000143049838271736
14,14,14,14,2019-02-26,67.48189544677734,67.47388458251953,66.35774993896484,0.00011872540476032256,0.016940681515670297
15,15,15,15,2019-02-27,66.42662048339844,67.78569793701172,66.53963470458984,-0.020049619535911112,-0.0016984496787988412
16,16,16,16,2019-02-28,65.20344543457031,68.29733276367188,65.9069595336914,-0.04530026582161395,-0.01067435220951829
17,17,17,17,2019-03-01,66.26673126220703,67.5378646850586,65.81903839111328,-0.018821048441183152,0.006801874989929901
18,18,18,18,2019-03-04,65.9789047241211,68.20940399169922,66.72240447998047,-0.03270075879639067,-0.011143179890683585
19,19,19,19,2019-03-05,64.87567138671875,67.93756866455078,66.84233093261719,-0.045069279605081,-0.029422366312763626
20,20,20,20,2019-03-06,65.03557586669922,67.48189544677734,67.47388458251953,-0.03625149477325407,-0.036137073341883874
21,21,21,21,2019-03-07,64.42797088623047,66.42662048339844,67.78569793701172,-0.030088081895833896,-0.04953444683716823
22,22,22,22,2019-03-08,63.756439208984375,65.20344543457031,68.29733276367188,-0.022192174292966826,-0.06648712871994988
23,23,23,23,2019-03-11,66.7384033203125,66.26673126220703,67.5378646850586,0.0071177806588820225,-0.011837231876875687
24,24,24,24,2019-03-12,67.03418731689453,65.9789047241211,68.20940399169922,0.015994242359522515,-0.01722954029839796
25,25,25,25,2019-03-13,67.33001708984375,64.87567138671875,67.93756866455078,0.03783152683684521,-0.008942792429132762
26,26,26,26,2019-03-14,67.90560913085938,65.03557586669922,67.48189544677734,0.04413020452133387,0.006278923869531994
27,27,27,27,2019-03-15,68.01753234863281,64.42797088623047,66.42662048339844,0.05571433358875977,0.023949914261135463
28,28,28,28,2019-03-18,69.35262298583984,63.756439208984375,65.20344543457031,0.08777440908379441,0.06363432980597783
29,29,29,29,2019-03-19,69.0968017578125,66.7384033203125,66.26673126220703,0.03533795116704863,0.042707259611272086
30,30,30,30,2019-03-20,69.10479736328125,67.03418731689453,65.9789047241211,0.030888866252651193,0.047377152625229346
31,31,31,31,2019-03-21,69.05680847167969,67.33001708984375,64.87567138671875,0.02564667969015577,0.06444845957797507
32,32,32,32,2019-03-22,67.65777587890625,67.90560913085938,65.03557586669922,-0.0036496727608397173,0.04031947095512223
33,33,33,33,2019-03-25,68.33731842041016,68.01753234863281,64.42797088623047,0.004701524162009196,0.06067780003630685
34,34,34,34,2019-03-26,69.55248260498047,69.35262298583984,63.756439208984375,0.002881788900492399,0.09090914530213179
35,35,35,35,2019-03-27,68.76900482177734,69.0968017578125,66.7384033203125,-0.004744024726124119,0.030426282326817544
36,36,36,36,2019-03-28,67.81768798828125,69.10479736328125,67.03418731689453,-0.01862547064907394,0.011688075931805209
37,37,37,37,2019-03-29,67.81768798828125,69.05680847167969,67.33001708984375,-0.017943494795398807,0.0072429938312172926
38,38,38,38,2019-04-01,69.0968017578125,67.65777587890625,67.90560913085938,0.021269186877821866,0.01754188854498895
39,39,39,39,2019-04-02,67.51386260986328,68.33731842041016,68.01753234863281,-0.012049870108759464,-0.0074049987022155594
40,40,40,40,2019-04-03,67.36196899414062,69.55248260498047,69.35262298583984,-0.03149439860084857,-0.02870336990867184
41,41,41,41,2019-04-04,67.43394470214844,68.76900482177734,69.0968017578125,-0.0194136896860565,-0.024065615388284556
42,42,42,42,2019-04-05,69.30464935302734,67.81768798828125,69.10479736328125,0.021925863426707215,0.002892013251923453
43,43,43,43,2019-04-08,68.91291809082031,67.81768798828125,69.05680847167969,0.01614962312971091,-0.0020836523442635535
44,44,44,44,2019-04-09,68.04150390625,69.0968017578125,67.65777587890625,-0.015272745260502374,0.005671602744236504
45,45,45,45,2019-04-10,70.6957015991211,67.51386260986328,68.33731842041016,0.0471286764859602,0.03451091194714717
46,46,46,46,2019-04-11,71.1833724975586,67.36196899414062,69.55248260498047,0.05672939138329469,0.023448334717837138
47,47,47,47,2019-04-12,70.67971801757812,67.43394470214844,68.76900482177734,0.04813263304951332,0.027784511361660824
48,48,48,48,2019-04-15,70.0721206665039,69.30464935302734,67.81768798828125,0.011073879178973733,0.03324254696816298
49,49,49,49,2019-04-16,70.6077651977539,68.91291809082031,67.81768798828125,0.024594040622397673,0.0411408482393969
50,50,50,50,2019-04-17,71.48715209960938,68.04150390625,69.0968017578125,0.05064038852090791,0.034594225506632936
51,51,51,51,2019-04-18,70.3839111328125,70.6957015991211,67.51386260986328,-0.004410317165767674,0.042510506909286594
52,52,52,52,2019-04-22,72.8702392578125,71.1833724975586,67.36196899414062,0.023697483008574327,0.08177121818026145
