,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PHM,PHM_6m,PHM_12m,PHM_6m_ret,PHM_12m_ret
269,269,269,269,2020-03-02,39.653926849365234,44.29214096069336,44.56890869140625,-0.10471867041704452,-0.11027826317382372
270,270,270,270,2020-03-03,40.26471710205078,43.1850814819336,44.559364318847656,-0.06762438044963626,-0.09638035197419392
271,271,271,271,2020-03-04,42.39294052124024,41.37178039550781,44.559364318847656,0.024682527944659194,-0.04861882189578415
272,272,272,272,2020-03-05,40.99958038330078,40.15019226074219,44.52119445800781,0.021155269121565512,-0.07909972132550491
273,273,273,273,2020-03-06,39.606204986572266,39.83525085449219,44.42575454711914,-0.005749828682052649,-0.10848548572056627
274,274,274,274,2020-03-09,36.86716842651367,38.36553192138672,44.54026794433594,-0.03905493863458698,-0.1722733129358741
275,275,275,275,2020-03-10,37.8215446472168,39.653926849365234,44.29214096069336,-0.04620935044110941,-0.14608903911912574
276,276,276,276,2020-03-11,33.7273063659668,40.26471710205078,43.1850814819336,-0.16236077654575198,-0.2190056100721599
277,277,277,277,2020-03-12,29.197772979736328,42.39294052124024,41.37178039550781,-0.31125860530700167,-0.29425872658584806
278,278,278,278,2020-03-13,29.2360782623291,40.99958038330078,40.15019226074219,-0.28691762235115414,-0.271832172746147
279,279,279,279,2020-03-16,23.05944061279297,39.606204986572266,39.83525085449219,-0.4177821222555699,-0.4211297753082287
280,280,280,280,2020-03-17,22.11140251159668,36.86716842651367,38.36553192138672,-0.4002413677179808,-0.42366490429731896
281,281,281,281,2020-03-18,18.6352481842041,37.8215446472168,39.653926849365234,-0.5072848462952602,-0.5300528935004476
282,282,282,282,2020-03-19,18.702281951904297,33.7273063659668,40.26471710205078,-0.44548545475377177,-0.5355168669258639
283,283,283,283,2020-03-20,18.932106018066406,29.197772979736328,42.39294052124024,-0.3515907521027183,-0.5534137102713881
284,284,284,284,2020-03-23,16.98814582824707,29.2360782623291,40.99958038330078,-0.418932126401631,-0.5856507391191159
285,285,285,285,2020-03-24,21.14420509338379,23.05944061279297,39.606204986572266,-0.0830564605433941,-0.4661390784461088
286,286,286,286,2020-03-25,23.193504333496094,22.11140251159668,36.86716842651367,0.04893863341920035,-0.3708899998727302
287,287,287,287,2020-03-26,24.62035751342773,18.6352481842041,37.8215446472168,0.3211714311536147,-0.34903881522883573
288,288,288,288,2020-03-27,23.48079299926757,18.702281951904297,33.7273063659668,0.25550417107665946,-0.30380467552068346
289,289,289,289,2020-03-30,22.75300025939941,18.932106018066406,29.197772979736328,0.2018208770691874,-0.2207282289923167
290,290,290,290,2020-03-31,21.374038696289062,16.98814582824707,29.2360782623291,0.2581737237473758,-0.26891566972477066
