,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ACGL,ACGL_6m,ACGL_12m,ACGL_6m_ret,ACGL_12m_ret
0,0,0,0,2019-02-05,30.280000686645508,,,,
1,1,1,1,2019-02-06,30.270000457763672,,,,
2,2,2,2,2019-02-07,30.3700008392334,,,,
3,3,3,3,2019-02-08,30.309999465942383,,,,
4,4,4,4,2019-02-11,30.32999992370605,,,,
5,5,5,5,2019-02-12,30.82999992370605,,,,
6,6,6,6,2019-02-13,31.959999084472656,30.280000686645508,,0.055482112276440176,
7,7,7,7,2019-02-14,31.1200008392334,30.270000457763672,,0.028080620040153326,
8,8,8,8,2019-02-15,31.5,30.3700008392334,,0.03720774216465661,
9,9,9,9,2019-02-19,32.06999969482422,30.309999465942383,,0.05806665324621485,
10,10,10,10,2019-02-20,32.29999923706055,30.32999992370605,,0.06495217007286369,
11,11,11,11,2019-02-21,32.290000915527344,30.82999992370605,,0.04735650325768104,
12,12,12,12,2019-02-22,32.29999923706055,31.959999084472656,30.280000686645508,0.010638302951425205,0.06671065074664706
13,13,13,13,2019-02-25,32.2599983215332,31.1200008392334,30.270000457763672,0.036632308854651185,0.06574158684094544
14,14,14,14,2019-02-26,32.380001068115234,31.5,30.3700008392334,0.027936541844927998,0.06618373965552293
15,15,15,15,2019-02-27,32.36000061035156,32.06999969482422,30.309999465942383,0.009042747685904962,0.06763448302639041
16,16,16,16,2019-02-28,32.66999816894531,32.29999923706055,30.32999992370605,0.011455075561123573,0.07715127765003094
17,17,17,17,2019-03-01,32.869998931884766,32.290000915527344,30.82999992370605,0.01796215546338109,0.0661692835947787
18,18,18,18,2019-03-04,32.939998626708984,32.29999923706055,31.959999084472656,0.019814223057755154,0.030663315716815687
19,19,19,19,2019-03-05,32.84000015258789,32.2599983215332,31.1200008392334,0.017978978959448444,0.05526989932423354
20,20,20,20,2019-03-06,32.58000183105469,32.380001068115234,31.5,0.00617667561278723,0.034285772414434534
21,21,21,21,2019-03-07,32.2400016784668,32.36000061035156,32.06999969482422,-0.0037082487522073215,0.005300966175874722
22,22,22,22,2019-03-08,32.11000061035156,32.66999816894531,32.29999923706055,-0.01714103428160152,-0.005882310563369408
23,23,23,23,2019-03-11,32.380001068115234,32.869998931884766,32.290000915527344,-0.014907145716217873,0.0027872452782933266
24,24,24,24,2019-03-12,32.40999984741211,32.939998626708984,32.29999923706055,-0.016089823964568484,0.003405591732192681
25,25,25,25,2019-03-13,32.41999816894531,32.84000015258789,32.2599983215332,-0.012789341708010937,0.00495969794596407
26,26,26,26,2019-03-14,32.54999923706055,32.58000183105469,32.380001068115234,-0.0009208898805384003,0.00525009769418161
27,27,27,27,2019-03-15,32.869998931884766,32.2400016784668,32.36000061035156,0.019540856718960553,0.01576014560920802
28,28,28,28,2019-03-18,32.84000015258789,32.11000061035156,32.66999816894531,0.022734335981326348,0.005203611667299546
29,29,29,29,2019-03-19,32.36000061035156,32.380001068115234,32.869998931884766,-0.0006176793423076088,-0.015515617222563782
30,30,30,30,2019-03-20,31.979999542236328,32.40999984741211,32.939998626708984,-0.013267519506332759,-0.02914387141759789
31,31,31,31,2019-03-21,32.290000915527344,32.41999816894531,32.84000015258789,-0.004009785958053902,-0.016747845143271323
32,32,32,32,2019-03-22,32.060001373291016,32.54999923706055,32.58000183105469,-0.015053698164503526,-0.01596072524673764
33,33,33,33,2019-03-25,31.96999931335449,32.869998931884766,32.2400016784668,-0.027380579488162193,-0.00837476274986193
34,34,34,34,2019-03-26,31.959999084472656,32.84000015258789,32.11000061035156,-0.02679662192528609,-0.004671489349973745
35,35,35,35,2019-03-27,32.06999969482422,32.36000061035156,32.380001068115234,-0.008961709210678293,-0.00957385309033465
36,36,36,36,2019-03-28,32.0,31.979999542236328,32.40999984741211,0.0006254051923064718,-0.012650411889614577
37,37,37,37,2019-03-29,32.31999969482422,32.290000915527344,32.41999816894531,0.0009290423798795633,-0.00308446883926361
38,38,38,38,2019-04-01,32.65999984741211,32.060001373291016,32.54999923706055,0.01871486114847598,0.00337943511305272
39,39,39,39,2019-04-02,32.41999816894531,31.96999931335449,32.869998931884766,0.014075660470935558,-0.013690318757599407
40,40,40,40,2019-04-03,32.47999954223633,31.959999084472656,32.84000015258789,0.016270352711502678,-0.010962259703984567
41,41,41,41,2019-04-04,32.470001220703125,32.06999969482422,32.36000061035156,0.012472763632219941,0.003399277140816004
42,42,42,42,2019-04-05,32.59000015258789,32.0,31.979999542236328,0.018437504768371582,0.01907444087189325
43,43,43,43,2019-04-08,32.68000030517578,32.31999969482422,32.290000915527344,0.011138632851200647,0.01207802349305287
44,44,44,44,2019-04-09,32.11000061035156,32.65999984741211,32.060001373291016,-0.0168401481821846,0.0015595519313420514
45,45,45,45,2019-04-10,32.34000015258789,32.41999816894531,31.96999931335449,-0.0024675515384220414,0.011573376514864231
46,46,46,46,2019-04-11,32.630001068115234,32.47999954223633,31.959999084472656,0.004618273645104143,0.020963767297730973
47,47,47,47,2019-04-12,32.88999938964844,32.470001220703125,32.06999969482422,0.012934960060226874,0.02556905839187018
48,48,48,48,2019-04-15,32.4900016784668,32.59000015258789,32.0,-0.0030683790626847562,0.015312552452087402
49,49,49,49,2019-04-16,32.90999984741211,32.68000030517578,32.31999969482422,0.007037929623271877,0.018254955388578686
50,50,50,50,2019-04-17,32.619998931884766,32.11000061035156,32.65999984741211,0.015882849948274158,-0.001224767780594882
51,51,51,51,2019-04-18,32.529998779296875,32.34000015258789,32.41999816894531,0.005875034811766433,0.003392986322156233
52,52,52,52,2019-04-22,32.189998626708984,32.630001068115234,32.47999954223633,-0.013484597824184652,-0.008928599741826693
