,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HOLX,HOLX_6m,HOLX_12m,HOLX_6m_ret,HOLX_12m_ret
0,0,0,0,2019-02-05,44.150001525878906,,,,
1,1,1,1,2019-02-06,43.83000183105469,,,,
2,2,2,2,2019-02-07,43.45000076293945,,,,
3,3,3,3,2019-02-08,43.61000061035156,,,,
4,4,4,4,2019-02-11,43.790000915527344,,,,
5,5,5,5,2019-02-12,44.720001220703125,,,,
6,6,6,6,2019-02-13,44.900001525878906,44.150001525878906,,0.01698754188174556,
7,7,7,7,2019-02-14,45.22999954223633,43.83000183105469,,0.031941538961782756,
8,8,8,8,2019-02-15,46.290000915527344,43.45000076293945,,0.06536248797975297,
9,9,9,9,2019-02-19,46.290000915527344,43.61000061035156,,0.06145380113889831,
10,10,10,10,2019-02-20,46.41999816894531,43.790000915527344,,0.06005931030902101,
11,11,11,11,2019-02-21,46.45000076293945,44.720001220703125,,0.038685140765055026,
12,12,12,12,2019-02-22,46.959999084472656,44.900001525878906,44.150001525878906,0.04587967680594485,0.0636466016189523
13,13,13,13,2019-02-25,46.9900016784668,45.22999954223633,43.83000183105469,0.038912274022619764,0.07209673090118751
14,14,14,14,2019-02-26,46.380001068115234,46.290000915527344,43.45000076293945,0.0019442676778540502,0.06743383783033008
15,15,15,15,2019-02-27,46.959999084472656,46.290000915527344,43.61000061035156,0.014473928617283027,0.07681720768712652
16,16,16,16,2019-02-28,47.150001525878906,46.41999816894531,43.790000915527344,0.0157260531178125,0.07672985933097243
17,17,17,17,2019-03-01,47.91999816894531,46.45000076293945,44.720001220703125,0.031646875820478204,0.07155628043142248
18,18,18,18,2019-03-04,47.41999816894531,46.959999084472656,44.900001525878906,0.009795551393542379,0.05612464493155889
19,19,19,19,2019-03-05,47.5,46.9900016784668,45.22999954223633,0.010853336950760628,0.050187938994868064
20,20,20,20,2019-03-06,46.720001220703125,46.380001068115234,46.290000915527344,0.007330749132337333,0.009289269748783857
21,21,21,21,2019-03-07,46.810001373291016,46.959999084472656,46.290000915527344,-0.0031941591589859097,0.011233537426637685
22,22,22,22,2019-03-08,46.61000061035156,47.150001525878906,46.41999816894531,-0.011452829226971661,0.004093116090068349
23,23,23,23,2019-03-11,46.95000076293945,47.91999816894531,46.45000076293945,-0.020242016758557968,0.010764262471206099
24,24,24,24,2019-03-12,47.209999084472656,47.41999816894531,46.959999084472656,-0.004428492040941978,0.005323679831217509
25,25,25,25,2019-03-13,47.38999938964844,47.5,46.9900016784668,-0.002315802323190841,0.008512400444644852
26,26,26,26,2019-03-14,47.36000061035156,46.720001220703125,46.380001068115234,0.013698616715036138,0.021129786969971587
27,27,27,27,2019-03-15,47.630001068115234,46.810001373291016,46.959999084472656,0.017517617405841346,0.014267504188774982
28,28,28,28,2019-03-18,47.18000030517578,46.61000061035156,47.150001525878906,0.012229128671103817,0.000636241321867459
29,29,29,29,2019-03-19,47.43000030517578,46.95000076293945,47.91999816894531,0.010223632256364468,-0.010225331437660135
30,30,30,30,2019-03-20,47.29999923706055,47.209999084472656,47.41999816894531,0.0019063790369251432,-0.0025305553884089615
31,31,31,31,2019-03-21,47.720001220703125,47.38999938964844,47.5,0.006963533135785793,0.004631604646381682
32,32,32,32,2019-03-22,46.84999847412109,47.36000061035156,46.720001220703125,-0.01076862604851836,0.002782475385731731
33,33,33,33,2019-03-25,46.810001373291016,47.630001068115234,46.810001373291016,-0.017216033517436724,0.0
34,34,34,34,2019-03-26,47.2400016784668,47.18000030517578,46.61000061035156,0.0012717544065898867,0.013516435525969817
35,35,35,35,2019-03-27,46.90999984741211,47.43000030517578,46.95000076293945,-0.010963534775835226,-0.0008519896672487537
36,36,36,36,2019-03-28,47.52999877929688,47.29999923706055,47.209999084472656,0.004862569681737483,0.006778218619569287
37,37,37,37,2019-03-29,48.400001525878906,47.720001220703125,47.38999938964844,0.014249796474874454,0.02131255854059133
38,38,38,38,2019-04-01,48.18999862670898,46.84999847412109,47.36000061035156,0.028601925213040946,0.017525295727635726
39,39,39,39,2019-04-02,48.16999816894531,46.810001373291016,47.630001068115234,0.029053551714490755,0.011337331276936924
40,40,40,40,2019-04-03,47.52000045776367,47.2400016784668,47.18000030517578,0.005927154304579574,0.007206446595774851
41,41,41,41,2019-04-04,47.310001373291016,46.90999984741211,47.43000030517578,0.008526999087188791,-0.002530021739672428
42,42,42,42,2019-04-05,47.130001068115234,47.52999877929688,47.29999923706055,-0.008415689489894906,-0.0035940416847219936
43,43,43,43,2019-04-08,46.810001373291016,48.400001525878906,47.720001220703125,-0.03285124178638166,-0.019069568820910043
44,44,44,44,2019-04-09,47.0,48.18999862670898,46.84999847412109,-0.024693892106679383,0.00320174025110731
45,45,45,45,2019-04-10,47.560001373291016,48.16999816894531,46.810001373291016,-0.0126634174557132,0.01602221700484585
46,46,46,46,2019-04-11,47.38999938964844,47.52000045776367,47.2400016784668,-0.002735712686509406,0.0031752266268443297
47,47,47,47,2019-04-12,47.540000915527344,47.310001373291016,46.90999984741211,0.004861541652082302,0.013429995100500802
48,48,48,48,2019-04-15,47.040000915527344,47.130001068115234,47.52999877929688,-0.0019096149066030188,-0.01030923367039871
49,49,49,49,2019-04-16,45.790000915527344,46.810001373291016,48.400001525878906,-0.021790224905775535,-0.05392563074519796
50,50,50,50,2019-04-17,43.43000030517578,47.0,48.18999862670898,-0.07595744031540896,-0.09877564758624002
