,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,UPS,UPS_6m,UPS_12m,UPS_6m_ret,UPS_12m_ret
0,0,0,0,2019-02-05,91.73667907714844,,,,
1,1,1,1,2019-02-06,92.72509765625,,,,
2,2,2,2,2019-02-07,91.97525024414062,,,,
3,3,3,3,2019-02-08,92.111572265625,,,,
4,4,4,4,2019-02-11,92.81881713867188,,,,
5,5,5,5,2019-02-12,94.29296875,,,,
6,6,6,6,2019-02-13,95.44327545166016,91.73667907714844,,0.040404736816279874,
7,7,7,7,2019-02-14,95.26431274414062,92.72509765625,,0.027384334469012783,
8,8,8,8,2019-02-15,94.47190856933594,91.97525024414062,,0.02714489298553846,
9,9,9,9,2019-02-19,94.38665008544922,92.111572265625,,0.024699153036531696,
10,10,10,10,2019-02-20,94.64232635498048,92.81881713867188,,0.019645900179747766,
11,11,11,11,2019-02-21,95.2302703857422,94.29296875,,0.009940313134346956,
12,12,12,12,2019-02-22,94.03731536865234,95.44327545166016,91.73667907714844,-0.014730844853704794,0.025078696053179916
13,13,13,13,2019-02-25,95.29228973388672,95.26431274414062,92.72509765625,0.0002936775476587439,0.027686054180862563
14,14,14,14,2019-02-26,95.44701385498048,94.47190856933594,91.97525024414062,0.010321642702167733,0.037746715574291434
15,15,15,15,2019-02-27,95.5243911743164,94.38665008544922,92.111572265625,0.012054046709329969,0.03705092449024483
16,16,16,16,2019-02-28,94.72498321533205,94.64232635498048,92.81881713867188,0.0008733604036901266,0.020536418534749856
17,17,17,17,2019-03-01,96.38396453857422,95.2302703857422,94.29296875,0.012114783966892473,0.022175521847425328
18,18,18,18,2019-03-04,94.96566772460938,94.03731536865234,95.44327545166016,0.009872169918054619,-0.005004100339082385
19,19,19,19,2019-03-05,94.5272979736328,95.29228973388672,95.26431274414062,-0.008027845299868774,-0.007736525350130696
20,20,20,20,2019-03-06,93.56455993652344,95.44701385498048,94.47190856933594,-0.019722501966559114,-0.00960442788288296
21,21,21,21,2019-03-07,91.85400390625,95.5243911743164,94.38665008544922,-0.03842356096641908,-0.026832673655717065
22,22,22,22,2019-03-08,91.69928741455078,94.72498321533205,94.64232635498048,-0.03194189851586615,-0.031096434901558445
23,23,23,23,2019-03-11,93.54737091064452,96.38396453857422,95.2302703857422,-0.029430140599730703,-0.017671896428319345
24,24,24,24,2019-03-12,93.70209503173828,94.96566772460938,94.03731536865234,-0.013305573720971742,-0.0035647586875476867
25,25,25,25,2019-03-13,95.29228973388672,94.5272979736328,95.29228973388672,0.00809281315189292,0.0
26,26,26,26,2019-03-14,95.30947875976562,93.56455993652344,95.44701385498048,0.01864935638478915,-0.0014409575497440485
27,27,27,27,2019-03-15,94.14044952392578,91.85400390625,95.5243911743164,0.02489217149433598,-0.014487835341082222
28,28,28,28,2019-03-18,95.14616394042967,91.69928741455078,94.72498321533205,0.03758891288103894,0.0044463531246048404
29,29,29,29,2019-03-19,94.85392761230467,93.54737091064452,96.38396453857422,0.013966792320739385,-0.015874392940717907
30,30,30,30,2019-03-20,92.76515197753906,93.70209503173828,94.96566772460938,-0.009999168683281434,-0.023171697728189278
31,31,31,31,2019-03-21,94.38116455078124,95.29228973388672,94.5272979736328,-0.009561373597485101,-0.001545938855591955
32,32,32,32,2019-03-22,92.2751922607422,95.30947875976562,93.56455993652344,-0.03183614618931618,-0.013780513440729836
33,33,33,33,2019-03-25,91.88838958740234,94.14044952392578,91.85400390625,-0.023922341011884396,0.0003743514674379167
34,34,34,34,2019-03-26,93.18635559082033,95.14616394042967,91.69928741455078,-0.020597870354882253,0.016216790971852024
35,35,35,35,2019-03-27,93.67630004882812,94.85392761230467,93.54737091064452,-0.012415169230417633,0.0013782230000536355
