,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KR,KR_6m,KR_12m,KR_6m_ret,KR_12m_ret
0,0,0,0,2019-02-05,25.41058349609375,,,,
1,1,1,1,2019-02-06,25.401609420776367,,,,
2,2,2,2,2019-02-07,25.30283737182617,,,,
3,3,3,3,2019-02-08,24.988574981689453,,,,
4,4,4,4,2019-02-11,24.73716163635254,,,,
5,5,5,5,2019-02-12,25.661996841430664,,,,
6,6,6,6,2019-02-13,26.0031967163086,25.41058349609375,,0.02332151169633523,
7,7,7,7,2019-02-14,26.129512786865234,25.401609420776367,,0.02865579712022126,
8,8,8,8,2019-02-15,26.61674118041992,25.30283737182617,,0.051927133280978754,
9,9,9,9,2019-02-19,26.661849975585938,24.988574981689453,,0.06696160125667783,
10,10,10,10,2019-02-20,25.94003868103028,24.73716163635254,,0.04862631624276781,
11,11,11,11,2019-02-21,25.786657333374023,25.661996841430664,,0.004857786115151308,
12,12,12,12,2019-02-22,25.73251914978028,26.0031967163086,25.41058349609375,-0.010409395793962384,0.012669353056611987
13,13,13,13,2019-02-25,26.03026580810547,26.129512786865234,25.401609420776367,-0.003798271309890411,0.024748683318267073
14,14,14,14,2019-02-26,26.09342384338379,26.61674118041992,25.30283737182617,-0.019661209968900972,0.031244973041557378
15,15,15,15,2019-02-27,26.88741111755371,26.661849975585938,24.988574981689453,0.008460070931848973,0.07598817208486852
16,16,16,16,2019-02-28,26.463350296020508,25.94003868103028,24.73716163635254,0.020173894936128978,0.06978119337390942
17,17,17,17,2019-03-01,25.281391143798828,25.786657333374023,25.661996841430664,-0.019594094071326618,-0.014831491874294
18,18,18,18,2019-03-04,25.840791702270508,25.73251914978028,26.0031967163086,0.004207615735560388,-0.00624557879594223
19,19,19,19,2019-03-05,26.09342384338379,26.03026580810547,26.129512786865234,0.0024263307852452343,-0.0013811563872552224
20,20,20,20,2019-03-06,25.66033744812012,26.09342384338379,26.61674118041992,-0.016597530391684545,-0.035932412830589344
21,21,21,21,2019-03-07,23.106937408447266,26.88741111755371,26.661849975585938,-0.1406038570458844,-0.13333330471793514
22,22,22,22,2019-03-08,22.07835578918457,26.463350296020508,25.94003868103028,-0.1657006561068476,-0.14886958879786572
