,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MMM,MMM_6m,MMM_12m,MMM_6m_ret,MMM_12m_ret
0,0,0,0,2019-02-05,164.470458984375,,,,
1,1,1,1,2019-02-06,165.65626525878906,,,,
2,2,2,2,2019-02-07,163.42376708984375,,,,
3,3,3,3,2019-02-08,163.40737915039062,,,,
4,4,4,4,2019-02-11,164.29876708984375,,,,
5,5,5,5,2019-02-12,168.92735290527344,,,,
6,6,6,6,2019-02-13,171.50332641601562,164.470458984375,,0.04276067249443716,
7,7,7,7,2019-02-14,168.74484252929688,165.65626525878906,,0.018644494161949243,
8,8,8,8,2019-02-15,171.98089599609375,163.42376708984375,,0.05236159377935312,
9,9,9,9,2019-02-19,171.61038208007812,163.40737915039062,,0.05019970929304196,
10,10,10,10,2019-02-20,171.7091522216797,164.29876708984375,,0.04510310858135469,
11,11,11,11,2019-02-21,171.08338928222656,168.92735290527344,,0.012763098100294856,
12,12,12,12,2019-02-22,172.38441467285156,171.50332641601562,164.470458984375,0.005137441210316229,0.04811779414580708
13,13,13,13,2019-02-25,173.39724731445312,168.74484252929688,165.65626525878906,0.027570648770189887,0.04672918373217616
14,14,14,14,2019-02-26,172.4091033935547,171.98089599609375,163.42376708984375,0.0024898544398248568,0.054981820965925854
15,15,15,15,2019-02-27,172.1209259033203,171.61038208007812,163.40737915039062,0.002975017111749967,0.05332407139894357
16,16,16,16,2019-02-28,170.7705078125,171.7091522216797,164.29876708984375,-0.005466478618261883,0.03939007478441581
17,17,17,17,2019-03-01,170.85281372070312,171.08338928222656,168.92735290527344,-0.0013477378633355297,0.011398158926396063
18,18,18,18,2019-03-04,170.33401489257812,172.38441467285156,171.50332641601562,-0.011894345461361144,-0.006818010751587944
19,19,19,19,2019-03-05,167.8473358154297,173.39724731445312,168.74484252929688,-0.03200691813151313,-0.005318720859343373
20,20,20,20,2019-03-06,166.99095153808594,172.4091033935547,171.98089599609375,-0.031426135562580115,-0.02901452762591228
21,21,21,21,2019-03-07,164.57008361816406,172.1209259033203,171.61038208007812,-0.04386940312764487,-0.041024898240881846
22,22,22,22,2019-03-08,165.41824340820312,170.7705078125,171.7091522216797,-0.03134185447392046,-0.036637003514844
23,23,23,23,2019-03-11,170.53167724609375,170.85281372070312,171.08338928222656,-0.0018796089313128928,-0.003224813574523533
24,24,24,24,2019-03-12,169.46124267578125,170.33401489257812,172.38441467285156,-0.005123886836973179,-0.016957287018190548
25,25,25,25,2019-03-13,170.16937255859375,167.8473358154297,173.39724731445312,0.013834218648054453,-0.018615490187140482
26,26,26,26,2019-03-14,170.76222229003906,166.99095153808594,172.4091033935547,0.02258368323084259,-0.00955217022245236
27,27,27,27,2019-03-15,171.3386688232422,164.57008361816406,172.1209259033203,0.04112889205782144,-0.004544811015701367
28,28,28,28,2019-03-18,171.67628479003906,165.41824340820312,170.7705078125,0.03783162759377734,0.005304059753300949
29,29,29,29,2019-03-19,172.1126708984375,170.53167724609375,170.85281372070312,0.009270967587225565,0.0073739328624338185
30,30,30,30,2019-03-20,171.519775390625,169.46124267578125,170.33401489257812,0.012147513392086973,0.006961384071141996
31,31,31,31,2019-03-21,172.59848022460938,170.16937255859375,167.8473358154297,0.014274646662278956,0.028306343893383046
32,32,32,32,2019-03-22,168.52249145507812,170.76222229003906,166.99095153808594,-0.013116079217783683,0.009171394634773788
33,33,33,33,2019-03-25,167.3285675048828,171.3386688232422,164.57008361816406,-0.023404531772663106,0.01676175782421674
34,34,34,34,2019-03-26,170.64698791503906,171.67628479003906,165.41824340820312,-0.005995568207098789,0.031609237283054314
35,35,35,35,2019-03-27,170.5811309814453,172.1126708984375,170.53167724609375,-0.00889847277947331,0.0002899973550380963
36,36,36,36,2019-03-28,171.7091522216797,171.519775390625,169.46124267578125,0.001104110768705313,0.013265036361141291
37,37,37,37,2019-03-29,171.0916290283203,172.59848022460938,170.16937255859375,-0.00873038507829349,0.00541963842176707
38,38,38,38,2019-04-01,174.5170440673828,168.52249145507812,170.76222229003906,0.03557123183110922,0.02198859751875437
