,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AXON,AXON_6m,AXON_12m,AXON_6m_ret,AXON_12m_ret
58,58,58,58,2019-04-30,63.5,60.7400016784668,60.91999816894531,0.0454395496421538,0.042350655098507106
59,59,59,59,2019-05-01,63.790000915527344,62.869998931884766,61.869998931884766,0.014633402247061111,0.031032843329387827
60,60,60,60,2019-05-02,64.26000213623047,62.58000183105469,60.75,0.026845641674975163,0.05777781294206541
61,61,61,61,2019-05-03,65.30000305175781,62.93999862670898,61.54999923706055,0.03749609908709717,0.06092613909309863
62,62,62,62,2019-05-06,65.83999633789062,62.86000061035156,61.5,0.0474068676201751,0.07056904614456294
63,63,63,63,2019-05-07,64.63999938964844,63.369998931884766,59.81999969482422,0.02004103643947941,0.08057505381835117
64,64,64,64,2019-05-08,67.0,63.5,60.7400016784668,0.055118110236220375,0.10306220198463478
65,65,65,65,2019-05-09,66.7300033569336,63.790000915527344,62.869998931884766,0.04608876625193181,0.061396603954628315
66,66,66,66,2019-05-10,63.72999954223633,64.26000213623047,62.58000183105469,-0.008247783634842465,0.01837644099605895
67,67,67,67,2019-05-13,64.76000213623047,65.30000305175781,62.93999862670898,-0.008269538901848561,0.02891648473518016
68,68,68,68,2019-05-14,66.33000183105469,65.83999633789062,62.86000061035156,0.007442368171610481,0.055202055154477625
69,69,69,69,2019-05-15,65.41000366210938,64.63999938964844,63.369998931884766,0.011912194921589903,0.03219196409356684
70,70,70,70,2019-05-16,68.18000030517578,67.0,63.5,0.01761194485336981,0.0737007922074926
71,71,71,71,2019-05-17,68.0,66.7300033569336,63.790000915527344,0.019031868412673347,0.06599778999921413
72,72,72,72,2019-05-20,65.43000030517578,63.72999954223633,64.26000213623047,0.02667504746823046,0.01820725381342081
73,73,73,73,2019-05-21,67.83999633789062,64.76000213623047,65.30000305175781,0.04756013125479863,0.03889729199736136
74,74,74,74,2019-05-22,68.30000305175781,66.33000183105469,65.83999633789062,0.029700002507474732,0.037363409032443506
75,75,75,75,2019-05-23,67.02999877929688,65.41000366210938,64.63999938964844,0.02476677918496928,0.036974000807790564
76,76,76,76,2019-05-24,67.12999725341797,68.18000030517578,67.0,-0.015400455368993371,0.0019402575137010825
77,77,77,77,2019-05-28,68.51000213623047,68.0,66.7300033569336,0.007500031415153874,0.02667463943881132
78,78,78,78,2019-05-29,68.0199966430664,65.43000030517578,63.72999954223633,0.039584232398142793,0.06731519114458706
79,79,79,79,2019-05-30,68.05000305175781,67.83999633789062,64.76000213623047,0.003095618001233369,0.05080297725448535
80,80,80,80,2019-05-31,66.77999877929688,68.30000305175781,66.33000183105469,-0.022254819978691276,0.006784214319612847
81,81,81,81,2019-06-03,67.45999908447266,67.02999877929688,65.41000366210938,0.00641504271231752,0.031340701843604934
82,82,82,82,2019-06-04,67.62999725341797,67.12999725341797,68.18000030517578,0.007448235073099774,-0.008066926507714567
83,83,83,83,2019-06-05,68.0,68.51000213623047,68.0,-0.007444199683665831,0.0
84,84,84,84,2019-06-06,67.97000122070312,68.0199966430664,65.43000030517578,-0.0007350106561403447,0.03882012690937464
85,85,85,85,2019-06-07,69.18000030517578,68.05000305175781,67.83999633789062,0.016605396072627787,0.01975241803686134
86,86,86,86,2019-06-10,71.91000366210938,66.77999877929688,68.30000305175781,0.0768194815301928,0.05285505781919064
87,87,87,87,2019-06-11,70.43000030517578,67.45999908447266,67.02999877929688,0.04402610822724928,0.050723580304301574
88,88,88,88,2019-06-12,70.3499984741211,67.62999725341797,67.12999725341797,0.040218857476970626,0.047966652054930226
89,89,89,89,2019-06-13,71.11000061035156,68.0,68.51000213623047,0.045735303093405344,0.037950640680919356
90,90,90,90,2019-06-14,70.66999816894531,67.97000122070312,68.0199966430664,0.03972336177360236,0.03895915402326078
91,91,91,91,2019-06-17,68.16999816894531,69.18000030517578,68.05000305175781,-0.01459962607364873,0.0017633374255139334
92,92,92,92,2019-06-18,66.04000091552734,71.91000366210938,66.77999877929688,-0.0816298490841969,-0.011081130238039805
93,93,93,93,2019-06-19,69.9000015258789,70.43000030517578,67.45999908447266,-0.007525184963799059,0.036169618655803815
94,94,94,94,2019-06-20,73.20999908447266,70.3499984741211,67.62999725341797,0.04065388304739814,0.08250779325253754
95,95,95,95,2019-06-21,73.30000305175781,71.11000061035156,68.0,0.03079739027716233,0.07794122134937953
96,96,96,96,2019-06-24,73.20999908447266,70.66999816894531,67.97000122070312,0.03594171474937857,0.07709280226073423
97,97,97,97,2019-06-25,68.83000183105469,68.16999816894531,69.18000030517578,0.009681732137848842,-0.005059243604757624
98,98,98,98,2019-06-26,66.87000274658203,66.04000091552734,71.91000366210938,0.012568168073110009,-0.07008761867415958
99,99,99,99,2019-06-27,66.88999938964844,69.9000015258789,70.43000030517578,-0.04306154607330137,-0.05026268493807173
100,100,100,100,2019-06-28,64.20999908447266,73.20999908447266,70.3499984741211,-0.12293402694371625,-0.08727788945023351
101,101,101,101,2019-07-01,64.55000305175781,73.30000305175781,71.11000061035156,-0.119372437049171,-0.09225140630414796
102,102,102,102,2019-07-02,63.79999923706055,73.20999908447266,70.66999816894531,-0.1285343527535695,-0.09721238304635571
103,103,103,103,2019-07-03,64.31999969482422,68.83000183105469,68.16999816894531,-0.06552378347018506,-0.056476435052552953
104,104,104,104,2019-07-05,64.05999755859375,66.87000274658203,66.04000091552734,-0.04202190926531568,-0.029981879610605167
105,105,105,105,2019-07-08,62.310001373291016,66.88999938964844,69.9000015258789,-0.06847059438105185,-0.10858369079974717
106,106,106,106,2019-07-09,62.959999084472656,64.20999908447266,73.20999908447266,-0.01946737296095491,-0.14000819735256564
107,107,107,107,2019-07-10,63.29999923706055,64.55000305175781,73.30000305175781,-0.019364891643691817,-0.1364256943841622
108,108,108,108,2019-07-11,62.91999816894531,63.79999923706055,73.20999908447266,-0.013793120354836264,-0.1405545833111448
109,109,109,109,2019-07-12,64.5,64.31999969482422,68.83000183105469,0.002798512220612892,-0.0629086403583543
110,110,110,110,2019-07-15,63.77999877929688,64.05999755859375,66.87000274658203,-0.004370883390071301,-0.04620911979016018
111,111,111,111,2019-07-16,63.900001525878906,62.310001373291016,66.88999938964844,0.02551757530965859,-0.04470022262000872
112,112,112,112,2019-07-17,64.81999969482422,62.959999084472656,64.20999908447266,0.029542576832887635,0.009500087510499133
113,113,113,113,2019-07-18,65.76000213623047,63.29999923706055,64.55000305175781,0.038862605510580295,0.01874514372218461
114,114,114,114,2019-07-19,65.91999816894531,62.91999816894531,63.79999923706055,0.04767959452167747,0.03322882378113401
