,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HBAN,HBAN_6m,HBAN_12m,HBAN_6m_ret,HBAN_12m_ret
0,0,0,0,2019-02-05,10.463391304016112,,,,
1,1,1,1,2019-02-06,10.526328086853027,,,,
2,2,2,2,2019-02-07,10.982625961303713,,,,
3,3,3,3,2019-02-08,10.715142250061035,,,,
4,4,4,4,2019-02-11,10.801678657531738,,,,
5,5,5,5,2019-02-12,10.903953552246094,,,,
6,6,6,6,2019-02-13,10.927555084228516,10.463391304016112,,0.044360739909846014,
7,7,7,7,2019-02-14,10.770212173461914,10.526328086853027,,0.023168961160681345,
8,8,8,8,2019-02-15,11.02196216583252,10.982625961303713,,0.0035816757000926014,
9,9,9,9,2019-02-19,11.108502388000488,10.715142250061035,,0.036710678100163596,
10,10,10,10,2019-02-20,11.22650909423828,10.801678657531738,,0.0393300384297508,
11,11,11,11,2019-02-21,11.17144012451172,10.903953552246094,,0.024531154776473496,
12,12,12,12,2019-02-22,11.273712158203123,10.927555084228516,10.463391304016112,0.03167744946664319,0.07744342447328623
13,13,13,13,2019-02-25,11.328783988952637,10.770212173461914,10.526328086853027,0.051862656602723156,0.07623322163992263
14,14,14,14,2019-02-26,11.25011157989502,11.02196216583252,10.982625961303713,0.020699527963337738,0.02435534265973982
15,15,15,15,2019-02-27,11.305181503295898,11.108502388000488,10.715142250061035,0.01770527731153604,0.05506592814775768
16,16,16,16,2019-02-28,11.336649894714355,11.22650909423828,10.801678657531738,0.009810779072241038,0.049526675819928645
17,17,17,17,2019-03-01,11.328783988952637,11.17144012451172,10.903953552246094,0.014084474578678563,0.03896113778098709
18,18,18,18,2019-03-04,11.305181503295898,11.273712158203123,10.927555084228516,0.0027913915710431336,0.034557265203119636
19,19,19,19,2019-03-05,11.22650909423828,11.328783988952637,10.770212173461914,-0.009027879321742871,0.04236656747586576
20,20,20,20,2019-03-06,11.037694931030272,11.25011157989502,11.02196216583252,-0.01888129263040872,0.0014274014881419106
21,21,21,21,2019-03-07,10.770212173461914,11.305181503295898,11.108502388000488,-0.04732072012094812,-0.030453269281734863
22,22,22,22,2019-03-08,10.825281143188477,11.336649894714355,11.22650909423828,-0.04510757201422455,-0.03573933336550028
23,23,23,23,2019-03-11,10.778078079223633,11.328783988952637,11.17144012451172,-0.048611211076672434,-0.035211399864641946
24,24,24,24,2019-03-12,10.793811798095703,11.305181503295898,11.273712158203123,-0.045233214968827484,-0.042568087012779476
25,25,25,25,2019-03-13,10.951156616210938,11.22650909423828,11.328783988952637,-0.02452699015481663,-0.03333344276931627
26,26,26,26,2019-03-14,11.069165229797363,11.037694931030272,11.25011157989502,0.0028511658424821285,-0.016083960484536308
