,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SBUX,SBUX_6m,SBUX_12m,SBUX_6m_ret,SBUX_12m_ret
0,0,0,0,2019-02-05,62.76243209838867,,,,
1,1,1,1,2019-02-06,62.644134521484375,,,,
2,2,2,2,2019-02-07,62.90800476074219,,,,
3,3,3,3,2019-02-08,63.4630126953125,,,,
4,4,4,4,2019-02-11,63.68137741088867,,,,
5,5,5,5,2019-02-12,63.4630126953125,,,,
6,6,6,6,2019-02-13,64.154541015625,62.76243209838867,,0.02218060821884671,
7,7,7,7,2019-02-14,64.45477294921875,62.644134521484375,,0.02890355883380269,
8,8,8,8,2019-02-15,64.33647155761719,62.90800476074219,,0.02270723419551901,
9,9,9,9,2019-02-19,63.87247848510742,63.4630126953125,,0.00645203831971819,
10,10,10,10,2019-02-20,64.04532623291016,63.68137741088867,,0.005715153107841653,
11,11,11,11,2019-02-21,64.32737731933594,63.4630126953125,,0.013619974648434674,
12,12,12,12,2019-02-22,64.87332153320312,64.154541015625,62.76243209838867,0.011203891512575392,0.033633008859588864
13,13,13,13,2019-02-25,64.64584350585938,64.45477294921875,62.644134521484375,0.0029644128417172233,0.03195365375649817
14,14,14,14,2019-02-26,64.72772216796875,64.33647155761719,62.90800476074219,0.006081319054016987,0.0289266431855133
15,15,15,15,2019-02-27,63.826961517333984,63.87247848510742,63.4630126953125,-0.0007126225387362739,0.005734817913054524
16,16,16,16,2019-02-28,63.92705535888672,64.04532623291016,63.68137741088867,-0.0018466745503540327,0.003857924529692136
17,17,17,17,2019-03-01,64.46385955810547,64.32737731933594,63.4630126953125,0.002121682003169534,0.015770553906699236
18,18,18,18,2019-03-04,64.55485534667969,64.87332153320312,64.154541015625,-0.004909047031921188,0.0062398440502784425
19,19,19,19,2019-03-05,65.12809753417969,64.64584350585938,64.45477294921875,0.007459938677675471,0.01044646585740705
20,20,20,20,2019-03-06,64.84603881835938,64.72772216796875,64.33647155761719,0.0018279130861980075,0.007920348262895338
21,21,21,21,2019-03-07,64.2455062866211,63.826961517333984,63.87247848510742,0.00655749168278108,0.005840196127674169
22,22,22,22,2019-03-08,63.1081657409668,63.92705535888672,64.04532623291016,-0.01280975032124776,-0.01463276943168712
23,23,23,23,2019-03-11,63.39934539794922,64.46385955810547,64.32737731933594,-0.016513348214851065,-0.014426702285400994
24,24,24,24,2019-03-12,63.73598098754883,64.55485534667969,64.87332153320312,-0.012684938332419016,-0.0175317144054693
25,25,25,25,2019-03-13,63.78147888183594,65.12809753417969,64.64584350585938,-0.02067646228476172,-0.013370768747801853
26,26,26,26,2019-03-14,64.36378479003906,64.84603881835938,64.72772216796875,-0.0074369080534149035,-0.00562258898876844
27,27,27,27,2019-03-15,64.30008697509766,64.2455062866211,63.826961517333984,0.0008495642984438501,0.007412626992046034
28,28,28,28,2019-03-18,64.45477294921875,63.1081657409668,63.92705535888672,0.021338081885935667,0.00825499606339486
29,29,29,29,2019-03-19,64.94610595703125,63.39934539794922,64.46385955810547,0.024397106143182024,0.007480880019153924
30,30,30,30,2019-03-20,65.1735610961914,63.73598098754883,64.55485534667969,0.022555236247535193,0.009584186134243167
31,31,31,31,2019-03-21,65.74678802490234,63.78147888183594,65.12809753417969,0.03081316359420594,0.009499594094514396
32,32,32,32,2019-03-22,65.47383117675781,64.36378479003906,64.84603881835938,0.01724644363813943,0.00968127536913932
33,33,33,33,2019-03-25,65.78317260742188,64.30008697509766,64.2455062866211,0.023065064171664318,0.023934223725169623
34,34,34,34,2019-03-26,66.38369750976562,64.45477294921875,63.1081657409668,0.029926791644531825,0.0519034538611618
35,35,35,35,2019-03-27,66.18352508544922,64.94610595703125,63.39934539794922,0.019053014960383585,0.04391495953190172
36,36,36,36,2019-03-28,67.29356384277344,65.1735610961914,63.73598098754883,0.03252857003552512,0.05581749586500595
37,37,37,37,2019-03-29,67.63928985595703,65.74678802490234,63.78147888183594,0.028784703981856508,0.06048481536886641
38,38,38,38,2019-04-01,67.29356384277344,65.47383117675781,64.36378479003906,0.02779328219090993,0.045519061103873826
39,39,39,39,2019-04-02,67.57561492919922,65.78317260742188,64.30008697509766,0.02724773297989458,0.0509412678612724
40,40,40,40,2019-04-03,67.63019561767578,66.38369750976562,64.45477294921875,0.01877717202671314,0.049265904186161835
41,41,41,41,2019-04-04,67.64840698242188,66.18352508544922,64.94610595703125,0.02213363363588372,0.041608361049059406
