,Unnamed: 0.1,Unnamed: 0,Date,EXC,EXC_6m,EXC_12m
0,0,0,2019-02-05,28.48693084716797,,
1,1,1,2019-02-06,28.5050048828125,,
2,2,2,2019-02-07,28.992944717407227,,
3,3,3,2019-02-08,28.745960235595703,,
4,4,4,2019-02-11,28.79414939880371,,
5,5,5,2019-02-12,28.86644172668457,,
6,6,6,2019-02-13,28.854393005371094,28.48693084716797,
7,7,7,2019-02-14,28.830291748046875,28.5050048828125,
8,8,8,2019-02-15,29.07124900817871,28.992944717407227,
9,9,9,2019-02-19,29.224815368652344,28.745960235595703,
10,10,10,2019-02-20,29.21267509460449,28.79414939880371,
11,11,11,2019-02-21,29.4311752319336,28.86644172668457,
12,12,12,2019-02-22,29.58291244506836,28.854393005371094,28.48693084716797
13,13,13,2019-02-25,29.38868522644043,28.830291748046875,28.5050048828125
14,14,14,2019-02-26,29.473663330078125,29.07124900817871,28.992944717407227
15,15,15,2019-02-27,29.31584930419922,29.224815368652344,28.745960235595703
16,16,16,2019-02-28,29.49186897277832,29.21267509460449,28.79414939880371
17,17,17,2019-03-01,29.46151733398437,29.4311752319336,28.86644172668457
18,18,18,2019-03-04,29.40689468383789,29.58291244506836,28.854393005371094
19,19,19,2019-03-05,29.38868522644043,29.38868522644043,28.830291748046875
20,20,20,2019-03-06,29.39475440979004,29.473663330078125,29.07124900817871
21,21,21,2019-03-07,29.467592239379883,29.31584930419922,29.224815368652344
22,22,22,2019-03-08,29.60719490051269,29.49186897277832,29.21267509460449
23,23,23,2019-03-11,29.78927421569824,29.46151733398437,29.4311752319336
24,24,24,2019-03-12,30.019916534423828,29.40689468383789,29.58291244506836
25,25,25,2019-03-13,30.12310028076172,29.38868522644043,29.38868522644043
26,26,26,2019-03-14,30.117033004760746,29.39475440979004,29.473663330078125
27,27,27,2019-03-15,30.34767341613769,29.467592239379883,29.31584930419922
28,28,28,2019-03-18,30.14737701416016,29.60719490051269,29.49186897277832
29,29,29,2019-03-19,29.78927421569824,29.78927421569824,29.46151733398437
30,30,30,2019-03-20,29.801414489746094,30.019916534423828,29.40689468383789
31,31,31,2019-03-21,30.14130973815918,30.12310028076172,29.38868522644043
32,32,32,2019-03-22,30.51761817932129,30.117033004760746,29.39475440979004
33,33,33,2019-03-25,30.57831382751465,30.34767341613769,29.467592239379883
34,34,34,2019-03-26,30.760398864746094,30.14737701416016,29.60719490051269
35,35,35,2019-03-27,30.669357299804688,29.78927421569824,29.78927421569824
36,36,36,2019-03-28,30.202003479003903,29.801414489746094,30.019916534423828
37,37,37,2019-03-29,30.42658042907715,30.14130973815918,30.12310028076172
38,38,38,2019-04-01,30.25057029724121,30.51761817932129,30.117033004760746
