,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GEN,GEN_6m,GEN_12m,GEN_6m_ret,GEN_12m_ret
0,0,0,0,2019-02-05,11.845815658569336,,,,
1,1,1,1,2019-02-06,11.897775650024414,,,,
2,2,2,2,2019-02-07,11.72112274169922,,,,
3,3,3,3,2019-02-08,11.773077011108398,,,,
4,4,4,4,2019-02-11,11.648386001586914,,,,
5,5,5,5,2019-02-12,12.162742614746094,,,,
6,6,6,6,2019-02-13,11.960118293762209,11.845815658569336,,0.009649199218306759,
7,7,7,7,2019-02-14,11.9808988571167,11.897775650024414,,0.006986449361407798,
8,8,8,8,2019-02-15,12.06690502166748,11.72112274169922,,0.029500781417304056,
9,9,9,9,2019-02-19,11.983505249023438,11.773077011108398,,0.017873682276646097,
10,10,10,10,2019-02-20,11.712457656860352,11.648386001586914,,0.005500474938305411,
11,11,11,11,2019-02-21,11.644698143005373,12.162742614746094,,-0.04259273489127724,
12,12,12,12,2019-02-22,11.816706657409668,11.960118293762209,11.845815658569336,-0.01199082089575465,-0.0024573234970620694
13,13,13,13,2019-02-25,11.801070213317873,11.9808988571167,11.897775650024414,-0.015009612045260523,-0.00812802657834133
14,14,14,14,2019-02-26,11.87925624847412,12.06690502166748,11.72112274169922,-0.015550696127666241,0.01349132760228855
15,15,15,15,2019-02-27,11.806282997131348,11.983505249023438,11.773077011108398,-0.01478884918972534,0.002820501895266503
16,16,16,16,2019-02-28,11.722883224487305,11.712457656860352,11.648386001586914,0.000890126387850465,0.006395497444044329
17,17,17,17,2019-03-01,11.743732452392578,11.644698143005373,12.162742614746094,0.00850466952178519,-0.03445030250377146
18,18,18,18,2019-03-04,11.51438331604004,11.816706657409668,11.960118293762209,-0.02558439928607814,-0.037268442232267995
19,19,19,19,2019-03-05,11.540446281433104,11.801070213317873,11.9808988571167,-0.022084770887190075,-0.036762899089325396
20,20,20,20,2019-03-06,11.451833724975586,11.87925624847412,12.06690502166748,-0.035980579470489604,-0.05097175254031294
21,21,21,21,2019-03-07,11.410134315490724,11.806282997131348,11.983505249023438,-0.0335540560680172,-0.04784667938284903
22,22,22,22,2019-03-08,11.441407203674316,11.722883224487305,11.712457656860352,-0.02401081844993802,-0.023142064725183653
23,23,23,23,2019-03-11,11.665544509887695,11.743732452392578,11.644698143005373,-0.006657844328610607,0.0017902024274321082
24,24,24,24,2019-03-12,11.707246780395508,11.51438331604004,11.816706657409668,0.016749786685214874,-0.009263145831374553
25,25,25,25,2019-03-13,11.962658882141112,11.540446281433104,11.801070213317873,0.03658546562339504,0.013692713110110999
26,26,26,26,2019-03-14,11.952231407165527,11.451833724975586,11.87925624847412,0.04369585641979867,0.006143074714865415
27,27,27,27,2019-03-15,11.999144554138184,11.410134315490724,11.806282997131348,0.05162167441340304,0.016335501787793527
28,28,28,28,2019-03-18,12.02520751953125,11.441407203674316,11.722883224487305,0.0510252196661134,0.02578924393040416
29,29,29,29,2019-03-19,12.098182678222656,11.665544509887695,11.743732452392578,0.03708683876421359,0.030182076036470384
30,30,30,30,2019-03-20,12.061695098876951,11.707246780395508,11.51438331604004,0.030275975652532372,0.047532878471614026
31,31,31,31,2019-03-21,12.296256065368652,11.962658882141112,11.540446281433104,0.02788654148832781,0.06549224921669938
32,32,32,32,2019-03-22,11.915746688842772,11.952231407165527,11.451833724975586,-0.003052544506533139,0.040509928366793124
33,33,33,33,2019-03-25,11.926169395446776,11.999144554138184,11.410134315490724,-0.00608169677114534,0.0452260302716565
34,34,34,34,2019-03-26,12.10860824584961,12.02520751953125,11.441407203674316,0.006935491648098369,0.05831459629904856
35,35,35,35,2019-03-27,11.905320167541504,12.098182678222656,11.665544509887695,-0.01594144474511161,0.02055417622817135
36,36,36,36,2019-03-28,11.957443237304688,12.061695098876951,11.707246780395508,-0.008643218114672058,0.02137107567666119
37,37,37,37,2019-03-29,11.983505249023438,12.296256065368652,11.962658882141112,-0.025434637558179207,0.001742619854641747
38,38,38,38,2019-04-01,12.08775520324707,11.915746688842772,11.952231407165527,0.01443539535506888,0.011338786161745107
39,39,39,39,2019-04-02,12.06690502166748,11.926169395446776,11.999144554138184,0.011800572468342985,0.005647108193719275
40,40,40,40,2019-04-03,12.160734176635742,12.10860824584961,12.02520751953125,0.004304865573960592,0.011270213581293431
41,41,41,41,2019-04-04,12.009570121765137,11.905320167541504,12.098182678222656,0.008756585522820215,-0.007324451846559277
42,42,42,42,2019-04-05,11.983505249023438,11.957443237304688,12.061695098876951,0.0021795639085655516,-0.006482492652363114
43,43,43,43,2019-04-08,12.635068893432615,11.983505249023438,12.296256065368652,0.05437170768229738,0.027554145445799483
44,44,44,44,2019-04-09,12.447416305541992,12.08775520324707,11.915746688842772,0.029754168267595915,0.044619076805068936
45,45,45,45,2019-04-10,12.374444007873535,12.06690502166748,11.926169395446776,0.025486152882933544,0.037587476545310805
46,46,46,46,2019-04-11,12.457843780517578,12.160734176635742,12.10860824584961,0.024431880474179657,0.02884192200930058
47,47,47,47,2019-04-12,12.489118576049805,12.009570121765137,11.905320167541504,0.039930526190573135,0.04903676678095237
48,48,48,48,2019-04-15,12.723677635192873,11.983505249023438,11.957443237304688,0.06176593332153413,0.06408012002914609
49,49,49,49,2019-04-16,12.666342735290527,12.635068893432615,11.983505249023438,0.0024751619576974804,0.05698144842242514
50,50,50,50,2019-04-17,12.754955291748049,12.447416305541992,12.08775520324707,0.024707053950556057,0.05519636005879347
51,51,51,51,2019-04-18,12.718467712402344,12.374444007873535,12.06690502166748,0.02780114438353065,0.053995841482543216
52,52,52,52,2019-04-22,12.64549160003662,12.457843780517578,12.160734176635742,0.015062624224947863,0.03986251293381904
53,53,53,53,2019-04-23,12.661131858825684,12.489118576049805,12.009570121765137,0.013773052255724894,0.054253543670119475
54,54,54,54,2019-04-24,12.640278816223145,12.723677635192873,11.983505249023438,-0.006554615839924449,0.05480646551669244
55,55,55,55,2019-04-25,12.577729225158691,12.666342735290527,12.635068893432615,-0.006995982343422913,-0.004538136575078511
56,56,56,56,2019-04-26,12.635068893432615,12.754955291748049,12.447416305541992,-0.009399201766939536,0.015075625598468534
