,Unnamed: 0.1,Unnamed: 0,Date,LOW,LOW_6m,LOW_12m
0,0,0,2019-02-05,89.61607360839844,,
1,1,1,2019-02-06,88.7847671508789,,
2,2,2,2019-02-07,88.50157928466797,,
3,3,3,2019-02-08,88.76649475097656,,
4,4,4,2019-02-11,88.50157928466797,,
5,5,5,2019-02-12,90.86758422851562,,
6,6,6,2019-02-13,92.68549346923828,89.61607360839844,
7,7,7,2019-02-14,92.73117065429688,88.7847671508789,
8,8,8,2019-02-15,95.22506713867188,88.50157928466797,
9,9,9,2019-02-19,95.97415924072266,88.76649475097656,
10,10,10,2019-02-20,96.5222625732422,88.50157928466797,
11,11,11,2019-02-21,96.39435577392578,90.86758422851562,
12,12,12,2019-02-22,97.07950592041016,92.68549346923828,89.61607360839844
13,13,13,2019-02-25,95.92848205566406,92.73117065429688,88.7847671508789
14,14,14,2019-02-26,95.9467315673828,95.22506713867188,88.50157928466797
15,15,15,2019-02-27,98.3127670288086,95.97415924072266,88.76649475097656
16,16,16,2019-02-28,96.00155639648438,96.5222625732422,88.50157928466797
17,17,17,2019-03-01,94.96927642822266,96.39435577392578,90.86758422851562
18,18,18,2019-03-04,94.26588439941406,97.07950592041016,92.68549346923828
19,19,19,2019-03-05,94.10144805908205,95.92848205566406,92.73117065429688
20,20,20,2019-03-06,93.4893798828125,95.9467315673828,95.22506713867188
21,21,21,2019-03-07,92.00035095214844,98.3127670288086,95.97415924072266
22,22,22,2019-03-08,90.73970794677734,96.00155639648438,96.5222625732422
23,23,23,2019-03-11,91.7171630859375,94.96927642822266,96.39435577392578
24,24,24,2019-03-12,92.13738250732422,94.26588439941406,97.07950592041016
25,25,25,2019-03-13,92.42057037353516,94.10144805908205,95.92848205566406
26,26,26,2019-03-14,92.09171295166016,93.4893798828125,95.9467315673828
27,27,27,2019-03-15,91.47964477539062,92.00035095214844,98.3127670288086
28,28,28,2019-03-18,93.06917572021484,90.73970794677734,96.00155639648438
29,29,29,2019-03-19,94.5033721923828,91.7171630859375,94.96927642822266
30,30,30,2019-03-20,94.63128662109376,92.13738250732422,94.26588439941406
31,31,31,2019-03-21,97.15260314941406,92.42057037353516,94.10144805908205
32,32,32,2019-03-22,95.87366485595705,92.09171295166016,93.4893798828125
33,33,33,2019-03-25,96.86026763916016,91.47964477539062,92.00035095214844
34,34,34,2019-03-26,96.79631042480467,93.06917572021484,90.73970794677734
35,35,35,2019-03-27,98.1026382446289,94.5033721923828,91.7171630859375
36,36,36,2019-03-28,98.9979019165039,94.63128662109376,92.13738250732422
37,37,37,2019-03-29,100.00275421142578,97.15260314941406,92.42057037353516
38,38,38,2019-04-01,99.50946044921876,95.87366485595705,92.09171295166016
39,39,39,2019-04-02,100.40471649169922,96.86026763916016,91.47964477539062
40,40,40,2019-04-03,102.25001525878906,96.79631042480467,93.06917572021484
41,41,41,2019-04-04,103.5197982788086,98.1026382446289,94.5033721923828
42,42,42,2019-04-05,105.0362548828125,98.9979019165039,94.63128662109376
43,43,43,2019-04-08,105.77619171142578,100.00275421142578,97.15260314941406
44,44,44,2019-04-09,103.35536193847656,99.50946044921876,95.87366485595705
45,45,45,2019-04-10,103.92176818847656,100.40471649169922,96.86026763916016
46,46,46,2019-04-11,105.17327117919922,102.25001525878906,96.79631042480467
47,47,47,2019-04-12,106.20555114746094,103.5197982788086,98.1026382446289
48,48,48,2019-04-15,107.04597473144533,105.0362548828125,98.9979019165039
49,49,49,2019-04-16,106.90895080566406,105.77619171142578,100.00275421142578
50,50,50,2019-04-17,106.99117279052734,103.35536193847656,99.50946044921876
51,51,51,2019-04-18,103.90348815917967,103.92176818847656,100.40471649169922
52,52,52,2019-04-22,103.62029266357422,105.17327117919922,102.25001525878906
53,53,53,2019-04-23,104.16155242919922,106.20555114746094,103.5197982788086
54,54,54,2019-04-24,104.55604553222656,107.04597473144533,105.0362548828125
55,55,55,2019-04-25,104.2165985107422,106.90895080566406,105.77619171142578
56,56,56,2019-04-26,103.18911743164062,106.99117279052734,103.35536193847656
57,57,57,2019-04-29,102.95057678222656,103.90348815917967,103.92176818847656
58,58,58,2019-04-30,103.79459381103516,103.62029266357422,105.17327117919922
59,59,59,2019-05-01,101.55613708496094,104.16155242919922,106.20555114746094
60,60,60,2019-05-02,102.84967041015624,104.55604553222656,107.04597473144533
61,61,61,2019-05-03,103.07903289794922,104.2165985107422,106.90895080566406
62,62,62,2019-05-06,102.15245819091795,103.18911743164062,106.99117279052734
63,63,63,2019-05-07,98.2718734741211,102.95057678222656,103.90348815917967
64,64,64,2019-05-08,97.9140625,103.79459381103516,103.62029266357422
65,65,65,2019-05-09,97.51039123535156,101.55613708496094,104.16155242919922
66,66,66,2019-05-10,97.83151245117188,102.84967041015624,104.55604553222656
67,67,67,2019-05-13,96.01504516601562,103.07903289794922,104.2165985107422
68,68,68,2019-05-14,97.01502227783205,102.15245819091795,103.18911743164062
69,69,69,2019-05-15,98.73056030273438,98.2718734741211,102.95057678222656
70,70,70,2019-05-16,99.62041473388672,97.9140625,103.79459381103516
71,71,71,2019-05-17,100.01490783691406,97.51039123535156,101.55613708496094
72,72,72,2019-05-20,100.18003845214844,97.83151245117188,102.84967041015624
73,73,73,2019-05-21,101.923095703125,96.01504516601562,103.07903289794922
74,74,74,2019-05-22,89.85013580322266,97.01502227783205,102.15245819091795
75,75,75,2019-05-23,86.96947479248047,98.73056030273438,98.2718734741211
76,76,76,2019-05-24,87.49239349365234,99.62041473388672,97.9140625
77,77,77,2019-05-28,84.28150177001953,100.01490783691406,97.51039123535156
78,78,78,2019-05-29,85.5291748046875,100.18003845214844,97.83151245117188
79,79,79,2019-05-30,86.12548065185547,101.923095703125,96.01504516601562
80,80,80,2019-05-31,85.57504272460938,89.85013580322266,97.01502227783205
81,81,81,2019-06-03,86.0887680053711,86.96947479248047,98.73056030273438
82,82,82,2019-06-04,88.8318099975586,87.49239349365234,99.62041473388672
83,83,83,2019-06-05,88.29971313476562,84.28150177001953,100.01490783691406
84,84,84,2019-06-06,88.29055786132812,85.5291748046875,100.18003845214844
85,85,85,2019-06-07,88.76760864257812,86.12548065185547,101.923095703125
86,86,86,2019-06-10,88.35477447509766,85.57504272460938,89.85013580322266
87,87,87,2019-06-11,88.3914566040039,86.0887680053711,86.96947479248047
88,88,88,2019-06-12,88.37310791015625,88.8318099975586,87.49239349365234
89,89,89,2019-06-13,90.47395324707033,88.29971313476562,84.28150177001953
90,90,90,2019-06-14,91.4005355834961,88.29055786132812,85.5291748046875
91,91,91,2019-06-17,91.81336212158205,88.76760864257812,86.12548065185547
92,92,92,2019-06-18,91.1069564819336,88.35477447509766,85.57504272460938
93,93,93,2019-06-19,90.57486724853516,88.3914566040039,86.0887680053711
94,94,94,2019-06-20,93.06103515625,88.37310791015625,88.8318099975586
95,95,95,2019-06-21,92.51057434082033,90.47395324707033,88.29971313476562
96,96,96,2019-06-24,90.84093475341795,91.4005355834961,88.29055786132812
97,97,97,2019-06-25,90.10699462890624,91.81336212158205,88.76760864257812
98,98,98,2019-06-26,91.04275512695312,91.1069564819336,88.35477447509766
99,99,99,2019-06-27,91.15283203125,90.57486724853516,88.3914566040039
100,100,100,2019-06-28,92.5748062133789,93.06103515625,88.37310791015625
101,101,101,2019-07-01,93.75826263427734,92.51057434082033,90.47395324707033
102,102,102,2019-07-02,94.2077865600586,90.84093475341795,91.4005355834961
103,103,103,2019-07-03,94.6297836303711,90.10699462890624,91.81336212158205
104,104,104,2019-07-05,95.61138153076172,91.04275512695312,91.1069564819336
105,105,105,2019-07-08,96.01504516601562,91.15283203125,90.57486724853516
106,106,106,2019-07-09,96.1985321044922,92.5748062133789,93.06103515625
107,107,107,2019-07-10,94.56554412841795,93.75826263427734,92.51057434082033
108,108,108,2019-07-11,96.20770263671876,94.2077865600586,90.84093475341795
109,109,109,2019-07-12,98.52871704101562,94.6297836303711,90.10699462890624
110,110,110,2019-07-15,99.05165100097656,95.61138153076172,91.04275512695312
111,111,111,2019-07-16,97.70306396484376,96.01504516601562,91.15283203125
112,112,112,2019-07-17,96.2627410888672,96.1985321044922,92.5748062133789
113,113,113,2019-07-18,95.1802215576172,94.56554412841795,93.75826263427734
114,114,114,2019-07-19,94.03348541259766,96.20770263671876,94.2077865600586
115,115,115,2019-07-22,94.07933044433594,98.52871704101562,94.6297836303711
116,116,116,2019-07-23,94.63273620605467,99.05165100097656,95.61138153076172
117,117,117,2019-07-24,94.81720733642578,97.70306396484376,96.01504516601562
118,118,118,2019-07-25,94.12543487548828,96.2627410888672,96.1985321044922
119,119,119,2019-07-26,95.4905242919922,95.1802215576172,94.56554412841795
120,120,120,2019-07-29,95.88712310791016,94.03348541259766,96.20770263671876
121,121,121,2019-07-30,95.71187591552734,94.07933044433594,98.52871704101562
122,122,122,2019-07-31,93.52593231201172,94.63273620605467,99.05165100097656
123,123,123,2019-08-01,91.76423645019533,94.81720733642578,97.70306396484376
124,124,124,2019-08-02,91.52444458007812,94.12543487548828,96.2627410888672
125,125,125,2019-08-05,89.50452423095703,95.4905242919922,95.1802215576172
126,126,126,2019-08-06,90.316162109375,95.88712310791016,94.03348541259766
127,127,127,2019-08-07,90.74044799804688,95.71187591552734,94.07933044433594
128,128,128,2019-08-08,92.66814422607422,93.52593231201172,94.63273620605467
129,129,129,2019-08-09,90.8972396850586,91.76423645019533,94.81720733642578
130,130,130,2019-08-12,88.6190414428711,91.52444458007812,94.12543487548828
131,131,131,2019-08-13,89.08023834228516,89.50452423095703,95.4905242919922
132,132,132,2019-08-14,86.32238006591797,90.316162109375,95.88712310791016
133,133,133,2019-08-15,86.12871551513672,90.74044799804688,95.71187591552734
134,134,134,2019-08-16,86.62677001953125,92.66814422607422,93.52593231201172
135,135,135,2019-08-19,87.66902923583984,90.8972396850586,91.76423645019533
136,136,136,2019-08-20,90.27002716064452,88.6190414428711,91.52444458007812
137,137,137,2019-08-21,99.61341094970705,89.08023834228516,89.50452423095703
138,138,138,2019-08-22,99.76099395751952,86.32238006591797,90.316162109375
139,139,139,2019-08-23,98.12842559814452,86.12871551513672,90.74044799804688
140,140,140,2019-08-26,98.13765716552734,86.62677001953125,92.66814422607422
141,141,141,2019-08-27,97.80563354492188,87.66902923583984,90.8972396850586
142,142,142,2019-08-28,99.7794418334961,90.27002716064452,88.6190414428711
143,143,143,2019-08-29,103.84696197509766,99.61341094970705,89.08023834228516
144,144,144,2019-08-30,103.4872589111328,99.76099395751952,86.32238006591797
145,145,145,2019-09-03,102.54647827148438,98.12842559814452,86.12871551513672
146,146,146,2019-09-04,103.22899627685548,98.13765716552734,86.62677001953125
147,147,147,2019-09-05,105.3411865234375,97.80563354492188,87.66902923583984
148,148,148,2019-09-06,105.80235290527344,99.7794418334961,90.27002716064452
149,149,149,2019-09-09,105.87613677978516,103.84696197509766,99.61341094970705
150,150,150,2019-09-10,106.32809448242188,103.4872589111328,99.76099395751952
151,151,151,2019-09-11,104.67709350585938,102.54647827148438,98.12842559814452
152,152,152,2019-09-12,105.03681182861328,103.22899627685548,98.13765716552734
153,153,153,2019-09-13,104.55718231201172,105.3411865234375,97.80563354492188
154,154,154,2019-09-16,103.88385772705078,105.80235290527344,99.7794418334961
155,155,155,2019-09-17,103.97610473632812,105.87613677978516,103.84696197509766
156,156,156,2019-09-18,103.85620880126952,106.32809448242188,103.4872589111328
157,157,157,2019-09-19,103.1829071044922,104.67709350585938,102.54647827148438
158,158,158,2019-09-20,102.3435516357422,105.03681182861328,103.22899627685548
159,159,159,2019-09-23,101.86392974853516,104.55718231201172,105.3411865234375
160,160,160,2019-09-24,101.4765396118164,103.88385772705078,105.80235290527344
161,161,161,2019-09-25,102.14987182617188,103.97610473632812,105.87613677978516
162,162,162,2019-09-26,102.1221923828125,103.85620880126952,106.32809448242188
163,163,163,2019-09-27,101.0338134765625,103.1829071044922,104.67709350585938
164,164,164,2019-09-30,101.42120361328124,102.3435516357422,105.03681182861328
165,165,165,2019-10-01,101.015380859375,101.86392974853516,104.55718231201172
166,166,166,2019-10-02,98.09153747558594,101.4765396118164,103.88385772705078
167,167,167,2019-10-03,98.1099853515625,102.14987182617188,103.97610473632812
168,168,168,2019-10-04,99.07844543457033,102.1221923828125,103.85620880126952
169,169,169,2019-10-07,99.82556915283205,101.0338134765625,103.1829071044922
170,170,170,2019-10-08,98.22989654541016,101.42120361328124,102.3435516357422
171,171,171,2019-10-09,98.04542541503906,101.015380859375,101.86392974853516
172,172,172,2019-10-10,99.78866577148438,98.09153747558594,101.4765396118164
173,173,173,2019-10-11,102.20519256591795,98.1099853515625,102.14987182617188
174,174,174,2019-10-14,102.07608795166016,99.07844543457033,102.1221923828125
175,175,175,2019-10-15,103.690185546875,99.82556915283205,101.0338134765625
176,176,176,2019-10-16,103.60718536376952,98.22989654541016,101.42120361328124
177,177,177,2019-10-17,103.85620880126952,98.04542541503906,101.015380859375
178,178,178,2019-10-18,104.07756805419922,99.78866577148438,98.09153747558594
179,179,179,2019-10-21,103.25667572021484,102.20519256591795,98.1099853515625
180,180,180,2019-10-22,104.24847412109376,102.07608795166016,99.07844543457033
181,181,181,2019-10-23,103.35865020751952,103.690185546875,99.82556915283205
182,182,182,2019-10-24,102.7654266357422,103.60718536376952,98.22989654541016
183,183,183,2019-10-25,103.42351531982422,103.85620880126952,98.04542541503906
184,184,184,2019-10-28,103.47915649414062,104.07756805419922,99.78866577148438
185,185,185,2019-10-29,101.52337646484376,103.25667572021484,102.20519256591795
186,186,186,2019-10-30,103.14544677734376,104.24847412109376,102.07608795166016
187,187,187,2019-10-31,103.45132446289062,103.35865020751952,103.690185546875
188,188,188,2019-11-01,104.6933822631836,102.7654266357422,103.60718536376952
