,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WBA,WBA_6m,WBA_12m,WBA_6m_ret,WBA_12m_ret
0,0,0,0,2019-02-05,56.860347747802734,,,,
1,1,1,1,2019-02-06,56.98792266845703,,,,
2,2,2,2,2019-02-07,56.77263259887695,,,,
3,3,3,3,2019-02-08,55.91147613525391,,,,
4,4,4,4,2019-02-11,56.190555572509766,,,,
5,5,5,5,2019-02-12,57.05968475341797,,,,
6,6,6,6,2019-02-13,57.753395080566406,56.860347747802734,,0.0157059773310686,
7,7,7,7,2019-02-14,57.84967041015625,56.98792266845703,,0.01512158544035147,
8,8,8,8,2019-02-15,58.90862274169922,56.77263259887695,,0.037623588074802816,
9,9,9,9,2019-02-19,59.71085357666016,55.91147613525391,,0.06795344541101511,
10,10,10,10,2019-02-20,57.60097122192383,56.190555572509766,,0.02510058202919918,
11,11,11,11,2019-02-21,56.533992767333984,57.05968475341797,,-0.009213019461214111,
12,12,12,12,2019-02-22,56.50189971923828,57.753395080566406,56.860347747802734,-0.021669641405189788,-0.006304006970803355
13,13,13,13,2019-02-25,57.2078742980957,57.84967041015625,56.98792266845703,-0.011094205161588433,0.0038596183075192414
14,14,14,14,2019-02-26,57.3442497253418,58.90862274169922,56.77263259887695,-0.026555925831381888,0.010068533028996018
15,15,15,15,2019-02-27,57.256004333496094,59.71085357666016,55.91147613525391,-0.04111227852424515,0.024047445912350307
16,16,16,16,2019-02-28,57.111602783203125,57.60097122192383,56.190555572509766,-0.008495836586422723,0.01639149499963244
17,17,17,17,2019-03-01,53.43732833862305,56.533992767333984,57.05968475341797,-0.054775264882763186,-0.06348363876261931
18,18,18,18,2019-03-04,51.93714141845703,56.50189971923828,57.753395080566406,-0.08078946590227654,-0.1007084285520472
19,19,19,19,2019-03-05,50.86214447021485,57.2078742980957,57.84967041015625,-0.11092406256549348,-0.1207876534196235
20,20,20,20,2019-03-06,49.01697540283203,57.3442497253418,58.90862274169922,-0.1452155074378756,-0.16791510102417073
21,21,21,21,2019-03-07,47.966041564941406,57.256004333496094,59.71085357666016,-0.1622530750564416,-0.19669475996755104
22,22,22,22,2019-03-08,48.054298400878906,57.111602783203125,57.60097122192383,-0.15858956745980224,-0.16573805299677502
23,23,23,23,2019-03-11,48.6800422668457,53.43732833862305,56.533992767333984,-0.08902552241443007,-0.13892439072561646
24,24,24,24,2019-03-12,48.93675994873047,51.93714141845703,56.50189971923828,-0.057769476482205984,-0.133891777234031
25,25,25,25,2019-03-13,49.65877914428711,50.86214447021485,57.2078742980957,-0.023659350946801716,-0.13195902218761313
26,26,26,26,2019-03-14,49.5945930480957,49.01697540283203,57.3442497253418,0.0117840327869414,-0.13514269895175446
27,27,27,27,2019-03-15,50.24441146850586,47.966041564941406,57.256004333496094,0.047499644107170225,-0.12246039426974631
28,28,28,28,2019-03-18,50.605430603027344,48.054298400878906,57.111602783203125,0.05308853291054971,-0.11392032202061197
29,29,29,29,2019-03-19,51.158973693847656,48.6800422668457,53.43732833862305,0.0509229514102183,-0.04263601335639111
30,30,30,30,2019-03-20,50.37276840209961,48.93675994873047,51.93714141845703,0.029344166938587657,-0.030120506705466954
31,31,31,31,2019-03-21,51.022586822509766,49.65877914428711,50.86214447021485,0.027463576465704298,0.003154455125046196
32,32,32,32,2019-03-22,50.06791687011719,49.5945930480957,49.01697540283203,0.009543859379236519,0.021440357318016634
33,33,33,33,2019-03-25,49.49030303955078,50.24441146850586,47.966041564941406,-0.015008802111808328,0.031777929236576075
34,34,34,34,2019-03-26,49.67481994628906,50.605430603027344,48.054298400878906,-0.01838954131303472,0.03372271782830816
35,35,35,35,2019-03-27,49.92351150512695,51.158973693847656,48.6800422668457,-0.024149471725412597,0.02554371730954985
36,36,36,36,2019-03-28,50.14814376831055,50.37276840209961,48.93675994873047,-0.0044592473456293025,0.024754066694427923
37,37,37,37,2019-03-29,50.757843017578125,51.022586822509766,49.65877914428711,-0.005188757007805078,0.022132317633053455
