,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TJX,TJX_6m,TJX_12m,TJX_6m_ret,TJX_12m_ret
0,0,0,0,2019-02-05,45.97026443481445,,,,
1,1,1,1,2019-02-06,45.5406379699707,,,,
2,2,2,2,2019-02-07,45.31648635864258,,,,
3,3,3,3,2019-02-08,45.70874786376953,,,,
4,4,4,4,2019-02-11,45.858192443847656,,,,
5,5,5,5,2019-02-12,46.46527862548828,,,,
6,6,6,6,2019-02-13,46.77938461303711,45.97026443481445,,0.017600946789635863,
7,7,7,7,2019-02-14,46.413700103759766,45.5406379699707,,0.019171056285262278,
8,8,8,8,2019-02-15,47.09818649291992,45.31648635864258,,0.039316819935611536,
9,9,9,9,2019-02-19,47.33259963989258,45.70874786376953,,0.03552606124680513,
10,10,10,10,2019-02-20,47.3607292175293,45.858192443847656,,0.0327648494981887,
11,11,11,11,2019-02-21,47.004425048828125,46.46527862548828,,0.011603210812214826,
12,12,12,12,2019-02-22,47.2107048034668,46.77938461303711,45.97026443481445,0.009220304927001655,0.026983537813041636
13,13,13,13,2019-02-25,46.31993865966797,46.413700103759766,45.5406379699707,-0.0020201243142043968,0.017112204054127167
14,14,14,14,2019-02-26,46.61999130249024,47.09818649291992,45.31648635864258,-0.010153155058349572,0.028764475108054466
15,15,15,15,2019-02-27,48.345252990722656,47.33259963989258,45.70874786376953,0.02139441650224927,0.05768053710005305
16,16,16,16,2019-02-28,48.09209442138672,47.3607292175293,45.858192443847656,0.015442439673980513,0.048713258383972
17,17,17,17,2019-03-01,48.77657699584961,47.004425048828125,46.46527862548828,0.03770181095036418,0.049742483823038475
18,18,18,18,2019-03-04,48.2046127319336,47.2107048034668,46.77938461303711,0.02105259670670745,0.030467012994850107
19,19,19,19,2019-03-05,48.43903350830078,46.31993865966797,46.413700103759766,0.045749085813836965,0.04363654265902728
20,20,20,20,2019-03-06,48.69219207763672,46.61999130249024,47.09818649291992,0.044448759368082236,0.03384430916371728
21,21,21,21,2019-03-07,48.52341842651367,48.345252990722656,47.33259963989258,0.0036852725918137264,0.025158533350816636
22,22,22,22,2019-03-08,47.55764389038086,48.09209442138672,47.3607292175293,-0.011113064162333264,0.004157762688727251
23,23,23,23,2019-03-11,48.47653579711914,48.77657699584961,47.004425048828125,-0.006151337736471363,0.03131855664146066
24,24,24,24,2019-03-12,48.70157241821289,48.2046127319336,47.2107048034668,0.010309380329282858,0.031579016262358595
25,25,25,25,2019-03-13,49.20790481567383,48.43903350830078,46.31993865966797,0.015872969621520072,0.06234822928469219
26,26,26,26,2019-03-14,48.85158920288086,48.69219207763672,46.61999130249024,0.003273566427036023,0.047867831761509105
27,27,27,27,2019-03-15,48.54217147827149,48.52341842651367,48.345252990722656,0.0003864742502883711,0.004073171105064333
28,28,28,28,2019-03-18,49.08600234985352,47.55764389038086,48.09209442138672,0.032136967571301245,0.020666763226365292
29,29,29,29,2019-03-19,48.96410751342773,48.47653579711914,48.77657699584961,0.0100578910660849,0.0038446838447494525
30,30,30,30,2019-03-20,49.26416397094727,48.70157241821289,48.2046127319336,0.01155181495790858,0.021980287341085925
31,31,31,31,2019-03-21,49.217281341552734,49.20790481567383,48.43903350830078,0.00019054917932459503,0.016066543382179388
32,32,32,32,2019-03-22,49.07662963867188,48.85158920288086,48.69219207763672,0.004606614430830991,0.007895260916210178
33,33,33,33,2019-03-25,49.49857711791992,48.54217147827149,48.52341842651367,0.01970257222787275,0.020096661014991746
34,34,34,34,2019-03-26,49.545448303222656,49.08600234985352,47.55764389038086,0.009360019789236507,0.041797790012971126
35,35,35,35,2019-03-27,49.75173568725586,48.96410751342773,48.47653579711914,0.01608582722787566,0.02630550779192653
36,36,36,36,2019-03-28,49.75173568725586,49.26416397094727,48.70157241821289,0.009897086989969495,0.0215632312654086
37,37,37,37,2019-03-29,49.89238357543945,49.217281341552734,49.20790481567383,0.01371677214760636,0.013909935046606536
38,38,38,38,2019-04-01,49.89238357543945,49.07662963867188,48.85158920288086,0.01662204480571683,0.021305230588019697
39,39,39,39,2019-04-02,49.770484924316406,49.49857711791992,48.54217147827149,0.005493244901741745,0.025304048184056516
40,40,40,40,2019-04-03,49.85488128662109,49.545448303222656,49.08600234985352,0.0062454371490328064,0.015663914353576613
41,41,41,41,2019-04-04,50.86753845214844,49.75173568725586,48.96410751342773,0.022427413827461606,0.0388740045593341
42,42,42,42,2019-04-05,50.736270904541016,49.75173568725586,49.26416397094727,0.019788962207751615,0.029881902278132477
43,43,43,43,2019-04-08,50.94255447387695,49.89238357543945,49.217281341552734,0.02104872173223793,0.0350542143998438
44,44,44,44,2019-04-09,50.46435928344727,49.89238357543945,49.07662963867188,0.011464188860469404,0.028276791927086098
45,45,45,45,2019-04-10,51.04570007324219,49.770484924316406,49.49857711791992,0.025621915295077846,0.03125590765238706
46,46,46,46,2019-04-11,50.52998352050781,49.85488128662109,49.545448303222656,0.013541346734043724,0.01987135551301722
47,47,47,47,2019-04-12,50.60499954223633,50.86753845214844,49.75173568725586,-0.00516122694160015,0.017150433913384777
48,48,48,48,2019-04-15,50.85816192626953,50.736270904541016,49.75173568725586,0.0024024434503246983,0.022238947520721197
49,49,49,49,2019-04-16,51.09257888793945,50.94255447387695,49.89238357543945,0.0029449723440828635,0.024055681979700427
50,50,50,50,2019-04-17,51.62703704833984,50.46435928344727,49.89238357543945,0.02303958241819859,0.03476790140277641
51,51,51,51,2019-04-18,51.68329620361328,51.04570007324219,49.770484924316406,0.012490692251379665,0.03843264300529903
52,52,52,52,2019-04-22,51.0175666809082,50.52998352050781,49.85488128662109,0.009649382929295847,0.023321395303354864
53,53,53,53,2019-04-23,51.748931884765625,50.60499954223633,50.86753845214844,0.022605125044503627,0.017327227922505406
54,54,54,54,2019-04-24,51.96459197998047,50.85816192626953,50.736270904541016,0.021755211195303437,0.024209920310274802
55,55,55,55,2019-04-25,51.64579391479492,51.09257888793945,50.94255447387695,0.010827698246918205,0.013804557862888256
56,56,56,56,2019-04-26,51.62703704833984,51.62703704833984,50.46435928344727,0.0,0.02303958241819859
57,57,57,57,2019-04-29,51.36448669433594,51.68329620361328,51.04570007324219,-0.006168521218564482,0.0062451219326278284
58,58,58,58,2019-04-30,51.4582633972168,51.0175666809082,50.52998352050781,0.008638136723865264,0.018370872342205358
